,/,淡水3.5萬噸配水池光電站,大潭電廠光電站,大潭電廠GIS廠房光電站,北部儲運中心光電站,中大D/S光電站,平鎮淨水場光電站,大湳淨水場光電站,龜山第三加壓站光電站,龍潭淨水場光電站,龍潭E/S光電站,竹工E/S光電站,卓蘭會館光電站,東興淨水場光電站,后里E/S光電站,中部儲運中心光電站,東勢新伯公光電站,台中電廠光電站,台中龍井光電站,中科E/S光電站,彰化彰濱光電站,彰林E/S光電站,南投大彎光電站,嘉義民雄光電站,義竹工作站光電站,台南鹽田光電站,台南七股光電站,台南七股II光電站,興達電廠光電站,永安鹽灘地光電站,高雄保寧光電站,路北E/S光電站,燕巢倉庫光電站,高雄E/S光電站,高雄E/S停車棚光電站,鳳山水庫光電站,核三廠光電站,澎湖七美光電站,澎湖尖山光電站,蘭嶼電廠光電站,蘭嶼貯存場光電站,金門金沙光電站,金門塔山光電站,金門鵲山光電站,馬祖珠山光電站
0,新北,25240.7147588,47087.9750721,47087.9750721,27328.1907907,32230.2309513,32818.5030380,22887.8821890,19024.6116092,30848.4950459,43719.5082060,36224.4584593,101204.1266798,68570.0618707,106833.4732783,106962.8223980,107441.2343128,133233.5074132,131625.4025908,124971.2841299,146161.3312481,157320.0218610,144766.0152538,192540.9826567,217650.3308917,243938.9412331,249506.4889312,249506.4889312,269317.5825071,270232.4081964,270256.0042108,269025.6649706,268876.0484217,285875.0269253,285875.0269253,291948.8750818,341922.7112419,287911.9550227,243497.5611189,326172.5057850,325918.8238910,319017.2958471,328990.5117552,317694.3002507,206523.7226736
1,淡水,1588.6885647,42004.9258102,42004.9258102,35365.9983668,32953.3001283,38621.7053980,27657.7681545,15715.4313445,41306.5336698,47072.2298762,46668.3947278,114567.0520787,76642.0608971,118811.1660490,118673.2079274,122081.2184053,143452.6589597,141822.5412283,136765.3364471,156977.0088938,170280.2984021,162547.7014092,208249.5855972,232799.0411839,258883.0233432,264968.3581817,264968.3581817,286042.5968623,287062.1326400,287271.5022837,286082.5010073,286860.7387008,303692.4251954,303692.4251954,310458.0783918,362718.7019021,298767.0152777,253319.0357700,349149.9914430,348931.2550099,316243.6116267,326608.0797113,315458.8480614,186763.5621521
2,鞍部,7611.9438513,50317.6907786,50317.6907786,41852.4539645,40590.3513089,45651.8871168,34356.4809600,22682.0404145,47506.7471443,54677.2318474,53019.4793907,120838.3968879,83843.3150901,125431.1603704,125353.2463165,128030.1800356,150505.5048806,148876.5031468,143473.2651964,163934.0102376,176772.6293203,167531.0712192,214012.7781869,238755.6727773,264917.8800181,270848.8067758,270848.8067758,291512.6642899,292495.2576174,292637.3656258,291432.6898562,291852.1646524,308757.7126217,308757.7126217,315237.0320956,366336.2677307,305834.7274282,260564.8644664,350995.9926358,350736.3026397,324611.3865990,334976.4429915,323826.8039758,192275.7379440
3,臺北,16791.6209220,45903.8431880,45903.8431880,30220.9315042,32502.7812974,35135.9429054,23964.5465151,15718.7280647,34939.4407380,45552.6808188,40522.8298095,107285.2164418,72620.7081045,112480.1967185,112521.4308109,113955.1535707,138382.1154393,136762.2474289,130616.5636872,151538.5733699,163411.1061723,152300.0235198,199519.3383808,224481.7333672,250726.2401318,256450.1460602,256450.1460602,276634.4139735,277579.0943851,277654.7813107,276435.5318146,276540.2573708,293499.3425615,293499.3425615,299758.5565736,350288.9825252,293461.4911200,248683.6112463,334888.9657216,334637.5877471,319923.8544561,330045.1391682,318794.9178229,200612.2231232
4,竹子湖,9267.0515289,51025.3393460,51025.3393460,41193.5465272,40587.0638858,45244.9912475,33856.6733612,22482.5992150,46687.0354914,54594.5480324,52242.2298817,119909.9712581,83435.2002555,124664.9536194,124617.3103397,126956.8202527,149958.1485534,148330.5022699,142741.2541026,163326.7214045,175919.8675875,166075.1542156,212829.9892007,237646.9728919,263837.9361227,269703.2380559,269703.2380559,290203.2599181,291171.9500833,291289.2311377,290078.9740185,290372.3076978,307301.0942201,307301.0942201,313684.1500481,364442.0920984,305263.4035962,260107.5566444,348714.3498341,348447.2311217,325566.1535347,335892.7723235,324724.7885026,194794.8667161
5,基隆,29241.7060054,69557.3381343,69557.3381343,55242.0706501,57269.7771193,60222.9530412,49021.0855457,39505.8444650,59665.8467002,70597.8183306,65193.4776723,130583.7896828,97477.8271694,136287.7929803,136419.6400007,136610.5755395,162656.0224361,161045.3537710,154423.8361706,175614.3648079,186665.7343602,172572.5560143,221170.5739713,246431.7724494,272752.0256214,278134.4656649,278134.4656649,297361.4145008,298220.1815549,298143.3165331,296891.9868301,296165.9614631,313248.5523828,313248.5523828,318810.1269426,366295.7017096,317363.7797382,272937.2200663,346118.8658955,345752.3778739,344219.6645986,354436.5640634,343220.2620417,213012.8471558
6,彭佳嶼,80294.1219755,122233.2117181,122233.2117181,115846.1149072,114597.9192304,119835.8842358,108492.5585223,96871.7278445,121235.0193878,128717.8002871,126816.1236421,194070.9199114,158033.4883154,199156.5770742,199151.6904525,200626.9604001,224617.0880027,222989.5398072,217269.9947307,237967.5686437,250194.6916717,237279.8156794,285717.9050985,310883.4551870,337179.7105633,342688.9301186,342688.9301186,362068.4222325,362928.1428617,362848.5330445,361596.0004487,360760.5637238,377862.7333109,377862.7333109,383237.7096362,428978.1437948,379913.9386981,334746.6278943,404262.7905739,403765.2211843,391105.8996428,401870.8955578,390975.6021643,221917.0641462
7,花蓮,134754.1798327,129989.5281822,129989.5281822,108788.4475212,118448.3805831,110958.1704574,114227.6896196,122157.4745971,103729.9971363,114599.8301655,101892.7461537,88081.2932494,104402.4589227,96705.2808246,98064.2208515,82827.3794925,117601.5047694,116816.3891002,105195.1368782,122233.9985690,117794.2694430,79177.8950361,127958.6503492,152354.0286942,176668.0549308,178847.7356763,178847.7356763,190216.4739458,190508.4086900,189533.5373586,188160.2227291,183037.0810011,200028.7287253,200028.7287253,202252.4058683,240135.8867445,238017.7138690,203401.6081930,216860.7331729,216538.5921077,330724.3690159,338288.8651434,327106.1919366,294680.0288643
8,新屋,45185.8801690,2836.4243364,2836.4243364,24362.3644061,15907.2584671,19534.8369799,25278.0213903,31772.1437742,26624.2638274,13719.6250318,26695.9636712,81236.9483975,39607.5070539,83117.9637255,82615.8896841,90371.2716489,104574.7516134,102966.5819709,99980.0580046,118408.9350058,134023.3144234,134905.2441629,175338.1971153,198581.5997697,224039.2680094,230860.6216339,230860.6216339,253861.0941293,255061.0950416,255611.8116545,254512.0233946,257125.0424889,273443.6255928,273443.6255928,281623.9966543,339475.5038903,258758.5939875,212646.3008357,335223.0070834,335220.5970791,273017.6954418,283241.6863010,272033.8218387,168766.5209068
9,宜蘭,55239.7575027,76285.9187970,76285.9187970,52531.4209742,60667.2172798,58038.5725860,51606.5785816,51089.3637905,52740.6725567,68411.5244912,56383.5659996,107248.8778714,85130.5126840,114672.5699491,115198.8421079,110876.5060168,142265.7266760,140758.8179093,132055.2118654,153813.9653669,161260.7259636,140225.0311383,190760.6563098,216408.3172328,242659.3660056,247222.0840642,247222.0840642,264431.0592561,265133.2151119,264793.9580297,263495.5993018,261473.6329877,278650.9671425,278650.9671425,283224.2542251,327551.4817995,292784.1351662,250420.2194291,305247.5519452,304858.5553533,340311.4137278,349843.6350440,338462.4470720,238771.6780773
