,/,淡水3.5萬噸配水池光電站,大潭電廠光電站,大潭電廠GIS廠房光電站,北部儲運中心光電站,中大D/S光電站,平鎮淨水場光電站,大湳淨水場光電站,龜山第三加壓站光電站,龍潭淨水場光電站,龍潭E/S光電站,竹工E/S光電站,卓蘭會館光電站,東興淨水場光電站,后里E/S光電站,中部儲運中心光電站,東勢新伯公光電站,台中電廠光電站,台中龍井光電站,中科E/S光電站,彰化彰濱光電站,彰林E/S光電站,南投大彎光電站,嘉義民雄光電站,義竹工作站光電站,台南鹽田光電站,台南七股光電站,台南七股II光電站,興達電廠光電站,永安鹽灘地光電站,高雄保寧光電站,路北E/S光電站,燕巢倉庫光電站,高雄E/S光電站,高雄E/S停車棚光電站,鳳山水庫光電站,核三廠光電站,澎湖七美光電站,澎湖尖山光電站,蘭嶼電廠光電站,蘭嶼貯存場光電站,金門金沙光電站,金門塔山光電站,金門鵲山光電站,馬祖珠山光電站
0,淡水,1588.7932398,42004.8862238,42004.8862238,35365.9052079,32953.2278096,38621.6205977,27657.6766685,15715.3403023,41306.4377892,47072.1579167,46668.3009604,114566.9594132,76641.9811812,118811.0777737,118673.1204783,122081.1224241,143452.5775446,141822.4598191,136765.2495800,156976.9259745,170280.2088806,162547.5981337,208249.4884190,232798.9459167,258882.9289359,264968.2622610,264968.2622610,286042.4974103,287062.0328994,287271.4020272,286082.4006305,286860.6358455,303692.3228448,303692.3228448,310457.9742905,362718.5929013,298766.9347288,253318.9583783,349149.8802882,348931.1438715,316243.5867856,326608.0532135,315458.8207567,186763.6277321
1,臺北,16791.5539248,45903.9458237,45903.9458237,30221.0749722,32502.9043649,35136.0820055,23964.6804508,15718.8193743,34939.5885364,45552.8146770,40522.9778492,107285.3664411,72620.8539018,112480.3466353,112521.5806351,113955.3029672,138382.2644327,136762.3963985,130616.7135750,151538.7228289,163411.2561989,152300.1676836,199519.4864015,224481.8820301,250726.3889764,256450.2943069,256450.2943069,276634.5601514,277579.2403507,277654.9268851,276435.6773012,276540.4005269,293499.4861507,293499.4861507,299758.6980707,350289.1134703,293461.6407496,248683.7601268,334889.0761330,334637.6976249,319923.9732160,330045.2594369,318795.0386068,200612.2332377
2,成功,231525.7650735,217227.8871649,217227.8871649,200587.9952779,209167.7358893,201170.2115576,207281.6124101,217019.5605546,194712.7184201,201398.0473533,191317.7126985,145449.2204795,180808.5481610,150127.4244190,151475.9192554,135672.8290842,153885.9087759,154224.3562720,145486.7389898,148687.8898757,131559.9554120,94787.4061923,105024.0636627,116362.3310948,129425.6532993,126286.4344616,126286.4344616,122964.5026504,122307.4877471,120088.8018009,118778.2380161,107286.1209117,121553.7447796,121553.7447796,118189.4173378,141021.3713245,198658.0179381,182188.6136654,120363.1098782,120357.3056676,340048.2027675,344750.9534074,334728.1296973,368902.8567620
3,基隆,29242.2018184,69557.8347528,69557.8347528,55242.5145328,57270.2554251,60223.4076213,49021.5487617,39506.3336410,59666.2713641,70598.2838650,65193.8985444,130584.1476617,97478.2552050,136288.1689166,136420.0194514,136610.9115908,162656.4162861,161045.7481072,154424.2108426,175614.7493945,186666.0866227,172572.8182544,221170.8719718,246432.0784649,272752.3330438,278134.7621882,278134.7621882,297361.6816432,298220.4461712,298143.5767509,296892.2461730,296166.1975224,313248.7911948,313248.7911948,318810.3464960,366295.8415748,317364.1536605,272937.6103074,346118.8959611,345752.4054225,344220.1584681,354437.0564253,343220.7537763,213013.2723131
4,東吉島,280128.5636067,242503.2394073,242503.2394073,243643.8631400,246116.3108432,240025.3624028,251164.1844560,263013.7392042,238127.9752285,232252.2180418,232559.6048430,165618.3046642,202191.0324226,160184.6588904,160191.5380675,160134.0059336,135399.6830379,137025.8592668,142070.3853039,121722.5498283,109649.9678481,135750.0771513,85838.1754701,63016.2603034,46079.0918970,51100.2395670,51100.2395670,70237.8607660,72101.2457134,75107.5621387,75524.6228802,91009.4422957,93299.9401360,93299.9401360,107963.5191267,181806.9732973,24554.8023720,34664.3063727,235926.0457557,237190.5012200,188690.6630116,189680.6425690,182008.3480832,322604.3051577
5,五分山雷達站,35007.7672336,72865.1584080,72865.1584080,56178.9497176,59535.2842676,61484.3531061,50722.3904404,42564.0728185,59958.5843655,72204.1540393,65329.4715510,128881.0306657,97662.5040600,134988.6585026,135204.4548054,134425.1382155,161760.2294333,160163.9623475,153067.3983028,174472.0923355,184765.4364404,168962.5288392,218157.3156065,243555.1195685,269890.8179784,275068.0551582,275068.0551582,293770.5106594,294586.3521680,294435.8725167,293170.3602928,292069.0991218,309190.4392029,309190.4392029,314454.5798728,360847.0374729,315884.9568326,271870.6805553,339497.9707441,339108.5819755,346993.6280966,357095.5657369,345837.1598238,220205.6857729
6,蘭嶼,349465.9024558,336663.3545167,336663.3545167,319642.3417149,328386.2711065,320409.1764238,326169.0338808,335552.7728789,313843.3374502,320826.9965395,310586.5733913,263120.4443239,299920.8282328,266881.4066516,268153.2196882,253149.3785933,266095.9596820,266744.9032644,259612.2660076,258183.4708452,238743.5624439,209418.8137223,200341.5457380,198100.8409937,195675.8203301,187917.5189578,187917.5189578,166806.3535115,165024.0906015,161975.8972810,161428.1464837,145787.3101210,146761.9411895,146761.9411895,133221.7979765,83308.4216499,253799.0087568,258251.4358874,2247.8054869,958.3714875,422874.5200886,425072.1108742,416573.5759112,485776.8918870
7,花蓮,134754.1194944,129989.3100490,129989.3100490,108788.2799327,118448.2021591,110957.9801734,114227.5460070,122157.3682113,103729.8134550,114599.5975840,101892.5383749,88080.8319688,104402.1181063,96704.8138220,98063.7548709,82826.8992249,117601.0107181,116815.8965272,105194.6440883,122233.4945869,117793.7618368,79177.4012442,127958.1820381,152353.5724858,176667.6133712,178847.3072925,178847.3072925,190216.0873451,190508.0254615,189533.1592534,188159.8450012,183036.7317754,200028.3845098,200028.3845098,202252.0894715,240135.6992401,238017.2384915,203401.1121203,216860.7154781,216538.5784923,330723.8699906,338288.3638307,327105.6911886,294679.7405162
8,高雄,295887.6805313,266726.6735157,266726.6735157,259516.6458761,265103.7160565,257608.0393186,267235.6716004,278931.5634175,253362.7733381,252978.6631448,248342.4748910,182685.2997512,224351.2612565,181404.4523018,182112.6219191,173763.3042206,166262.7751593,167584.0838100,166333.8325181,153630.1077480,134040.8119337,131892.6534956,89554.6166263,70854.5709343,54313.7228549,45153.1573568,45153.1573568,18329.9371932,16384.3199935,13581.0743018,13626.6336501,9017.5772097,9546.6645828,9546.6645828,21745.2561588,96395.7423398,104290.5423141,114364.3969096,148539.6371833,149884.1134955,276625.4581971,277875.5778123,270030.8812506,381881.9639607
9,大武,318824.1653006,297781.2064182,297781.2064182,285013.5429263,292481.3360458,284511.5744029,292305.4320419,303069.7586192,278869.0162460,282520.0195321,274661.5028311,216902.7058776,257327.1569518,218532.7165892,219601.2227108,206954.5210825,211355.2384102,212320.1078867,207488.4006006,201124.8265479,180826.7203013,161341.5905200,137846.7554645,129666.3482830,122696.5899096,114337.0660909,114337.0660909,91337.7647417,89496.0958220,86472.4314016,86037.3008312,70698.5815791,70622.7431188,70622.7431188,57242.1445226,46030.9127465,177842.2129412,185185.2652845,75063.1689815,76464.0597858,349136.1285002,350808.3430948,342668.4191601,432877.3668013
