,date,Temp,SunShineHour,GlobalRad,UV,degree,station,capacity
730,2019-01-01,22.7,3.3,14.82,8.29,1426.0,北部儲運中心光電,907.68
731,2019-01-02,28.25,0.1,5.82,4.52,1245.0,北部儲運中心光電,907.68
732,2019-01-03,30.6,7.65,13.92,10.34,1284.0,北部儲運中心光電,907.68
733,2019-01-04,30.85,5.65,18.05,9.98,1885.0,北部儲運中心光電,907.68
734,2019-01-05,29.35,7.85,21.46,10.04,1001.0,北部儲運中心光電,907.68
735,2019-01-06,25.35,10.2,20.05,8.72,692.0,北部儲運中心光電,907.68
736,2019-01-07,20.55,6.15,13.7,6.72,2857.0,北部儲運中心光電,907.68
737,2019-01-08,18.2,8.05,13.62,5.38,826.0,北部儲運中心光電,907.68
738,2019-01-09,18.85,6.55,13.36,5.42,2862.0,北部儲運中心光電,907.68
739,2019-01-10,16.9,7.15,14.24,6.65,952.0,北部儲運中心光電,907.68
740,2019-01-11,17.8,0.0,2.43,1.76,769.0,北部儲運中心光電,907.68
741,2019-01-12,22.45,10.5,23.28,9.76,46.0,北部儲運中心光電,907.68
747,2019-01-18,24.2,2.5,8.93,4.3,23.0,北部儲運中心光電,907.68
748,2019-01-19,20.5,1.05,9.12,5.18,2779.0,北部儲運中心光電,907.68
749,2019-01-20,20.3,0.4,5.34,2.84,989.0,北部儲運中心光電,907.68
750,2019-01-21,12.6,3.2,11.22,-47.4,440.0,北部儲運中心光電,907.68
751,2019-01-22,18.6,4.7,12.6,6.27,947.0,北部儲運中心光電,907.68
752,2019-01-23,19.2,9.25,19.68,7.88,3666.0,北部儲運中心光電,907.68
753,2019-01-24,18.45,0.0,3.82,2.03,3666.0,北部儲運中心光電,907.68
754,2019-01-25,26.7,8.8,22.23,9.64,2431.0,北部儲運中心光電,907.68
755,2019-01-26,28.5,10.25,26.38,13.5,1144.0,北部儲運中心光電,907.68
756,2019-01-27,29.75,8.6,25.34,12.49,2983.0,北部儲運中心光電,907.68
757,2019-01-28,28.5,7.8,20.61,12.3,3904.0,北部儲運中心光電,907.68
758,2019-01-29,30.2,9.75,21.48,9.56,3863.0,北部儲運中心光電,907.68
759,2019-01-30,29.8,10.85,22.03,9.9,3138.0,北部儲運中心光電,907.68
760,2019-01-31,17.65,3.5,10.6,5.56,3241.0,北部儲運中心光電,907.68
761,2019-02-01,21.65,8.55,14.82,5.3,594.0,北部儲運中心光電,907.68
762,2019-02-02,17.3,1.15,7.4,2.97,2852.0,北部儲運中心光電,907.68
763,2019-02-03,16.15,0.0,3.34,1.93,3071.0,北部儲運中心光電,907.68
764,2019-02-04,17.85,9.2,22.3,8.76,640.0,北部儲運中心光電,907.68
765,2019-02-05,23.6,10.1,24.42,10.52,1133.0,北部儲運中心光電,907.68
766,2019-02-06,24.55,3.45,17.99,9.68,3770.0,北部儲運中心光電,907.68
767,2019-02-07,26.95,1.55,14.7,10.16,4002.0,北部儲運中心光電,907.68
768,2019-02-08,29.85,10.8,27.94,12.2,845.0,北部儲運中心光電,907.68
769,2019-02-09,29.85,9.0,23.73,10.75,359.0,北部儲運中心光電,907.68
770,2019-02-10,26.4,10.65,23.32,10.39,1087.0,北部儲運中心光電,907.68
771,2019-02-11,21.35,0.15,5.66,3.12,1156.0,北部儲運中心光電,907.68
772,2019-02-12,25.0,9.35,16.79,6.67,1519.0,北部儲運中心光電,907.68
773,2019-02-13,19.0,0.0,2.22,1.34,808.0,北部儲運中心光電,907.68
774,2019-02-14,28.75,5.9,16.82,8.59,543.0,北部儲運中心光電,907.68
775,2019-02-15,25.6,0.0,5.64,3.92,3613.0,北部儲運中心光電,907.68
776,2019-02-16,31.25,16.2,34.5,13.86,627.0,北部儲運中心光電,907.68
777,2019-02-17,31.55,8.5,27.5,14.51,1897.0,北部儲運中心光電,907.68
778,2019-02-18,33.15,13.2,37.36,16.92,492.0,北部儲運中心光電,907.68
779,2019-02-19,40.2,3.9,24.13,15.58,3023.0,北部儲運中心光電,907.68
780,2019-02-20,19.8,8.45,13.52,4.42,3056.0,北部儲運中心光電,907.68
781,2019-02-21,12.25,3.3,10.8,4.18,2201.0,北部儲運中心光電,907.68
782,2019-02-22,19.15,5.15,16.55,6.78,511.0,北部儲運中心光電,907.68
783,2019-02-23,21.6,0.3,2.49,1.86,861.0,北部儲運中心光電,907.68
784,2019-02-24,27.25,5.7,19.62,6.64,485.0,北部儲運中心光電,907.68
785,2019-02-25,28.85,6.7,22.04,11.09,1961.0,北部儲運中心光電,907.68
786,2019-02-26,29.35,8.5,21.18,11.93,2340.0,北部儲運中心光電,907.68
787,2019-02-27,30.65,8.35,20.84,9.86,1493.0,北部儲運中心光電,907.68
788,2019-02-28,29.2,11.0,23.38,11.98,744.0,北部儲運中心光電,907.68
789,2019-03-01,29.85,10.25,19.75,9.02,2193.0,北部儲運中心光電,907.68
790,2019-03-02,21.85,0.0,4.17,3.49,1752.0,北部儲運中心光電,907.68
791,2019-03-03,17.75,8.6,13.72,4.15,249.0,北部儲運中心光電,907.68
792,2019-03-04,11.85,8.95,14.87,4.25,4404.0,北部儲運中心光電,907.68
793,2019-03-05,12.4,0.45,4.74,3.42,2741.0,北部儲運中心光電,907.68
794,2019-03-06,17.65,10.6,23.08,8.58,685.0,北部儲運中心光電,907.68
795,2019-03-07,24.05,1.75,12.75,5.58,720.0,北部儲運中心光電,907.68
796,2019-03-08,24.4,1.4,13.34,5.35,989.0,北部儲運中心光電,907.68
