,date,Temp,SunShineHour,GlobalRad,UV,degree,station,capacity
1461,2021-01-01,28.05,11.05,24.24,7.58,2457.0,南投大彎光電,999.6
1462,2021-01-02,26.15,13.9,26.1,6.85,3587.0,南投大彎光電,999.6
1463,2021-01-03,20.8,3.25,14.68,4.77,3612.0,南投大彎光電,999.6
1464,2021-01-04,20.2,8.5,21.57,6.63,3564.0,南投大彎光電,999.6
1465,2021-01-05,19.05,0.05,7.12,5.4,3498.0,南投大彎光電,999.6
1466,2021-01-06,26.1,9.9,27.65,9.52,1021.0,南投大彎光電,999.6
1467,2021-01-07,23.55,0.5,8.37,3.86,865.0,南投大彎光電,999.6
1468,2021-01-08,30.05,3.35,20.81,7.97,530.0,南投大彎光電,999.6
1469,2021-01-09,33.1,10.9,32.06,10.38,530.0,南投大彎光電,999.6
1470,2021-01-10,34.75,8.05,26.71,10.31,2835.0,南投大彎光電,999.6
1471,2021-01-11,33.4,9.4,28.74,10.18,1016.0,南投大彎光電,999.6
1472,2021-01-12,31.4,12.0,28.96,10.07,1328.0,南投大彎光電,999.6
1473,2021-01-13,28.1,8.35,20.1,7.1,3858.0,南投大彎光電,999.6
1474,2021-01-14,28.35,13.05,23.62,6.98,3806.0,南投大彎光電,999.6
1475,2021-01-15,15.1,8.15,19.81,5.94,3780.0,南投大彎光電,999.6
1476,2021-01-16,19.35,14.45,26.38,6.96,3497.0,南投大彎光電,999.6
1477,2021-01-17,23.3,14.8,30.14,9.43,3430.0,南投大彎光電,999.6
1478,2021-01-18,24.05,10.9,25.95,7.07,3600.0,南投大彎光電,999.6
1479,2021-01-19,29.75,2.1,12.03,3.1,3546.0,南投大彎光電,999.6
1480,2021-01-20,29.9,4.85,14.9,4.9,3694.0,南投大彎光電,999.6
1481,2021-01-21,33.55,11.95,33.42,11.34,3523.0,南投大彎光電,999.6
1482,2021-01-22,11.35,5.45,13.42,2.37,1349.0,南投大彎光電,999.6
1483,2021-01-23,14.3,1.65,7.96,2.68,3824.0,南投大彎光電,999.6
1484,2021-01-24,15.95,7.0,18.4,2.74,3566.0,南投大彎光電,999.6
1485,2021-01-25,16.65,3.05,6.16,2.23,3410.0,南投大彎光電,999.6
1486,2021-01-26,16.3,0.15,8.56,2.58,3639.0,南投大彎光電,999.6
1487,2021-01-27,18.35,1.9,14.05,4.64,3426.0,南投大彎光電,999.6
1488,2021-01-28,19.4,6.9,19.58,6.52,3562.0,南投大彎光電,999.6
1489,2021-01-29,19.75,4.15,16.16,3.81,2456.0,南投大彎光電,999.6
1490,2021-01-30,19.55,3.85,13.4,5.32,3876.0,南投大彎光電,999.6
1491,2021-01-31,18.0,3.5,10.88,1.99,3770.0,南投大彎光電,999.6
1492,2021-02-01,15.0,1.3,7.78,2.68,3972.0,南投大彎光電,999.6
1493,2021-02-02,11.1,2.3,9.76,2.24,4001.0,南投大彎光電,999.6
1494,2021-02-03,14.4,5.4,11.2,0.0,3909.0,南投大彎光電,999.6
1495,2021-02-04,15.05,6.65,16.71,4.32,3999.0,南投大彎光電,999.6
1496,2021-02-05,13.7,0.8,7.04,3.27,3759.0,南投大彎光電,999.6
1497,2021-02-06,16.8,4.05,15.0,3.5,4045.0,南投大彎光電,999.6
1498,2021-02-07,18.7,4.85,17.0,4.06,3952.0,南投大彎光電,999.6
1499,2021-02-08,17.05,0.0,4.64,1.47,3789.0,南投大彎光電,999.6
1500,2021-02-09,18.6,3.55,13.46,4.78,3868.0,南投大彎光電,999.6
1501,2021-02-10,17.85,3.9,11.62,3.62,2303.0,南投大彎光電,999.6
1502,2021-02-11,18.4,6.0,16.78,3.07,1903.0,南投大彎光電,999.6
1503,2021-02-12,15.15,3.5,12.86,3.48,4602.0,南投大彎光電,999.6
1504,2021-02-13,14.75,5.15,14.41,3.07,4417.0,南投大彎光電,999.6
1505,2021-02-14,13.45,9.45,17.46,3.38,4016.0,南投大彎光電,999.6
1506,2021-02-15,11.55,0.05,7.04,2.6,4472.0,南投大彎光電,999.6
1507,2021-02-16,14.6,8.35,19.96,5.21,4184.0,南投大彎光電,999.6
1508,2021-02-17,16.3,9.4,22.58,4.31,4418.0,南投大彎光電,999.6
1509,2021-02-18,15.5,0.5,7.56,3.08,3854.0,南投大彎光電,999.6
1510,2021-02-19,16.65,2.05,5.88,2.04,3897.0,南投大彎光電,999.6
1511,2021-02-20,19.3,6.3,21.94,6.06,4454.0,南投大彎光電,999.6
1512,2021-02-21,18.35,0.6,10.98,3.08,4769.0,南投大彎光電,999.6
1513,2021-02-22,17.4,0.65,9.75,3.54,4802.0,南投大彎光電,999.6
1514,2021-02-23,16.65,1.85,12.14,4.32,4355.0,南投大彎光電,999.6
1515,2021-02-24,14.95,3.55,13.14,2.49,4322.0,南投大彎光電,999.6
1516,2021-02-25,14.55,1.9,9.09,3.23,3295.0,南投大彎光電,999.6
1517,2021-02-26,12.0,1.25,4.64,1.51,3228.0,南投大彎光電,999.6
1518,2021-02-27,9.7,6.8,15.52,2.8,3485.0,南投大彎光電,999.6
1519,2021-02-28,9.9,8.65,17.11,3.78,4376.0,南投大彎光電,999.6
1520,2021-03-01,14.45,3.25,14.58,3.36,4068.0,南投大彎光電,999.6
1521,2021-03-02,29.65,12.1,36.11,10.74,3018.0,南投大彎光電,999.6
1522,2021-03-03,29.1,2.05,17.66,7.99,75.0,南投大彎光電,999.6
1523,2021-03-04,34.2,11.75,33.36,10.5,3245.0,南投大彎光電,999.6
1524,2021-03-05,33.35,8.95,28.59,11.24,2874.0,南投大彎光電,999.6
1525,2021-03-06,33.2,8.95,25.84,10.06,3202.0,南投大彎光電,999.6
1526,2021-03-07,33.55,10.35,27.77,9.06,2260.0,南投大彎光電,999.6
1527,2021-03-08,30.45,10.65,26.19,9.03,3357.0,南投大彎光電,999.6
1528,2021-03-09,30.2,9.7,21.11,5.42,4438.0,南投大彎光電,999.6
1529,2021-03-10,21.1,4.65,18.12,5.62,4173.0,南投大彎光電,999.6
1530,2021-03-11,21.2,14.7,26.68,6.64,4512.0,南投大彎光電,999.6
1531,2021-03-12,16.65,14.7,28.98,6.5,4538.0,南投大彎光電,999.6
1532,2021-03-13,27.3,11.9,27.1,8.06,4135.0,南投大彎光電,999.6
1533,2021-03-14,27.7,5.85,21.66,6.82,4810.0,南投大彎光電,999.6
1534,2021-03-15,34.75,9.95,32.77,12.22,4683.0,南投大彎光電,999.6
1535,2021-03-16,31.7,1.45,10.78,5.59,4880.0,南投大彎光電,999.6
1536,2021-03-17,32.85,5.5,21.28,7.14,4366.0,南投大彎光電,999.6
1537,2021-03-18,32.5,10.5,29.36,10.74,4658.0,南投大彎光電,999.6
1538,2021-03-19,33.75,7.1,21.66,9.25,4453.0,南投大彎光電,999.6
1539,2021-03-20,28.7,7.0,20.22,8.45,4221.0,南投大彎光電,999.6
1540,2021-03-21,26.1,6.85,19.58,6.18,3765.0,南投大彎光電,999.6
1541,2021-03-22,21.8,0.0,7.52,2.78,351.0,南投大彎光電,999.6
1542,2021-03-23,20.6,7.05,20.6,6.28,1088.0,南投大彎光電,999.6
1543,2021-03-24,14.15,0.0,4.24,2.48,768.0,南投大彎光電,999.6
1544,2021-03-25,27.15,10.55,27.24,7.89,5297.0,南投大彎光電,999.6
1545,2021-03-26,25.45,3.6,19.8,7.56,3611.0,南投大彎光電,999.6
1546,2021-03-27,31.1,11.0,32.24,11.56,4614.0,南投大彎光電,999.6
1547,2021-03-28,33.6,8.3,35.45,11.16,4178.0,南投大彎光電,999.6
1548,2021-03-29,34.45,9.1,28.76,11.9,4498.0,南投大彎光電,999.6
1549,2021-03-30,33.4,9.7,28.26,11.94,2879.0,南投大彎光電,999.6
1550,2021-03-31,31.2,6.2,21.42,9.02,3848.0,南投大彎光電,999.6
1551,2021-04-01,28.3,6.3,18.04,5.86,1468.0,南投大彎光電,999.6
1552,2021-04-02,28.4,10.55,21.36,7.12,4730.0,南投大彎光電,999.6
1553,2021-04-03,17.95,14.0,24.6,5.82,4144.0,南投大彎光電,999.6
1554,2021-04-04,20.5,6.8,20.17,6.58,3946.0,南投大彎光電,999.6
1555,2021-04-05,21.35,10.9,27.17,9.25,4468.0,南投大彎光電,999.6
1556,2021-04-06,26.75,9.1,25.96,7.82,4821.0,南投大彎光電,999.6
1557,2021-04-07,26.3,0.0,3.94,2.26,1013.0,南投大彎光電,999.6
1558,2021-04-08,30.8,5.55,24.3,7.8,3280.0,南投大彎光電,999.6
1559,2021-04-09,33.7,9.75,29.18,10.09,3326.0,南投大彎光電,999.6
1560,2021-04-10,9.95,2.25,8.0,2.28,4541.0,南投大彎光電,999.6
1561,2021-04-11,15.5,7.85,18.73,3.16,5016.0,南投大彎光電,999.6
1562,2021-04-12,15.65,5.4,12.36,3.01,4984.0,南投大彎光電,999.6
1563,2021-04-13,16.25,0.75,4.84,1.56,4422.0,南投大彎光電,999.6
1564,2021-04-14,17.85,5.4,16.78,3.36,3520.0,南投大彎光電,999.6
1565,2021-04-15,19.25,3.75,17.76,6.36,4663.0,南投大彎光電,999.6
1566,2021-04-16,19.65,1.4,12.44,3.25,3754.0,南投大彎光電,999.6
1567,2021-04-17,20.8,8.85,21.16,5.67,3747.0,南投大彎光電,999.6
1568,2021-04-18,19.9,5.25,15.73,4.7,2532.0,南投大彎光電,999.6
1569,2021-04-19,16.5,5.35,13.3,2.01,1998.0,南投大彎光電,999.6
1570,2021-04-20,15.8,2.9,11.38,3.76,3754.0,南投大彎光電,999.6
1571,2021-04-21,11.35,9.1,16.8,3.15,5038.0,南投大彎光電,999.6
1572,2021-04-22,14.3,3.1,10.84,2.42,5085.0,南投大彎光電,999.6
1573,2021-04-23,14.75,4.1,12.99,3.14,5390.0,南投大彎光電,999.6
1574,2021-04-24,9.95,5.8,15.72,1.88,5279.0,南投大彎光電,999.6
1575,2021-04-25,17.55,3.95,15.9,3.37,999.0,南投大彎光電,999.6
1576,2021-04-26,18.5,3.3,14.32,3.34,2408.0,南投大彎光電,999.6
1577,2021-04-27,18.0,0.9,9.13,2.48,2013.0,南投大彎光電,999.6
1578,2021-04-28,18.1,2.35,10.84,3.12,2124.0,南投大彎光電,999.6
1579,2021-04-29,18.3,3.55,11.08,3.48,929.0,南投大彎光電,999.6
1580,2021-04-30,18.55,6.5,17.46,3.42,5649.0,南投大彎光電,999.6
1581,2021-05-01,15.05,6.1,14.73,4.01,4170.0,南投大彎光電,999.6
1582,2021-05-02,15.0,4.65,13.85,3.59,4501.0,南投大彎光電,999.6
1583,2021-05-03,15.3,8.1,16.01,3.52,2591.0,南投大彎光電,999.6
1584,2021-05-04,9.35,1.05,5.5,1.57,3646.0,南投大彎光電,999.6
1585,2021-05-05,13.1,5.8,16.38,4.66,2900.0,南投大彎光電,999.6
1586,2021-05-06,16.85,10.15,25.16,5.07,4718.0,南投大彎光電,999.6
