,date,Temp,SunShineHour,GlobalRad,UV,degree,station,capacity
0,2017-01-01,18.45,9.6,16.6,5.0,6715.0,台中電廠光電,2123.04
1,2017-01-02,18.15,0.35,10.34,4.2,4275.0,台中電廠光電,2123.04
2,2017-01-03,16.45,5.45,13.32,4.78,6816.0,台中電廠光電,2123.04
3,2017-01-04,15.35,5.65,18.47,5.59,5205.0,台中電廠光電,2123.04
4,2017-01-05,22.15,6.75,12.34,6.64,4095.0,台中電廠光電,2123.04
5,2017-01-06,23.8,0.2,6.8,4.0,3853.0,台中電廠光電,2123.04
6,2017-01-07,25.0,6.75,21.65,11.93,5104.0,台中電廠光電,2123.04
7,2017-01-08,25.15,1.25,11.41,6.43,6734.0,台中電廠光電,2123.04
8,2017-01-09,25.1,0.0,5.26,2.77,7392.0,台中電廠光電,2123.04
9,2017-01-10,26.85,6.85,16.66,7.44,6858.0,台中電廠光電,2123.04
10,2017-01-11,20.85,9.3,18.98,7.24,7790.0,台中電廠光電,2123.04
11,2017-01-12,20.85,6.45,15.21,6.04,3005.0,台中電廠光電,2123.04
12,2017-01-13,16.9,7.25,13.32,4.62,1829.0,台中電廠光電,2123.04
13,2017-01-14,12.6,0.4,8.31,3.97,6278.0,台中電廠光電,2123.04
14,2017-01-15,20.05,9.7,23.3,8.69,3388.0,台中電廠光電,2123.04
15,2017-01-16,21.1,3.75,16.98,7.25,3684.0,台中電廠光電,2123.04
16,2017-01-17,24.65,4.8,19.54,7.56,7821.0,台中電廠光電,2123.04
17,2017-01-18,26.1,3.6,18.44,8.13,4664.0,台中電廠光電,2123.04
18,2017-01-19,24.5,4.1,17.84,9.16,7583.0,台中電廠光電,2123.04
19,2017-01-20,27.35,7.0,22.39,8.88,7245.0,台中電廠光電,2123.04
20,2017-01-21,24.8,0.7,11.62,6.36,6538.0,台中電廠光電,2123.04
21,2017-01-22,24.05,8.3,18.48,6.12,8982.0,台中電廠光電,2123.04
22,2017-01-23,21.35,0.35,7.02,5.01,6645.0,台中電廠光電,2123.04
23,2017-01-24,20.15,7.55,15.98,6.04,5183.0,台中電廠光電,2123.04
24,2017-01-25,17.85,2.15,10.95,5.37,6222.0,台中電廠光電,2123.04
25,2017-01-26,16.8,1.3,9.44,5.17,9261.0,台中電廠光電,2123.04
26,2017-01-27,20.1,7.85,19.6,9.01,9154.0,台中電廠光電,2123.04
27,2017-01-28,17.1,0.0,3.42,2.75,8526.0,台中電廠光電,2123.04
28,2017-01-29,21.1,0.05,4.71,2.91,7219.0,台中電廠光電,2123.04
29,2017-01-30,24.5,2.65,13.62,7.49,6902.0,台中電廠光電,2123.04
30,2017-01-31,26.65,4.15,18.56,10.58,7076.0,台中電廠光電,2123.04
31,2017-02-01,25.4,2.35,11.35,5.19,4216.0,台中電廠光電,2123.04
32,2017-02-02,25.65,4.85,16.58,8.42,4511.0,台中電廠光電,2123.04
33,2017-02-03,23.3,2.95,12.67,7.14,5737.0,台中電廠光電,2123.04
34,2017-02-04,23.2,3.0,8.78,3.46,2881.0,台中電廠光電,2123.04
35,2017-02-05,19.95,7.95,14.51,5.93,3072.0,台中電廠光電,2123.04
36,2017-02-06,15.95,1.2,6.22,2.92,7299.0,台中電廠光電,2123.04
