,date,Temp,SunShineHour,GlobalRad,UV,degree,station,capacity
0,2017-01-01,18.45,9.6,16.6,5.0,23955.0,台中龍井光電,6485.94
1,2017-01-02,18.15,0.35,10.34,4.2,12978.0,台中龍井光電,6485.94
2,2017-01-03,16.45,5.45,13.32,4.78,22732.0,台中龍井光電,6485.94
3,2017-01-04,15.35,5.65,18.47,5.59,18755.0,台中龍井光電,6485.94
4,2017-01-05,22.15,6.75,12.34,6.64,14149.0,台中龍井光電,6485.94
5,2017-01-06,23.8,0.2,6.8,4.0,14316.0,台中龍井光電,6485.94
6,2017-01-07,25.0,6.75,21.65,11.93,18113.0,台中龍井光電,6485.94
7,2017-01-08,25.15,1.25,11.41,6.43,23393.0,台中龍井光電,6485.94
8,2017-01-09,25.1,0.0,5.26,2.77,25120.0,台中龍井光電,6485.94
9,2017-01-10,26.85,6.85,16.66,7.44,23318.0,台中龍井光電,6485.94
10,2017-01-11,20.85,9.3,18.98,7.24,27043.0,台中龍井光電,6485.94
11,2017-01-12,20.85,6.45,15.21,6.04,11059.0,台中龍井光電,6485.94
12,2017-01-13,16.9,7.25,13.32,4.62,6893.0,台中龍井光電,6485.94
13,2017-01-14,12.6,0.4,8.31,3.97,21576.0,台中龍井光電,6485.94
14,2017-01-15,20.05,9.7,23.3,8.69,11530.0,台中龍井光電,6485.94
15,2017-01-16,21.1,3.75,16.98,7.25,12775.0,台中龍井光電,6485.94
16,2017-01-17,24.65,4.8,19.54,7.56,26820.0,台中龍井光電,6485.94
17,2017-01-18,26.1,3.6,18.44,8.13,16253.0,台中龍井光電,6485.94
18,2017-01-19,24.5,4.1,17.84,9.16,25820.0,台中龍井光電,6485.94
19,2017-01-20,27.35,7.0,22.39,8.88,24858.0,台中龍井光電,6485.94
20,2017-01-21,24.8,0.7,11.62,6.36,21851.0,台中龍井光電,6485.94
21,2017-01-22,24.05,8.3,18.48,6.12,30252.0,台中龍井光電,6485.94
22,2017-01-23,21.35,0.35,7.02,5.01,22241.0,台中龍井光電,6485.94
23,2017-01-24,20.15,7.55,15.98,6.04,17178.0,台中龍井光電,6485.94
24,2017-01-25,17.85,2.15,10.95,5.37,20602.0,台中龍井光電,6485.94
25,2017-01-26,16.8,1.3,9.44,5.17,30931.0,台中龍井光電,6485.94
26,2017-01-27,20.1,7.85,19.6,9.01,29879.0,台中龍井光電,6485.94
27,2017-01-28,17.1,0.0,3.42,2.75,29473.0,台中龍井光電,6485.94
28,2017-01-29,21.1,0.05,4.71,2.91,24814.0,台中龍井光電,6485.94
29,2017-01-30,24.5,2.65,13.62,7.49,23746.0,台中龍井光電,6485.94
30,2017-01-31,26.65,4.15,18.56,10.58,25309.0,台中龍井光電,6485.94
31,2017-02-01,25.4,2.35,11.35,5.19,15193.0,台中龍井光電,6485.94
32,2017-02-02,25.65,4.85,16.58,8.42,16459.0,台中龍井光電,6485.94
33,2017-02-03,23.3,2.95,12.67,7.14,22252.0,台中龍井光電,6485.94
34,2017-02-04,23.2,3.0,8.78,3.46,11358.0,台中龍井光電,6485.94
35,2017-02-05,19.95,7.95,14.51,5.93,11835.0,台中龍井光電,6485.94
36,2017-02-06,15.95,1.2,6.22,2.92,27753.0,台中龍井光電,6485.94
37,2017-02-07,12.5,9.9,18.06,6.7,21603.0,台中龍井光電,6485.94
38,2017-02-08,21.2,8.35,19.22,7.01,18784.0,台中龍井光電,6485.94
39,2017-02-09,32.05,8.4,22.48,10.4,33004.0,台中龍井光電,6485.94
40,2017-02-10,37.15,8.75,30.1,13.22,19437.0,台中龍井光電,6485.94
41,2017-02-11,41.0,14.95,37.86,17.94,17943.0,台中龍井光電,6485.94
