,date,Temp,SunShineHour,GlobalRad,UV,degree,station,capacity
1461,2021-01-01,25.87,8.13,18.16,2.66,684040.0,台南鹽田光電,149999.08
1462,2021-01-02,23.67,7.67,15.64,2.2,700550.0,台南鹽田光電,149999.08
1463,2021-01-03,19.03,4.13,12.33,1.83,719625.0,台南鹽田光電,149999.08
1464,2021-01-04,18.5,4.87,12.94,2.24,671655.0,台南鹽田光電,149999.08
1465,2021-01-05,16.3,0.83,8.76,2.81,648517.0,台南鹽田光電,149999.08
1466,2021-01-06,23.53,4.57,16.9,2.33,379673.0,台南鹽田光電,149999.08
1467,2021-01-07,21.6,0.03,8.03,2.1,206592.0,台南鹽田光電,149999.08
1468,2021-01-08,25.6,4.67,20.32,3.29,9637.0,台南鹽田光電,149999.08
1469,2021-01-09,29.57,10.37,26.25,4.25,442772.0,台南鹽田光電,149999.08
1470,2021-01-10,30.2,9.5,24.02,4.89,661152.0,台南鹽田光電,149999.08
1471,2021-01-11,29.4,-25.53,26.42,4.61,466291.0,台南鹽田光電,149999.08
1472,2021-01-12,28.0,5.4,16.88,3.53,701953.0,台南鹽田光電,149999.08
1473,2021-01-13,24.0,7.07,18.3,8.44,754552.0,台南鹽田光電,149999.08
1474,2021-01-14,24.7,5.07,13.06,6.29,735477.0,台南鹽田光電,149999.08
1475,2021-01-15,16.57,5.87,13.35,5.27,697450.0,台南鹽田光電,149999.08
1476,2021-01-16,16.93,8.2,16.55,6.73,687830.0,台南鹽田光電,149999.08
1477,2021-01-17,19.43,5.13,16.64,8.68,569250.0,台南鹽田光電,149999.08
1478,2021-01-18,21.73,9.03,19.94,8.51,660902.0,台南鹽田光電,149999.08
1479,2021-01-19,27.4,5.67,-20.8,8.55,678920.0,台南鹽田光電,149999.08
1480,2021-01-20,27.8,3.4,16.25,8.34,647607.0,台南鹽田光電,149999.08
1481,2021-01-21,29.77,11.4,26.58,11.87,526732.0,台南鹽田光電,149999.08
1482,2021-01-22,17.37,4.57,12.54,1.54,249120.0,台南鹽田光電,149999.08
1483,2021-01-23,23.77,6.53,16.17,1.92,347309.0,台南鹽田光電,149999.08
1484,2021-01-24,24.03,4.93,14.74,1.99,401934.0,台南鹽田光電,149999.08
1485,2021-01-25,26.93,4.43,14.53,2.46,715517.0,台南鹽田光電,149999.08
1486,2021-01-26,24.53,0.07,8.89,1.63,452535.0,台南鹽田光電,149999.08
1487,2021-01-27,28.97,2.9,10.75,3.26,552932.0,台南鹽田光電,149999.08
1488,2021-01-28,29.97,-26.47,23.02,3.52,655066.0,台南鹽田光電,149999.08
1489,2021-01-29,30.53,-26.2,23.16,3.99,574570.0,台南鹽田光電,149999.08
1490,2021-01-30,29.8,7.4,20.6,3.39,707394.0,台南鹽田光電,149999.08
1491,2021-01-31,25.63,5.03,14.19,2.11,669139.0,台南鹽田光電,149999.08
