,date,Temp,SunShineHour,GlobalRad,UV,degree,station,capacity
1551,2021-04-01,23.03,3.5,11.63,4.05,2238.0,大潭電廠GIS廠房光電,710.04
1552,2021-04-02,23.97,3.83,10.96,3.92,2731.0,大潭電廠GIS廠房光電,710.04
1553,2021-04-03,17.67,9.53,14.73,3.39,2326.0,大潭電廠GIS廠房光電,710.04
1554,2021-04-04,16.3,0.37,7.19,3.11,1210.0,大潭電廠GIS廠房光電,710.04
1555,2021-04-05,15.07,6.03,15.63,5.48,3720.0,大潭電廠GIS廠房光電,710.04
1556,2021-04-06,20.53,5.43,17.63,5.64,3673.0,大潭電廠GIS廠房光電,710.04
1557,2021-04-07,22.2,0.03,5.79,1.78,3616.0,大潭電廠GIS廠房光電,710.04
1558,2021-04-08,24.3,0.17,6.22,3.14,668.0,大潭電廠GIS廠房光電,710.04
1559,2021-04-09,30.0,11.53,27.88,8.35,365.0,大潭電廠GIS廠房光電,710.04
1560,2021-04-10,13.43,0.1,5.16,1.85,428.0,大潭電廠GIS廠房光電,710.04
1561,2021-04-11,19.9,8.13,18.22,4.36,3333.0,大潭電廠GIS廠房光電,710.04
1562,2021-04-12,18.83,2.73,12.39,4.87,3239.0,大潭電廠GIS廠房光電,710.04
1563,2021-04-13,24.5,5.23,16.77,5.29,3122.0,大潭電廠GIS廠房光電,710.04
1564,2021-04-14,25.57,5.73,19.26,5.63,506.0,大潭電廠GIS廠房光電,710.04
1565,2021-04-15,29.0,2.63,16.02,7.53,656.0,大潭電廠GIS廠房光電,710.04
1566,2021-04-16,30.37,10.57,23.0,7.17,1550.0,大潭電廠GIS廠房光電,710.04
1567,2021-04-17,30.4,10.23,22.96,8.42,3789.0,大潭電廠GIS廠房光電,710.04
1568,2021-04-18,29.2,8.4,19.08,6.82,2672.0,大潭電廠GIS廠房光電,710.04
1569,2021-04-19,21.93,1.07,3.14,2.34,2633.0,大潭電廠GIS廠房光電,710.04
1570,2021-04-20,21.17,1.53,9.19,3.12,3961.0,大潭電廠GIS廠房光電,710.04
