,date,Temp,SunShineHour,GlobalRad,UV,degree,station,capacity
0,2017-01-01,21.03,9.67,14.48,3.18,2655.0,大潭電廠光電,651.42
1,2017-01-02,16.7,0.1,6.11,1.75,1572.0,大潭電廠光電,651.42
2,2017-01-03,15.87,0.67,9.92,3.46,1276.0,大潭電廠光電,651.42
3,2017-01-04,15.07,6.7,17.41,4.46,2610.0,大潭電廠光電,651.42
4,2017-01-05,24.17,8.47,21.31,4.84,2119.0,大潭電廠光電,651.42
5,2017-01-06,29.0,4.67,17.62,6.21,741.0,大潭電廠光電,651.42
6,2017-01-07,28.47,9.53,24.28,8.17,1111.0,大潭電廠光電,651.42
7,2017-01-08,29.2,2.03,11.81,3.53,1530.0,大潭電廠光電,651.42
8,2017-01-09,28.4,0.07,8.27,4.67,567.0,大潭電廠光電,651.42
9,2017-01-10,29.9,10.37,19.36,5.78,2159.0,大潭電廠光電,651.42
10,2017-01-11,22.9,7.3,14.17,4.65,2576.0,大潭電廠光電,651.42
11,2017-01-12,18.9,0.33,5.36,1.91,338.0,大潭電廠光電,651.42
12,2017-01-13,17.6,8.47,13.83,3.26,183.0,大潭電廠光電,651.42
13,2017-01-14,10.93,0.0,0.67,0.81,953.0,大潭電廠光電,651.42
14,2017-01-15,20.53,10.0,19.74,5.13,677.0,大潭電廠光電,651.42
15,2017-01-16,24.23,8.37,20.37,5.19,1749.0,大潭電廠光電,651.42
16,2017-01-17,26.47,3.13,15.91,5.82,2382.0,大潭電廠光電,651.42
17,2017-01-18,24.6,0.6,9.43,3.9,1198.0,大潭電廠光電,651.42
18,2017-01-19,28.83,10.57,25.79,7.72,600.0,大潭電廠光電,651.42
19,2017-01-20,30.6,9.83,24.15,6.94,217.0,大潭電廠光電,651.42
20,2017-01-21,27.83,5.87,19.08,6.39,572.0,大潭電廠光電,651.42
21,2017-01-22,25.0,10.53,21.95,6.17,3007.0,大潭電廠光電,651.42
22,2017-01-23,19.7,-33.17,2.64,1.38,2099.0,大潭電廠光電,651.42
23,2017-01-24,21.83,8.77,13.93,3.61,1634.0,大潭電廠光電,651.42
24,2017-01-25,16.8,1.83,8.42,3.47,569.0,大潭電廠光電,651.42
25,2017-01-26,14.23,0.03,2.66,1.11,3052.0,大潭電廠光電,651.42
26,2017-01-27,19.13,2.03,11.16,4.05,2526.0,大潭電廠光電,651.42
27,2017-01-28,16.97,0.07,6.67,4.03,1311.0,大潭電廠光電,651.42
28,2017-01-29,20.5,0.0,2.22,1.23,1478.0,大潭電廠光電,651.42
29,2017-01-30,27.0,3.43,14.55,7.94,209.0,大潭電廠光電,651.42
30,2017-01-31,29.73,2.9,11.8,5.82,1168.0,大潭電廠光電,651.42
31,2017-02-01,30.17,9.77,18.8,7.43,301.0,大潭電廠光電,651.42
32,2017-02-02,29.57,7.33,16.62,7.11,1215.0,大潭電廠光電,651.42
33,2017-02-03,26.77,7.2,19.5,7.3,1779.0,大潭電廠光電,651.42
34,2017-02-04,24.3,6.13,13.87,5.33,1192.0,大潭電廠光電,651.42
35,2017-02-05,20.63,7.77,14.15,4.17,1039.0,大潭電廠光電,651.42
36,2017-02-06,15.83,1.0,7.5,2.39,2647.0,大潭電廠光電,651.42
37,2017-02-07,12.9,9.9,16.95,4.56,2050.0,大潭電廠光電,651.42
38,2017-02-08,19.33,0.7,6.66,2.91,442.0,大潭電廠光電,651.42
39,2017-02-09,17.57,0.0,4.67,2.0,393.0,大潭電廠光電,651.42
40,2017-02-10,24.3,3.5,17.65,7.35,1790.0,大潭電廠光電,651.42
41,2017-02-11,28.23,7.87,22.86,8.74,2270.0,大潭電廠光電,651.42
42,2017-02-12,29.57,6.8,22.18,8.2,3080.0,大潭電廠光電,651.42
43,2017-02-13,31.2,11.03,26.52,7.2,3329.0,大潭電廠光電,651.42
44,2017-02-14,28.7,6.5,19.12,7.68,3383.0,大潭電廠光電,651.42
45,2017-02-15,24.87,9.47,21.65,5.89,2912.0,大潭電廠光電,651.42
46,2017-02-16,24.67,7.63,15.78,3.75,3039.0,大潭電廠光電,651.42
47,2017-02-17,18.9,2.27,6.2,2.54,3148.0,大潭電廠光電,651.42
48,2017-02-18,13.0,1.9,9.07,-31.68,2006.0,大潭電廠光電,651.42
49,2017-02-19,15.23,8.1,15.41,4.53,3088.0,大潭電廠光電,651.42
50,2017-02-20,19.8,4.7,14.6,3.79,1736.0,大潭電廠光電,651.42
51,2017-02-21,24.67,2.37,11.77,3.33,3289.0,大潭電廠光電,651.42
52,2017-02-22,23.77,6.17,18.9,5.47,631.0,大潭電廠光電,651.42
53,2017-02-23,26.4,2.87,17.71,6.22,213.0,大潭電廠光電,651.42
54,2017-02-24,29.43,8.37,26.45,9.16,82.0,大潭電廠光電,651.42
55,2017-02-25,28.13,0.37,9.73,3.43,93.0,大潭電廠光電,651.42
56,2017-02-26,29.53,9.63,23.77,7.38,257.0,大潭電廠光電,651.42
57,2017-02-27,28.27,7.0,18.61,6.06,772.0,大潭電廠光電,651.42
58,2017-02-28,23.3,0.87,9.49,4.01,443.0,大潭電廠光電,651.42
59,2017-03-01,15.53,4.0,9.27,2.65,2065.0,大潭電廠光電,651.42
60,2017-03-02,16.4,1.33,7.11,2.54,3079.0,大潭電廠光電,651.42
61,2017-03-03,16.07,0.13,3.53,1.15,2460.0,大潭電廠光電,651.42
62,2017-03-04,21.3,6.6,19.3,6.08,1611.0,大潭電廠光電,651.42
63,2017-03-05,15.67,0.13,5.81,3.05,2655.0,大潭電廠光電,651.42
64,2017-03-06,18.27,0.0,3.55,1.54,409.0,大潭電廠光電,651.42
65,2017-03-07,27.87,8.27,24.38,8.5,507.0,大潭電廠光電,651.42
66,2017-03-08,29.8,10.7,26.41,7.65,619.0,大潭電廠光電,651.42
67,2017-03-09,30.23,8.77,22.24,7.09,882.0,大潭電廠光電,651.42
68,2017-03-10,27.83,2.17,12.33,5.03,191.0,大潭電廠光電,651.42
69,2017-03-11,28.17,9.37,20.28,5.08,2616.0,大潭電廠光電,651.42
70,2017-03-12,21.3,1.6,8.63,5.09,1393.0,大潭電廠光電,651.42
71,2017-03-13,17.9,0.27,6.15,3.01,474.0,大潭電廠光電,651.42
72,2017-03-14,19.7,0.27,8.38,2.76,663.0,大潭電廠光電,651.42
73,2017-03-15,16.43,1.17,8.4,2.87,1225.0,大潭電廠光電,651.42
74,2017-03-16,16.93,4.07,15.19,5.43,537.0,大潭電廠光電,651.42
75,2017-03-17,18.13,0.0,2.45,0.88,1051.0,大潭電廠光電,651.42
76,2017-03-18,22.47,9.53,24.88,7.07,944.0,大潭電廠光電,651.42
77,2017-03-19,26.63,1.87,13.36,5.86,1045.0,大潭電廠光電,651.42
78,2017-03-20,20.03,4.17,10.06,2.67,1775.0,大潭電廠光電,651.42
79,2017-03-21,15.7,3.6,10.69,3.3,1911.0,大潭電廠光電,651.42
80,2017-03-22,14.33,6.93,15.37,3.96,2290.0,大潭電廠光電,651.42
81,2017-03-23,16.97,11.3,25.01,4.98,1470.0,大潭電廠光電,651.42
82,2017-03-24,24.8,1.37,11.99,4.29,3623.0,大潭電廠光電,651.42
83,2017-03-25,25.5,0.0,2.34,1.04,279.0,大潭電廠光電,651.42
84,2017-03-26,28.67,9.07,22.35,8.4,514.0,大潭電廠光電,651.42
85,2017-03-27,28.77,6.83,20.69,7.88,3794.0,大潭電廠光電,651.42
86,2017-03-28,27.57,3.03,14.57,7.54,3040.0,大潭電廠光電,651.42
87,2017-03-29,29.63,8.87,18.72,5.91,2509.0,大潭電廠光電,651.42
88,2017-03-30,23.6,0.8,7.68,2.89,1897.0,大潭電廠光電,651.42
89,2017-03-31,19.8,0.13,5.22,2.34,670.0,大潭電廠光電,651.42
90,2017-04-01,20.0,9.73,14.24,3.39,2600.0,大潭電廠光電,651.42
91,2017-04-02,12.07,0.0,1.31,0.75,3896.0,大潭電廠光電,651.42
92,2017-04-03,19.8,3.83,13.45,4.78,3782.0,大潭電廠光電,651.42
93,2017-04-04,23.3,9.17,20.62,5.58,3407.0,大潭電廠光電,651.42
94,2017-04-05,27.23,9.13,23.34,7.42,3377.0,大潭電廠光電,651.42
95,2017-04-06,25.47,5.4,19.88,7.0,1225.0,大潭電廠光電,651.42
96,2017-04-07,30.27,6.47,18.38,5.41,1449.0,大潭電廠光電,651.42
97,2017-04-08,30.4,6.83,20.03,7.22,3393.0,大潭電廠光電,651.42
98,2017-04-09,28.0,11.1,24.52,7.45,2716.0,大潭電廠光電,651.42
99,2017-04-10,23.9,10.17,21.12,6.11,2830.0,大潭電廠光電,651.42
100,2017-04-11,21.6,-32.77,6.11,3.85,359.0,大潭電廠光電,651.42
101,2017-04-12,21.87,9.67,14.92,3.87,475.0,大潭電廠光電,651.42
102,2017-04-13,17.33,0.03,5.02,2.62,1147.0,大潭電廠光電,651.42
103,2017-04-14,16.8,4.23,13.25,4.93,1577.0,大潭電廠光電,651.42
104,2017-04-15,19.63,2.07,11.47,4.34,1800.0,大潭電廠光電,651.42
105,2017-04-16,20.5,0.1,7.48,4.02,2315.0,大潭電廠光電,651.42
106,2017-04-17,19.73,0.0,3.1,1.55,2768.0,大潭電廠光電,651.42
107,2017-04-18,28.9,2.2,14.43,7.43,1035.0,大潭電廠光電,651.42
108,2017-04-19,28.97,4.53,16.0,8.09,1679.0,大潭電廠光電,651.42
109,2017-04-20,29.93,10.27,18.52,6.53,2047.0,大潭電廠光電,651.42
110,2017-04-21,29.93,11.23,20.71,7.42,2691.0,大潭電廠光電,651.42
111,2017-04-22,26.73,9.93,21.36,6.65,231.0,大潭電廠光電,651.42
112,2017-04-23,24.43,4.6,13.13,4.81,3153.0,大潭電廠光電,651.42
113,2017-04-24,15.97,0.0,1.37,1.09,1824.0,大潭電廠光電,651.42
114,2017-04-25,18.6,-27.07,-23.58,-31.35,1146.0,大潭電廠光電,651.42
115,2017-04-26,15.77,7.47,15.81,4.47,1942.0,大潭電廠光電,651.42
116,2017-04-27,16.97,5.87,15.37,4.71,354.0,大潭電廠光電,651.42
117,2017-04-28,18.37,0.43,6.49,3.39,3924.0,大潭電廠光電,651.42
118,2017-04-29,25.63,3.23,17.47,7.48,3856.0,大潭電廠光電,651.42
119,2017-04-30,27.73,7.2,22.07,8.55,3606.0,大潭電廠光電,651.42
120,2017-05-01,-13.7,5.2,18.44,5.72,3176.0,大潭電廠光電,651.42
121,2017-05-02,30.1,6.67,19.1,6.51,1927.0,大潭電廠光電,651.42
122,2017-05-03,30.13,10.57,23.74,6.77,3044.0,大潭電廠光電,651.42
123,2017-05-04,26.27,10.47,22.27,5.85,2196.0,大潭電廠光電,651.42
124,2017-05-05,23.8,4.43,11.91,4.02,2620.0,大潭電廠光電,651.42
125,2017-05-06,18.9,2.33,7.82,3.06,1803.0,大潭電廠光電,651.42
