,date,Temp,SunShineHour,GlobalRad,UV,degree,station,capacity
0,2017-01-01,23.25,5.3,11.96,3.06,6901.0,核三廠光電,1458.24
1,2017-01-02,21.55,0.0,6.96,1.88,6976.0,核三廠光電,1458.24
2,2017-01-03,21.5,6.85,17.44,3.44,6941.0,核三廠光電,1458.24
3,2017-01-04,19.0,0.0,4.2,1.48,5505.0,核三廠光電,1458.24
4,2017-01-05,25.85,7.25,20.6,4.14,6434.0,核三廠光電,1458.24
5,2017-01-06,29.35,4.4,14.62,2.83,6212.0,核三廠光電,1458.24
6,2017-01-07,29.6,10.15,24.48,6.26,6654.0,核三廠光電,1458.24
7,2017-01-08,28.75,5.6,16.56,5.81,5885.0,核三廠光電,1458.24
8,2017-01-09,26.4,0.05,16.87,2.34,7016.0,核三廠光電,1458.24
9,2017-01-10,28.85,5.6,16.56,3.8,883.0,核三廠光電,1458.24
10,2017-01-11,25.9,7.4,16.09,4.32,6697.0,核三廠光電,1458.24
11,2017-01-12,24.8,1.7,6.52,1.34,4929.0,核三廠光電,1458.24
12,2017-01-13,21.1,7.9,15.62,3.36,7188.0,核三廠光電,1458.24
13,2017-01-14,18.6,1.0,8.43,3.07,5268.0,核三廠光電,1458.24
14,2017-01-15,24.5,7.05,16.0,4.9,6983.0,核三廠光電,1458.24
15,2017-01-16,24.05,4.5,15.32,3.6,6537.0,核三廠光電,1458.24
16,2017-01-17,28.0,10.25,25.13,5.1,6551.0,核三廠光電,1458.24
17,2017-01-18,28.8,6.7,16.14,3.94,4849.0,核三廠光電,1458.24
18,2017-01-19,28.95,9.05,24.35,6.22,8058.0,核三廠光電,1458.24
19,2017-01-20,29.95,11.55,26.0,5.88,5359.0,核三廠光電,1458.24
20,2017-01-21,27.25,4.3,18.9,6.12,4122.0,核三廠光電,1458.24
21,2017-01-22,26.6,8.45,20.72,5.71,4133.0,核三廠光電,1458.24
22,2017-01-23,23.7,2.25,9.72,4.27,3771.0,核三廠光電,1458.24
23,2017-01-24,23.75,9.75,16.77,3.7,2711.0,核三廠光電,1458.24
24,2017-01-25,22.2,0.05,7.93,2.88,5440.0,核三廠光電,1458.24
25,2017-01-26,21.05,4.05,12.22,4.68,7941.0,核三廠光電,1458.24
26,2017-01-27,23.95,4.6,15.84,5.46,7360.0,核三廠光電,1458.24
27,2017-01-28,22.9,6.05,18.34,6.12,6393.0,核三廠光電,1458.24
28,2017-01-29,25.55,1.25,6.92,2.02,6480.0,核三廠光電,1458.24
29,2017-01-30,29.4,9.35,26.03,5.78,5845.0,核三廠光電,1458.24
30,2017-01-31,28.9,4.85,16.94,5.2,1847.0,核三廠光電,1458.24
31,2017-02-01,27.3,0.1,7.53,2.92,1788.0,核三廠光電,1458.24
32,2017-02-02,27.25,1.2,9.5,3.78,5862.0,核三廠光電,1458.24
33,2017-02-03,28.65,8.65,20.12,5.22,6497.0,核三廠光電,1458.24
34,2017-02-04,26.3,2.85,12.05,3.37,3544.0,核三廠光電,1458.24
35,2017-02-05,22.35,0.9,8.65,2.41,4787.0,核三廠光電,1458.24
36,2017-02-06,21.2,5.55,14.18,3.0,7584.0,核三廠光電,1458.24
37,2017-02-07,18.2,8.75,18.38,3.63,7727.0,核三廠光電,1458.24
38,2017-02-08,23.95,9.9,23.32,3.86,5756.0,核三廠光電,1458.24
39,2017-02-09,23.55,1.45,9.25,2.32,2784.0,核三廠光電,1458.24
40,2017-02-10,26.75,3.05,16.49,3.66,2964.0,核三廠光電,1458.24
41,2017-02-11,29.0,11.45,28.34,4.9,3527.0,核三廠光電,1458.24
42,2017-02-12,30.0,7.5,23.49,6.0,6852.0,核三廠光電,1458.24
43,2017-02-13,28.6,5.0,17.4,2.72,7014.0,核三廠光電,1458.24
44,2017-02-14,28.85,9.15,23.4,5.51,4763.0,核三廠光電,1458.24
45,2017-02-15,26.5,0.9,11.27,3.16,7982.0,核三廠光電,1458.24
46,2017-02-16,26.3,8.7,20.64,3.3,5282.0,核三廠光電,1458.24
47,2017-02-17,23.45,7.0,15.9,3.54,5047.0,核三廠光電,1458.24
48,2017-02-18,16.75,8.8,16.9,2.88,7354.0,核三廠光電,1458.24
49,2017-02-19,21.7,9.9,19.4,3.88,6887.0,核三廠光電,1458.24
50,2017-02-20,23.45,5.75,16.52,3.1,4602.0,核三廠光電,1458.24
51,2017-02-21,26.65,10.15,22.88,4.62,5865.0,核三廠光電,1458.24
52,2017-02-22,25.55,3.7,16.88,5.11,2308.0,核三廠光電,1458.24
53,2017-02-23,28.3,4.85,18.92,5.52,5727.0,核三廠光電,1458.24
54,2017-02-24,29.4,11.25,27.72,6.22,4707.0,核三廠光電,1458.24
55,2017-02-25,26.75,0.0,3.58,2.4,5780.0,核三廠光電,1458.24
56,2017-02-26,28.1,9.6,24.98,5.82,3708.0,核三廠光電,1458.24
57,2017-02-27,27.75,6.85,18.32,3.92,6981.0,核三廠光電,1458.24
58,2017-02-28,25.45,6.25,16.42,3.41,6472.0,核三廠光電,1458.24
59,2017-03-01,20.25,6.35,15.52,3.28,6634.0,核三廠光電,1458.24
60,2017-03-02,20.4,4.6,11.84,2.91,6446.0,核三廠光電,1458.24
61,2017-03-03,21.35,6.45,16.73,3.84,7172.0,核三廠光電,1458.24
62,2017-03-04,23.55,3.65,13.94,4.43,7352.0,核三廠光電,1458.24
63,2017-03-05,22.7,5.25,19.4,6.38,7593.0,核三廠光電,1458.24
64,2017-03-06,25.05,4.35,17.68,5.54,5081.0,核三廠光電,1458.24
65,2017-03-07,29.45,10.7,26.5,4.89,3519.0,核三廠光電,1458.24
