,date,Temp,SunShineHour,GlobalRad,UV,degree,station,capacity
0,2017-01-01,20.6,7.9,14.24,2.32,20716.0,永安鹽灘地光電,4636.8
1,2017-01-02,19.2,0.5,10.3,2.02,18200.0,永安鹽灘地光電,4636.8
2,2017-01-03,19.05,10.5,20.4,3.04,16296.0,永安鹽灘地光電,4636.8
3,2017-01-04,18.25,3.65,15.47,2.53,19216.0,永安鹽灘地光電,4636.8
4,2017-01-05,26.1,-45.1,21.35,3.38,15924.0,永安鹽灘地光電,4636.8
5,2017-01-06,27.8,1.65,11.56,4.42,19604.0,永安鹽灘地光電,4636.8
6,2017-01-07,30.45,11.65,29.46,6.56,15980.0,永安鹽灘地光電,4636.8
7,2017-01-08,26.2,0.0,3.92,2.08,20408.0,永安鹽灘地光電,4636.8
8,2017-01-09,27.8,-49.7,7.49,3.12,17744.0,永安鹽灘地光電,4636.8
9,2017-01-10,30.5,9.4,20.94,4.51,17984.0,永安鹽灘地光電,4636.8
10,2017-01-11,23.8,10.5,18.57,2.92,17332.0,永安鹽灘地光電,4636.8
11,2017-01-12,21.95,3.85,11.06,2.25,18184.0,永安鹽灘地光電,4636.8
12,2017-01-13,18.55,9.2,15.36,2.52,16196.0,永安鹽灘地光電,4636.8
13,2017-01-14,13.9,2.05,11.22,3.02,11616.0,永安鹽灘地光電,4636.8
14,2017-01-15,22.95,10.4,21.2,3.78,12268.0,永安鹽灘地光電,4636.8
15,2017-01-16,25.05,8.55,22.04,4.53,20936.0,永安鹽灘地光電,4636.8
16,2017-01-17,28.25,8.5,23.16,5.26,19472.0,永安鹽灘地光電,4636.8
17,2017-01-18,29.9,8.2,22.29,4.52,20676.0,永安鹽灘地光電,4636.8
18,2017-01-19,28.45,5.05,21.93,5.3,21464.0,永安鹽灘地光電,4636.8
19,2017-01-20,30.4,8.0,21.6,4.79,19548.0,永安鹽灘地光電,4636.8
20,2017-01-21,27.9,3.55,14.06,3.38,13196.0,永安鹽灘地光電,4636.8
21,2017-01-22,27.55,7.3,18.75,5.28,13248.0,永安鹽灘地光電,4636.8
22,2017-01-23,21.15,0.0,4.73,1.64,14928.0,永安鹽灘地光電,4636.8
23,2017-01-24,23.15,9.8,15.84,3.36,13768.0,永安鹽灘地光電,4636.8
24,2017-01-25,18.8,0.35,8.75,2.88,15488.0,永安鹽灘地光電,4636.8
25,2017-01-26,18.5,3.2,13.2,3.5,21600.0,永安鹽灘地光電,4636.8
26,2017-01-27,21.6,9.85,20.59,5.66,22316.0,永安鹽灘地光電,4636.8
27,2017-01-28,20.45,0.75,10.78,4.38,21816.0,永安鹽灘地光電,4636.8
28,2017-01-29,25.75,1.65,12.36,3.38,18380.0,永安鹽灘地光電,4636.8
29,2017-01-30,28.75,5.2,19.87,5.63,19968.0,永安鹽灘地光電,4636.8
30,2017-01-31,31.15,8.5,22.86,4.91,11100.0,永安鹽灘地光電,4636.8
31,2017-02-01,28.35,0.25,6.64,2.11,11424.0,永安鹽灘地光電,4636.8
32,2017-02-02,29.1,4.85,17.1,4.82,16356.0,永安鹽灘地光電,4636.8
33,2017-02-03,28.1,8.0,18.74,4.76,20692.0,永安鹽灘地光電,4636.8
34,2017-02-04,26.35,6.6,15.83,2.9,7668.0,永安鹽灘地光電,4636.8
35,2017-02-05,22.1,9.1,15.77,2.7,8700.0,永安鹽灘地光電,4636.8
36,2017-02-06,18.05,5.6,12.73,2.35,19140.0,永安鹽灘地光電,4636.8
37,2017-02-07,15.65,10.1,17.26,3.23,18972.0,永安鹽灘地光電,4636.8
38,2017-02-08,24.3,10.25,20.58,3.8,21524.0,永安鹽灘地光電,4636.8
39,2017-02-09,23.45,5.9,16.22,2.94,18636.0,永安鹽灘地光電,4636.8
40,2017-02-10,28.0,8.35,22.86,4.99,9298.0,永安鹽灘地光電,4636.8
41,2017-02-11,29.75,10.55,25.96,5.84,1554.0,永安鹽灘地光電,4636.8
42,2017-02-12,28.75,3.35,12.68,3.67,13360.0,永安鹽灘地光電,4636.8
43,2017-02-13,29.5,6.65,18.18,5.21,22308.0,永安鹽灘地光電,4636.8
44,2017-02-14,29.05,9.7,20.86,4.5,22492.0,永安鹽灘地光電,4636.8
45,2017-02-15,27.65,5.65,16.09,4.28,23408.0,永安鹽灘地光電,4636.8
46,2017-02-16,25.0,8.6,15.98,2.31,21784.0,永安鹽灘地光電,4636.8
47,2017-02-17,22.05,9.45,14.88,2.58,22160.0,永安鹽灘地光電,4636.8
48,2017-02-18,14.1,8.95,15.7,3.16,21820.0,永安鹽灘地光電,4636.8
49,2017-02-19,19.3,10.4,18.38,4.01,21360.0,永安鹽灘地光電,4636.8
50,2017-02-20,23.4,7.5,18.36,4.3,18164.0,永安鹽灘地光電,4636.8
51,2017-02-21,26.95,7.05,20.42,5.01,16764.0,永安鹽灘地光電,4636.8
52,2017-02-22,26.0,5.9,21.6,5.17,12216.0,永安鹽灘地光電,4636.8
53,2017-02-23,28.8,4.7,16.81,4.37,13092.0,永安鹽灘地光電,4636.8
54,2017-02-24,29.45,11.7,24.9,6.47,12944.0,永安鹽灘地光電,4636.8
55,2017-02-25,26.45,0.1,4.94,2.3,17620.0,永安鹽灘地光電,4636.8
56,2017-02-26,29.4,-46.75,19.4,5.79,22972.0,永安鹽灘地光電,4636.8
57,2017-02-27,29.8,7.55,18.08,4.15,17060.0,永安鹽灘地光電,4636.8
58,2017-02-28,25.55,10.4,18.12,3.7,22532.0,永安鹽灘地光電,4636.8
59,2017-03-01,17.75,4.4,11.58,2.47,23760.0,永安鹽灘地光電,4636.8
60,2017-03-02,28.9,9.95,20.74,7.19,22440.0,永安鹽灘地光電,4636.8
61,2017-03-03,27.65,6.0,18.76,7.04,17820.0,永安鹽灘地光電,4636.8
62,2017-03-04,34.9,14.4,30.67,11.84,21040.0,永安鹽灘地光電,4636.8
63,2017-03-05,30.0,0.8,16.52,8.28,21504.0,永安鹽灘地光電,4636.8
64,2017-03-06,35.3,1.6,18.34,8.76,20216.0,永安鹽灘地光電,4636.8
65,2017-03-07,44.15,17.55,42.17,12.46,5816.0,永安鹽灘地光電,4636.8
66,2017-03-08,42.45,4.0,23.04,9.34,2744.0,永安鹽灘地光電,4636.8
67,2017-03-09,43.05,2.9,20.24,9.82,20448.0,永安鹽灘地光電,4636.8
68,2017-03-10,43.7,3.65,21.7,7.89,17276.0,永安鹽灘地光電,4636.8
69,2017-03-11,43.75,16.0,33.02,10.34,22664.0,永安鹽灘地光電,4636.8
70,2017-03-12,36.15,5.25,18.94,11.22,20988.0,永安鹽灘地光電,4636.8
71,2017-03-13,33.2,13.7,23.71,9.94,22124.0,永安鹽灘地光電,4636.8
