,date,Temp,SunShineHour,GlobalRad,UV,degree,station,capacity
0,2017-01-01,20.03,4.4,10.27,3.38,1979.0,金門金沙光電,528.0
1,2017-01-02,16.8,1.57,8.06,3.27,1921.0,金門金沙光電,528.0
2,2017-01-03,17.67,9.0,17.46,4.54,2067.0,金門金沙光電,528.0
3,2017-01-04,17.9,7.3,19.1,5.0,855.0,金門金沙光電,528.0
4,2017-01-05,24.57,6.73,20.27,5.32,1370.0,金門金沙光電,528.0
5,2017-01-06,27.17,3.23,15.97,5.59,585.0,金門金沙光電,528.0
6,2017-01-07,29.1,9.83,23.49,8.47,761.0,金門金沙光電,528.0
7,2017-01-08,28.17,2.9,13.05,5.4,1954.0,金門金沙光電,528.0
8,2017-01-09,29.07,1.33,8.95,4.78,1886.0,金門金沙光電,528.0
9,2017-01-10,29.73,10.43,20.44,6.3,1925.0,金門金沙光電,528.0
10,2017-01-11,23.27,7.97,15.78,4.28,1044.0,金門金沙光電,528.0
11,2017-01-12,20.33,2.5,9.33,3.21,649.0,金門金沙光電,528.0
12,2017-01-13,17.53,7.73,13.57,3.36,629.0,金門金沙光電,528.0
13,2017-01-14,12.27,0.0,4.59,2.08,1437.0,金門金沙光電,528.0
14,2017-01-15,20.53,8.97,20.12,5.57,801.0,金門金沙光電,528.0
15,2017-01-16,22.67,8.9,20.42,5.39,2024.0,金門金沙光電,528.0
16,2017-01-17,26.07,8.3,20.19,6.34,1547.0,金門金沙光電,528.0
17,2017-01-18,26.03,4.2,14.78,4.94,396.0,金門金沙光電,528.0
18,2017-01-19,28.9,8.33,20.16,6.76,992.0,金門金沙光電,528.0
19,2017-01-20,30.0,9.33,21.28,7.14,710.0,金門金沙光電,528.0
20,2017-01-21,27.77,4.53,18.86,5.4,2243.0,金門金沙光電,528.0
21,2017-01-22,26.5,10.7,21.25,6.04,2523.0,金門金沙光電,528.0
22,2017-01-23,21.03,0.0,2.76,1.35,2309.0,金門金沙光電,528.0
23,2017-01-24,22.03,9.07,15.48,4.14,1976.0,金門金沙光電,528.0
24,2017-01-25,17.63,1.4,8.28,3.27,1851.0,金門金沙光電,528.0
25,2017-01-26,16.77,0.17,8.16,3.24,2606.0,金門金沙光電,528.0
26,2017-01-27,19.07,0.5,8.33,3.3,2625.0,金門金沙光電,528.0
27,2017-01-28,19.1,0.47,8.24,4.37,1832.0,金門金沙光電,528.0
28,2017-01-29,23.93,0.57,8.31,2.81,887.0,金門金沙光電,528.0
29,2017-01-30,27.3,3.2,16.69,7.19,319.0,金門金沙光電,528.0
30,2017-01-31,29.93,9.1,23.14,7.91,1867.0,金門金沙光電,528.0
31,2017-02-01,28.4,0.2,9.93,4.12,1988.0,金門金沙光電,528.0
32,2017-02-02,29.03,9.1,23.04,8.0,2642.0,金門金沙光電,528.0
33,2017-02-03,28.5,10.3,22.35,7.3,761.0,金門金沙光電,528.0
34,2017-02-04,24.47,4.1,11.94,3.92,1920.0,金門金沙光電,528.0
35,2017-02-05,20.97,6.47,13.62,3.77,1343.0,金門金沙光電,528.0
36,2017-02-06,16.77,1.9,8.32,2.42,2598.0,金門金沙光電,528.0
37,2017-02-07,15.7,9.8,17.76,4.79,2695.0,金門金沙光電,528.0
38,2017-02-08,22.03,7.67,17.39,4.31,1280.0,金門金沙光電,528.0
39,2017-02-09,20.43,3.47,14.55,4.24,2570.0,金門金沙光電,528.0
40,2017-02-10,25.17,6.2,21.45,7.24,1678.0,金門金沙光電,528.0
41,2017-02-11,27.7,7.97,21.0,6.68,2657.0,金門金沙光電,528.0
42,2017-02-12,29.37,5.73,19.49,8.1,2720.0,金門金沙光電,528.0
43,2017-02-13,30.13,8.47,22.87,8.21,2866.0,金門金沙光電,528.0
44,2017-02-14,29.73,10.17,22.89,7.32,2836.0,金門金沙光電,528.0
45,2017-02-15,26.7,8.43,20.2,5.7,2678.0,金門金沙光電,528.0
46,2017-02-16,24.6,7.63,15.56,3.9,2564.0,金門金沙光電,528.0
47,2017-02-17,21.03,2.9,9.81,3.19,2565.0,金門金沙光電,528.0
48,2017-02-18,12.43,3.47,8.07,2.27,2455.0,金門金沙光電,528.0
49,2017-02-19,17.47,10.23,18.09,4.64,1961.0,金門金沙光電,528.0
50,2017-02-20,19.53,4.73,15.09,4.84,1271.0,金門金沙光電,528.0
51,2017-02-21,23.6,1.43,10.92,2.63,1896.0,金門金沙光電,528.0
52,2017-02-22,24.13,6.63,21.19,6.84,887.0,金門金沙光電,528.0
53,2017-02-23,26.9,4.47,17.95,6.76,344.0,金門金沙光電,528.0
54,2017-02-24,28.03,9.93,24.82,8.71,282.0,金門金沙光電,528.0
55,2017-02-25,27.37,2.6,13.01,5.27,320.0,金門金沙光電,528.0
56,2017-02-26,29.07,9.5,22.34,7.04,1704.0,金門金沙光電,528.0
57,2017-02-27,28.6,9.13,19.58,6.2,2524.0,金門金沙光電,528.0
58,2017-02-28,24.27,6.53,16.16,4.95,1566.0,金門金沙光電,528.0
59,2017-03-01,17.33,7.73,15.68,3.94,2211.0,金門金沙光電,528.0
60,2017-03-02,17.37,7.57,14.28,3.91,2631.0,金門金沙光電,528.0
61,2017-03-03,14.93,0.17,3.75,1.06,2331.0,金門金沙光電,528.0
62,2017-03-04,19.8,10.17,22.0,6.93,789.0,金門金沙光電,528.0
63,2017-03-05,17.97,1.53,12.96,4.78,1414.0,金門金沙光電,528.0
64,2017-03-06,20.17,0.0,6.05,2.81,1417.0,金門金沙光電,528.0
65,2017-03-07,26.83,8.07,21.83,-29.54,363.0,金門金沙光電,528.0
66,2017-03-08,28.43,8.47,22.51,6.67,810.0,金門金沙光電,528.0
67,2017-03-09,29.13,6.23,20.37,6.11,1273.0,金門金沙光電,528.0
68,2017-03-10,28.9,7.37,18.15,6.0,77.0,金門金沙光電,528.0
69,2017-03-11,27.83,10.0,20.53,6.05,1716.0,金門金沙光電,528.0
70,2017-03-12,22.53,1.27,9.6,6.41,1305.0,金門金沙光電,528.0
71,2017-03-13,19.0,0.9,9.54,5.03,2041.0,金門金沙光電,528.0
72,2017-03-14,16.97,0.0,4.4,2.31,1544.0,金門金沙光電,528.0
73,2017-03-15,18.4,4.17,13.26,6.17,1172.0,金門金沙光電,528.0
74,2017-03-16,17.3,9.2,20.24,8.28,293.0,金門金沙光電,528.0
75,2017-03-17,18.97,0.3,-28.6,3.71,974.0,金門金沙光電,528.0
76,2017-03-18,23.07,11.13,25.48,10.16,1036.0,金門金沙光電,528.0
77,2017-03-19,27.4,10.63,26.88,10.8,818.0,金門金沙光電,528.0
78,2017-03-20,19.63,6.33,11.95,3.83,1742.0,金門金沙光電,528.0
79,2017-03-21,15.77,3.73,10.94,3.72,1778.0,金門金沙光電,528.0
80,2017-03-22,17.63,10.1,19.96,4.9,331.0,金門金沙光電,528.0
81,2017-03-23,19.47,11.37,24.63,5.54,2788.0,金門金沙光電,528.0
82,2017-03-24,24.63,4.43,16.23,4.84,2746.0,金門金沙光電,528.0
83,2017-03-25,26.6,0.3,7.79,4.5,322.0,金門金沙光電,528.0
84,2017-03-26,29.03,10.8,23.93,8.94,771.0,金門金沙光電,528.0
85,2017-03-27,27.47,0.43,8.25,4.55,2823.0,金門金沙光電,528.0
86,2017-03-28,28.63,2.7,13.47,5.61,2610.0,金門金沙光電,528.0
87,2017-03-29,29.97,10.7,19.83,6.05,2379.0,金門金沙光電,528.0
88,2017-03-30,23.83,0.9,8.96,3.35,1736.0,金門金沙光電,528.0
89,2017-03-31,20.5,2.2,7.81,2.52,540.0,金門金沙光電,528.0
90,2017-04-01,18.93,5.47,11.65,3.35,2748.0,金門金沙光電,528.0
91,2017-04-02,13.1,0.1,1.64,0.82,2806.0,金門金沙光電,528.0
92,2017-04-03,19.97,7.67,17.64,5.22,2687.0,金門金沙光電,528.0
93,2017-04-04,22.73,10.07,22.21,6.32,2698.0,金門金沙光電,528.0
94,2017-04-05,26.37,9.17,21.03,6.96,2281.0,金門金沙光電,528.0
95,2017-04-06,26.33,11.03,22.86,7.21,938.0,金門金沙光電,528.0
96,2017-04-07,28.23,1.1,8.1,4.13,1816.0,金門金沙光電,528.0
97,2017-04-08,29.6,7.87,19.32,7.31,2100.0,金門金沙光電,528.0
98,2017-04-09,28.13,11.33,24.22,7.69,1793.0,金門金沙光電,528.0
99,2017-04-10,25.7,10.33,20.45,5.46,1493.0,金門金沙光電,528.0
100,2017-04-11,20.97,0.0,2.89,1.33,1033.0,金門金沙光電,528.0
101,2017-04-12,22.53,8.23,14.21,3.85,1611.0,金門金沙光電,528.0
102,2017-04-13,17.5,0.0,5.99,2.45,622.0,金門金沙光電,528.0
103,2017-04-14,18.5,4.6,12.69,4.24,1480.0,金門金沙光電,528.0
104,2017-04-15,20.93,4.47,14.82,6.03,915.0,金門金沙光電,528.0
105,2017-04-16,20.33,3.97,15.83,4.24,1469.0,金門金沙光電,528.0
106,2017-04-17,22.7,0.03,4.68,2.0,2285.0,金門金沙光電,528.0
107,2017-04-18,28.23,7.23,22.52,7.19,1994.0,金門金沙光電,528.0
108,2017-04-19,28.47,1.57,13.03,5.39,868.0,金門金沙光電,528.0
109,2017-04-20,28.93,6.03,21.44,8.19,2286.0,金門金沙光電,528.0
110,2017-04-21,28.8,9.97,23.95,8.14,1605.0,金門金沙光電,528.0
111,2017-04-22,28.17,7.7,18.33,4.89,930.0,金門金沙光電,528.0
112,2017-04-23,24.43,8.23,16.03,4.51,2531.0,金門金沙光電,528.0
113,2017-04-24,18.7,6.03,10.94,3.25,2707.0,金門金沙光電,528.0
114,2017-04-25,17.83,2.23,8.39,3.06,966.0,金門金沙光電,528.0
115,2017-04-26,16.4,5.1,12.77,3.35,2343.0,金門金沙光電,528.0
116,2017-04-27,19.23,4.27,15.66,4.67,399.0,金門金沙光電,528.0
117,2017-04-28,19.27,0.33,5.98,2.8,2829.0,金門金沙光電,528.0
118,2017-04-29,26.13,8.7,23.22,7.84,2989.0,金門金沙光電,528.0
119,2017-04-30,27.67,9.97,25.53,8.17,2752.0,金門金沙光電,528.0
120,2017-05-01,29.03,7.93,20.26,8.18,1850.0,金門金沙光電,528.0
121,2017-05-02,29.5,9.9,23.6,8.03,1547.0,金門金沙光電,528.0
122,2017-05-03,29.57,8.6,21.1,6.49,1598.0,金門金沙光電,528.0
123,2017-05-04,27.07,9.87,21.0,6.22,1578.0,金門金沙光電,528.0
124,2017-05-05,24.73,4.53,13.25,3.93,2268.0,金門金沙光電,528.0
125,2017-05-06,20.87,5.9,13.14,3.79,2150.0,金門金沙光電,528.0
126,2017-05-07,14.2,7.03,13.82,3.45,2777.0,金門金沙光電,528.0
127,2017-05-08,17.63,7.27,15.97,3.67,2094.0,金門金沙光電,528.0
128,2017-05-09,17.2,1.23,10.07,2.94,2730.0,金門金沙光電,528.0
129,2017-05-10,24.27,8.83,21.74,5.25,2273.0,金門金沙光電,528.0
130,2017-05-11,23.9,8.87,23.66,7.2,1704.0,金門金沙光電,528.0
131,2017-05-12,28.27,5.53,19.95,8.06,1652.0,金門金沙光電,528.0
132,2017-05-13,28.3,11.9,27.04,8.82,1047.0,金門金沙光電,528.0
133,2017-05-14,27.6,2.23,11.98,6.3,2451.0,金門金沙光電,528.0
134,2017-05-15,29.2,10.47,23.84,7.67,848.0,金門金沙光電,528.0
