,date,Temp,SunShineHour,GlobalRad,UV,degree,station,capacity
0,2017-01-01,20.63,4.73,10.56,3.04,152.0,澎湖七美光電,682.56
1,2017-01-02,18.13,0.27,7.23,2.23,400.0,澎湖七美光電,682.56
2,2017-01-03,19.13,9.73,18.64,4.39,154.0,澎湖七美光電,682.56
3,2017-01-04,18.97,5.27,17.29,4.06,278.0,澎湖七美光電,682.56
4,2017-01-05,25.9,8.4,21.8,5.07,405.0,澎湖七美光電,682.56
5,2017-01-06,27.53,2.5,14.78,5.75,450.0,澎湖七美光電,682.56
6,2017-01-07,30.0,12.07,27.89,8.67,387.0,澎湖七美光電,682.56
7,2017-01-08,27.87,2.9,12.49,5.2,415.0,澎湖七美光電,682.56
8,2017-01-09,28.63,0.07,6.32,3.32,464.0,澎湖七美光電,682.56
9,2017-01-10,30.03,10.2,21.75,6.22,297.0,澎湖七美光電,682.56
10,2017-01-11,23.93,8.5,17.34,3.99,434.0,澎湖七美光電,682.56
11,2017-01-12,21.6,1.7,9.41,2.92,277.0,澎湖七美光電,682.56
12,2017-01-13,18.8,7.97,14.88,3.48,169.0,澎湖七美光電,682.56
13,2017-01-14,13.8,0.73,6.4,2.72,126.0,澎湖七美光電,682.56
14,2017-01-15,22.1,9.5,21.46,5.32,169.0,澎湖七美光電,682.56
15,2017-01-16,24.1,8.27,21.47,5.36,194.0,澎湖七美光電,682.56
16,2017-01-17,27.3,9.47,23.21,7.1,207.0,澎湖七美光電,682.56
17,2017-01-18,28.3,6.93,20.07,6.38,287.0,澎湖七美光電,682.56
18,2017-01-19,28.9,8.03,21.71,6.84,414.0,澎湖七美光電,682.56
19,2017-01-20,30.23,10.0,22.83,6.85,179.0,澎湖七美光電,682.56
20,2017-01-21,28.1,5.13,20.26,5.26,337.0,澎湖七美光電,682.56
21,2017-01-22,27.13,9.6,21.4,6.57,528.0,澎湖七美光電,682.56
22,2017-01-23,21.93,0.0,3.73,1.79,397.0,澎湖七美光電,682.56
23,2017-01-24,23.17,9.57,15.92,4.44,331.0,澎湖七美光電,682.56
24,2017-01-25,18.83,0.2,7.32,3.18,379.0,澎湖七美光電,682.56
25,2017-01-26,18.47,1.13,9.87,3.75,532.0,澎湖七美光電,682.56
26,2017-01-27,21.07,3.47,12.38,5.44,482.0,澎湖七美光電,682.56
27,2017-01-28,20.73,0.2,7.41,4.03,349.0,澎湖七美光電,682.56
28,2017-01-29,25.7,1.0,11.09,4.01,416.0,澎湖七美光電,682.56
29,2017-01-30,28.47,4.73,19.11,7.89,323.0,澎湖七美光電,682.56
30,2017-01-31,30.57,7.97,21.95,6.8,139.0,澎湖七美光電,682.56
31,2017-02-01,28.53,0.13,7.15,2.61,22.0,澎湖七美光電,682.56
32,2017-02-02,29.0,7.47,21.12,7.41,190.0,澎湖七美光電,682.56
33,2017-02-03,28.23,9.63,21.22,6.92,201.0,澎湖七美光電,682.56
34,2017-02-04,25.43,4.47,12.07,3.42,135.0,澎湖七美光電,682.56
35,2017-02-05,21.8,6.7,13.95,3.78,163.0,澎湖七美光電,682.56
36,2017-02-06,18.1,2.97,9.64,2.27,439.0,澎湖七美光電,682.56
