,date,Temp,SunShineHour,GlobalRad,UV,degree,station,capacity
699,2018-12-01,34.0,13.0,34.48,15.9,1854.0,燕巢倉庫光電,497.96
700,2018-12-02,34.95,0.8,14.28,7.94,2013.0,燕巢倉庫光電,497.96
701,2018-12-03,44.8,14.65,35.78,17.63,2084.0,燕巢倉庫光電,497.96
702,2018-12-04,19.35,8.15,14.11,1.92,2043.0,燕巢倉庫光電,497.96
703,2018-12-05,13.6,0.85,7.24,1.24,1791.0,燕巢倉庫光電,497.96
704,2018-12-06,22.2,2.85,12.05,1.94,1633.0,燕巢倉庫光電,497.96
705,2018-12-07,27.5,7.7,19.77,3.45,1476.0,燕巢倉庫光電,497.96
706,2018-12-08,28.6,6.3,19.18,3.22,1496.0,燕巢倉庫光電,497.96
707,2018-12-09,30.55,11.75,29.39,6.33,1864.0,燕巢倉庫光電,497.96
708,2018-12-10,30.25,9.05,25.4,6.1,1913.0,燕巢倉庫光電,497.96
709,2018-12-11,30.15,7.25,20.72,6.43,1882.0,燕巢倉庫光電,497.96
710,2018-12-12,29.6,6.3,17.4,5.06,1402.0,燕巢倉庫光電,497.96
711,2018-12-13,30.55,10.75,22.03,4.62,1642.0,燕巢倉庫光電,497.96
712,2018-12-14,25.35,2.5,11.36,2.72,1998.0,燕巢倉庫光電,497.96
713,2018-12-15,17.75,9.5,15.46,2.52,1707.0,燕巢倉庫光電,497.96
714,2018-12-16,12.85,4.3,11.77,2.42,1663.0,燕巢倉庫光電,497.96
715,2018-12-17,17.15,1.15,10.18,0.0,1435.0,燕巢倉庫光電,497.96
716,2018-12-18,17.55,10.8,23.06,4.14,1730.0,燕巢倉庫光電,497.96
717,2018-12-19,24.6,5.7,20.3,4.03,1532.0,燕巢倉庫光電,497.96
718,2018-12-20,26.35,9.05,24.06,5.06,2119.0,燕巢倉庫光電,497.96
719,2018-12-21,30.65,8.4,22.3,4.07,1920.0,燕巢倉庫光電,497.96
720,2018-12-22,29.7,7.75,22.44,5.64,1934.0,燕巢倉庫光電,497.96
721,2018-12-23,28.9,6.75,19.09,4.06,1239.0,燕巢倉庫光電,497.96
722,2018-12-24,27.05,1.4,11.72,3.0,1416.0,燕巢倉庫光電,497.96
723,2018-12-25,27.4,5.7,16.58,4.54,1831.0,燕巢倉庫光電,497.96
724,2018-12-26,24.85,4.1,13.64,3.84,1664.0,燕巢倉庫光電,497.96
725,2018-12-27,21.55,3.9,12.58,3.52,1840.0,燕巢倉庫光電,497.96
726,2018-12-28,21.3,3.9,12.48,3.42,1613.0,燕巢倉庫光電,497.96
727,2018-12-29,20.95,9.95,18.97,4.36,1855.0,燕巢倉庫光電,497.96
728,2018-12-30,21.3,2.35,10.64,4.6,1805.0,燕巢倉庫光電,497.96
729,2018-12-31,26.9,10.75,24.24,5.46,913.0,燕巢倉庫光電,497.96
730,2019-01-01,25.95,6.15,18.63,4.32,954.0,燕巢倉庫光電,497.96
731,2019-01-02,28.0,3.25,12.34,5.3,784.0,燕巢倉庫光電,497.96
732,2019-01-03,27.8,-48.35,13.87,3.77,1601.0,燕巢倉庫光電,497.96
733,2019-01-04,30.25,0.55,10.2,4.05,965.0,燕巢倉庫光電,497.96
734,2019-01-05,26.5,1.05,8.7,3.9,1501.0,燕巢倉庫光電,497.96
735,2019-01-06,28.1,6.6,15.89,3.14,1708.0,燕巢倉庫光電,497.96
736,2019-01-07,22.55,10.35,19.6,3.06,1960.0,燕巢倉庫光電,497.96
737,2019-01-08,19.55,9.8,15.59,2.68,2012.0,燕巢倉庫光電,497.96
738,2019-01-09,20.15,7.35,14.43,2.44,1997.0,燕巢倉庫光電,497.96
739,2019-01-10,18.0,9.75,17.34,3.14,1583.0,燕巢倉庫光電,497.96
740,2019-01-11,22.65,2.15,10.34,2.5,1835.0,燕巢倉庫光電,497.96
741,2019-01-12,23.55,10.95,22.94,4.04,1799.0,燕巢倉庫光電,497.96
742,2019-01-13,29.1,10.1,23.99,5.1,1712.0,燕巢倉庫光電,497.96
743,2019-01-14,29.75,9.7,24.34,6.39,1891.0,燕巢倉庫光電,497.96
744,2019-01-15,31.1,10.3,24.86,6.2,1359.0,燕巢倉庫光電,497.96
745,2019-01-16,29.35,3.25,11.77,4.27,833.0,燕巢倉庫光電,497.96
746,2019-01-17,29.75,6.15,19.34,4.68,1583.0,燕巢倉庫光電,497.96
747,2019-01-18,26.5,8.75,19.4,3.72,2225.0,燕巢倉庫光電,497.96
748,2019-01-19,21.2,1.45,10.82,3.26,1210.0,燕巢倉庫光電,497.96
749,2019-01-20,21.75,0.15,7.6,2.11,1101.0,燕巢倉庫光電,497.96
750,2019-01-21,13.7,8.7,15.5,3.04,755.0,燕巢倉庫光電,497.96
751,2019-01-22,19.25,1.45,11.62,3.09,2209.0,燕巢倉庫光電,497.96
752,2019-01-23,21.05,7.75,18.81,3.98,1486.0,燕巢倉庫光電,497.96
753,2019-01-24,22.05,10.85,23.96,5.08,2249.0,燕巢倉庫光電,497.96
754,2019-01-25,28.5,8.55,23.68,6.5,2249.0,燕巢倉庫光電,497.96
755,2019-01-26,29.15,6.55,18.88,5.95,1491.0,燕巢倉庫光電,497.96
756,2019-01-27,30.4,7.45,21.62,4.53,1460.0,燕巢倉庫光電,497.96
757,2019-01-28,27.9,-47.2,14.82,5.2,2290.0,燕巢倉庫光電,497.96
758,2019-01-29,30.35,10.15,23.55,5.8,2241.0,燕巢倉庫光電,497.96
759,2019-01-30,29.7,10.7,20.98,4.62,2275.0,燕巢倉庫光電,497.96
760,2019-01-31,20.65,4.6,13.78,3.36,1793.0,燕巢倉庫光電,497.96
761,2019-02-01,21.5,9.6,15.56,2.84,1860.0,燕巢倉庫光電,497.96
762,2019-02-02,18.4,9.35,16.13,3.16,1986.0,燕巢倉庫光電,497.96
763,2019-02-03,28.55,10.65,25.1,9.47,1717.0,燕巢倉庫光電,497.96
764,2019-02-04,31.1,14.15,35.18,9.82,1183.0,燕巢倉庫光電,497.96
765,2019-02-05,39.7,14.95,37.09,10.61,1174.0,燕巢倉庫光電,497.96
766,2019-02-06,41.15,11.0,34.51,11.08,2303.0,燕巢倉庫光電,497.96
767,2019-02-07,43.05,2.75,18.21,6.72,2378.0,燕巢倉庫光電,497.96
768,2019-02-08,45.75,16.4,41.45,12.9,2282.0,燕巢倉庫光電,497.96
769,2019-02-09,42.75,10.95,30.92,12.0,2187.0,燕巢倉庫光電,497.96
770,2019-02-10,42.3,8.35,27.55,8.3,2257.0,燕巢倉庫光電,497.96
771,2019-02-11,37.35,10.25,30.16,10.0,2098.0,燕巢倉庫光電,497.96
772,2019-02-12,38.3,14.75,26.44,10.72,2096.0,燕巢倉庫光電,497.96
773,2019-02-13,31.5,-43.3,-36.07,-43.28,2253.0,燕巢倉庫光電,497.96
774,2019-02-14,30.25,1.9,16.36,6.7,2063.0,燕巢倉庫光電,497.96
775,2019-02-15,34.75,11.6,24.07,11.14,1710.0,燕巢倉庫光電,497.96
776,2019-02-16,32.5,15.45,34.04,14.02,1823.0,燕巢倉庫光電,497.96
777,2019-02-17,35.0,14.8,34.53,13.62,2214.0,燕巢倉庫光電,497.96
778,2019-02-18,37.15,16.3,39.73,16.08,2077.0,燕巢倉庫光電,497.96
779,2019-02-19,44.05,8.05,26.2,12.92,1650.0,燕巢倉庫光電,497.96
780,2019-02-20,19.9,8.25,14.5,1.94,2096.0,燕巢倉庫光電,497.96
781,2019-02-21,11.95,0.0,0.74,0.44,1431.0,燕巢倉庫光電,497.96
782,2019-02-22,21.35,6.0,17.29,2.96,2343.0,燕巢倉庫光電,497.96
783,2019-02-23,27.2,3.3,9.62,1.89,1728.0,燕巢倉庫光電,497.96
784,2019-02-24,29.15,4.85,17.97,3.56,795.0,燕巢倉庫光電,497.96
785,2019-02-25,30.85,9.55,26.56,6.64,2314.0,燕巢倉庫光電,497.96
786,2019-02-26,30.25,10.85,27.62,5.92,2221.0,燕巢倉庫光電,497.96
787,2019-02-27,30.15,7.0,19.72,5.25,2343.0,燕巢倉庫光電,497.96
788,2019-02-28,29.8,9.9,22.6,5.12,1902.0,燕巢倉庫光電,497.96
789,2019-03-01,30.5,9.95,20.12,4.2,2114.0,燕巢倉庫光電,497.96
790,2019-03-02,23.85,0.0,4.01,1.66,1574.0,燕巢倉庫光電,497.96
791,2019-03-03,18.75,6.75,13.92,2.6,1657.0,燕巢倉庫光電,497.96
792,2019-03-04,12.75,1.5,7.58,1.28,2483.0,燕巢倉庫光電,497.96
793,2019-03-05,14.7,2.2,11.07,2.82,1190.0,燕巢倉庫光電,497.96
794,2019-03-06,19.1,10.95,23.5,4.22,1619.0,燕巢倉庫光電,497.96
795,2019-03-07,26.9,10.95,25.92,4.96,689.0,燕巢倉庫光電,497.96
796,2019-03-08,26.6,9.25,26.48,5.04,922.0,燕巢倉庫光電,497.96
797,2019-03-09,28.8,4.35,14.2,3.55,714.0,燕巢倉庫光電,497.96
798,2019-03-10,29.4,5.55,19.8,5.04,1246.0,燕巢倉庫光電,497.96
