,date,Temp,SunShineHour,GlobalRad,UV,degree,station,capacity
0,2017-01-01,20.6,7.9,14.24,2.32,7108.0,興達電廠光電,1627.65
1,2017-01-02,19.2,0.5,10.3,2.02,5895.0,興達電廠光電,1627.65
2,2017-01-03,19.05,10.5,20.4,3.04,5660.0,興達電廠光電,1627.65
3,2017-01-04,18.25,3.65,15.47,2.53,6845.0,興達電廠光電,1627.65
4,2017-01-05,26.1,-45.1,21.35,3.38,5628.0,興達電廠光電,1627.65
5,2017-01-06,27.8,1.65,11.56,4.42,6359.0,興達電廠光電,1627.65
6,2017-01-07,30.45,11.65,29.46,6.56,5491.0,興達電廠光電,1627.65
7,2017-01-08,26.2,0.0,3.92,2.08,6867.0,興達電廠光電,1627.65
8,2017-01-09,27.8,-49.7,7.49,3.12,6184.0,興達電廠光電,1627.65
9,2017-01-10,30.5,9.4,20.94,4.51,6169.0,興達電廠光電,1627.65
10,2017-01-11,23.8,10.5,18.57,2.92,5891.0,興達電廠光電,1627.65
11,2017-01-12,21.95,3.85,11.06,2.25,6221.0,興達電廠光電,1627.65
12,2017-01-13,18.55,9.2,15.36,2.52,5735.0,興達電廠光電,1627.65
13,2017-01-14,13.9,2.05,11.22,3.02,4148.0,興達電廠光電,1627.65
14,2017-01-15,22.95,10.4,21.2,3.78,4176.0,興達電廠光電,1627.65
15,2017-01-16,25.05,8.55,22.04,4.53,7336.0,興達電廠光電,1627.65
16,2017-01-17,28.25,8.5,23.16,5.26,6673.0,興達電廠光電,1627.65
17,2017-01-18,29.9,8.2,22.29,4.52,7179.0,興達電廠光電,1627.65
18,2017-01-19,28.45,5.05,21.93,5.3,7365.0,興達電廠光電,1627.65
19,2017-01-20,30.4,8.0,21.6,4.79,6763.0,興達電廠光電,1627.65
20,2017-01-21,27.9,3.55,14.06,3.38,4233.0,興達電廠光電,1627.65
21,2017-01-22,27.55,7.3,18.75,5.28,4579.0,興達電廠光電,1627.65
22,2017-01-23,21.15,0.0,4.73,1.64,5088.0,興達電廠光電,1627.65
23,2017-01-24,23.15,9.8,15.84,3.36,4635.0,興達電廠光電,1627.65
24,2017-01-25,18.8,0.35,8.75,2.88,5422.0,興達電廠光電,1627.65
25,2017-01-26,18.5,3.2,13.2,3.5,7531.0,興達電廠光電,1627.65
26,2017-01-27,21.6,9.85,20.59,5.66,7653.0,興達電廠光電,1627.65
27,2017-01-28,20.45,0.75,10.78,4.38,7539.0,興達電廠光電,1627.65
28,2017-01-29,25.75,1.65,12.36,3.38,6466.0,興達電廠光電,1627.65
29,2017-01-30,28.75,5.2,19.87,5.63,7015.0,興達電廠光電,1627.65
30,2017-01-31,31.15,8.5,22.86,4.91,3853.0,興達電廠光電,1627.65
31,2017-02-01,28.35,0.25,6.64,2.11,3962.0,興達電廠光電,1627.65
32,2017-02-02,29.1,4.85,17.1,4.82,5848.0,興達電廠光電,1627.65
33,2017-02-03,28.1,8.0,18.74,4.76,7368.0,興達電廠光電,1627.65
34,2017-02-04,26.35,6.6,15.83,2.9,2685.0,興達電廠光電,1627.65
35,2017-02-05,22.1,9.1,15.77,2.7,2987.0,興達電廠光電,1627.65
36,2017-02-06,18.05,5.6,12.73,2.35,6762.0,興達電廠光電,1627.65
37,2017-02-07,15.65,10.1,17.26,3.23,6686.0,興達電廠光電,1627.65
38,2017-02-08,24.3,10.25,20.58,3.8,7519.0,興達電廠光電,1627.65
