,Date,Temp,UV,SunShineHour,GlobalRad,date,HaveEmpty,degree,station
0,,20.0,4.42,9.6,15.36,2017-01-01,False,23955.0,台中龍井光電
1,,20.9,4.93,8.2,14.51,2017-01-02,False,12978.0,台中龍井光電
2,,21.1,4.21,8.4,14.11,2017-01-03,False,22732.0,台中龍井光電
3,,21.0,4.16,4.2,10.93,2017-01-04,False,18755.0,台中龍井光電
4,,20.8,3.62,3.3,10.78,2017-01-05,False,14149.0,台中龍井光電
5,,20.8,4.48,7.6,14.21,2017-01-06,False,14316.0,台中龍井光電
6,,21.7,4.0,2.8,10.99,2017-01-07,False,18113.0,台中龍井光電
7,,21.9,4.59,9.5,15.78,2017-01-08,False,23393.0,台中龍井光電
8,,19.9,4.36,9.0,15.53,2017-01-09,False,25120.0,台中龍井光電
9,,19.1,4.1,8.1,14.93,2017-01-10,False,23318.0,台中龍井光電
10,,19.8,4.56,9.0,15.36,2017-01-11,False,27043.0,台中龍井光電
11,,20.2,3.91,4.7,11.42,2017-01-12,False,11059.0,台中龍井光電
12,,18.2,2.64,0.0,5.11,2017-01-13,False,6893.0,台中龍井光電
13,,15.7,2.76,1.8,6.47,2017-01-14,False,21576.0,台中龍井光電
14,,15.9,2.5,0.1,5.06,2017-01-15,False,11530.0,台中龍井光電
15,,16.4,2.6,2.9,8.97,2017-01-16,False,12775.0,台中龍井光電
16,,18.4,4.93,7.4,14.94,2017-01-17,False,26820.0,台中龍井光電
17,,19.7,5.18,8.6,16.43,2017-01-18,False,16253.0,台中龍井光電
18,,20.6,5.49,9.3,16.93,2017-01-19,False,25820.0,台中龍井光電
19,,16.7,5.4,8.7,17.32,2017-01-20,False,24858.0,台中龍井光電
20,,15.4,4.5,4.0,11.74,2017-01-21,False,21851.0,台中龍井光電
21,,16.6,5.12,9.1,17.4,2017-01-22,False,30252.0,台中龍井光電
22,,16.7,4.48,4.7,13.91,2017-01-23,False,22241.0,台中龍井光電
23,,17.2,3.42,1.2,11.04,2017-01-24,False,17178.0,台中龍井光電
24,,16.8,3.94,3.7,11.7,2017-01-25,False,20602.0,台中龍井光電
25,,17.3,5.12,9.8,18.72,2017-01-26,False,30931.0,台中龍井光電
26,,17.3,5.3,9.8,18.43,2017-01-27,False,29879.0,台中龍井光電
27,,18.8,6.0,9.6,18.76,2017-01-28,False,29473.0,台中龍井光電
28,,21.2,5.72,9.1,16.84,2017-01-29,False,24814.0,台中龍井光電
29,,20.7,6.12,7.7,17.76,2017-01-30,False,23746.0,台中龍井光電
30,,18.5,6.13,5.0,14.66,2017-01-31,False,25309.0,台中龍井光電
31,,18.9,4.07,0.5,11.02,2017-02-01,False,15193.0,台中龍井光電
32,,17.8,4.48,3.8,12.06,2017-02-02,False,16459.0,台中龍井光電
33,,18.9,5.73,6.3,16.56,2017-02-03,False,22252.0,台中龍井光電
34,,19.6,4.31,0.8,9.16,2017-02-04,False,11358.0,台中龍井光電
35,,19.7,3.99,1.0,9.6,2017-02-05,False,11835.0,台中龍井光電
36,,19.6,5.52,9.6,18.67,2017-02-06,False,27753.0,台中龍井光電
37,,18.9,4.33,5.1,13.94,2017-02-07,False,21603.0,台中龍井光電
38,,18.6,4.89,4.0,14.22,2017-02-08,False,18784.0,台中龍井光電
39,,13.5,4.17,0.0,8.15,2017-02-09,False,33004.0,台中龍井光電
40,,13.1,4.24,1.8,10.0,2017-02-10,False,19437.0,台中龍井光電
41,,14.0,4.48,2.8,10.68,2017-02-11,False,17943.0,台中龍井光電
42,,15.7,4.29,2.4,12.28,2017-02-12,False,30873.0,台中龍井光電
43,,17.6,5.61,9.9,19.06,2017-02-13,False,32630.0,台中龍井光電
44,,18.2,5.37,9.4,19.33,2017-02-14,False,24404.0,台中龍井光電
45,,17.4,5.26,9.7,19.46,2017-02-15,False,21445.0,台中龍井光電
46,,18.8,5.48,9.6,19.62,2017-02-16,False,21488.0,台中龍井光電
47,,20.3,5.77,9.6,19.58,2017-02-17,False,30747.0,台中龍井光電
48,,19.8,5.74,9.8,19.78,2017-02-18,False,19920.0,台中龍井光電
49,,19.9,5.7,9.7,19.56,2017-02-19,False,28953.0,台中龍井光電
50,,22.7,5.12,7.0,17.26,2017-02-20,False,24740.0,台中龍井光電
51,,22.1,6.03,8.5,19.79,2017-02-21,False,28318.0,台中龍井光電
52,,20.8,3.21,1.0,7.55,2017-02-22,False,9230.0,台中龍井光電
53,,19.7,4.67,3.4,13.78,2017-02-23,False,22519.0,台中龍井光電
54,,13.9,1.36,0.0,1.1,2017-02-24,False,4577.0,台中龍井光電
55,,14.4,1.0,0.0,1.87,2017-02-25,False,3823.0,台中龍井光電
56,,14.6,4.64,3.9,13.14,2017-02-26,False,15523.0,台中龍井光電
57,,16.2,2.75,0.0,5.95,2017-02-27,False,21054.0,台中龍井光電
58,,17.9,5.78,5.8,17.69,2017-02-28,False,30223.0,台中龍井光電
59,,18.9,5.82,8.7,19.43,2017-03-01,False,31354.0,台中龍井光電
60,,17.9,6.26,9.6,20.77,2017-03-02,False,33852.0,台中龍井光電
61,,17.7,4.13,3.3,12.5,2017-03-03,False,21801.0,台中龍井光電
62,,20.8,4.94,6.4,16.69,2017-03-04,False,25309.0,台中龍井光電
63,,22.4,5.34,8.1,18.64,2017-03-05,False,29391.0,台中龍井光電
64,,18.9,6.27,6.3,17.97,2017-03-06,False,25548.0,台中龍井光電
65,,15.7,1.86,0.0,2.62,2017-03-07,False,5341.0,台中龍井光電
66,,15.0,1.32,0.0,2.68,2017-03-08,False,6961.0,台中龍井光電
67,,19.0,4.9,2.7,10.88,2017-03-09,False,13940.0,台中龍井光電
68,,20.5,6.1,1.9,10.63,2017-03-10,False,11778.0,台中龍井光電
69,,21.5,6.58,5.7,18.67,2017-03-11,False,29251.0,台中龍井光電
70,,22.3,5.96,5.0,16.64,2017-03-12,False,21087.0,台中龍井光電
71,,23.7,5.54,6.3,17.55,2017-03-13,False,25171.0,台中龍井光電
