,Date,Temp,UV,SunShineHour,GlobalRad,date,HaveEmpty,degree,station
2158,,21.8,7.37,9.0,15.59,2022-12-01,False,13154.0,台南七股II光電
2159,,21.8,7.52,8.9,15.61,2022-12-02,False,2449.0,台南七股II光電
2160,,22.9,7.41,10.1,16.13,2022-12-03,False,13535.0,台南七股II光電
2161,,23.0,6.4,5.3,13.02,2022-12-04,False,9945.0,台南七股II光電
2162,,21.4,7.27,9.4,16.04,2022-12-05,False,13617.0,台南七股II光電
2163,,20.4,7.1,5.4,12.95,2022-12-06,False,10221.0,台南七股II光電
2164,,21.6,7.47,9.4,14.95,2022-12-07,False,13880.0,台南七股II光電
2165,,20.9,7.36,10.2,16.48,2022-12-08,False,13985.0,台南七股II光電
2166,,20.5,7.36,10.1,16.75,2022-12-09,False,12284.0,台南七股II光電
2167,,21.1,7.3,7.0,15.02,2022-12-10,False,12822.0,台南七股II光電
2168,,20.6,7.32,8.6,15.88,2022-12-11,False,13408.0,台南七股II光電
2169,,19.5,6.53,3.1,12.75,2022-12-12,False,9687.0,台南七股II光電
2170,,19.1,6.52,6.2,13.29,2022-12-13,False,10697.0,台南七股II光電
2171,,18.0,6.83,2.0,10.76,2022-12-14,False,8336.0,台南七股II光電
2172,,19.5,7.14,6.4,13.96,2022-12-15,False,11179.0,台南七股II光電
2173,,20.8,6.73,3.4,12.19,2022-12-16,False,8978.0,台南七股II光電
2174,,15.4,3.58,0.1,5.3,2022-12-17,False,4641.0,台南七股II光電
2175,,12.7,5.84,2.7,11.64,2022-12-18,False,8828.0,台南七股II光電
2176,,15.6,5.57,3.6,12.42,2022-12-19,False,10868.0,台南七股II光電
2177,,17.7,6.3,10.0,15.97,2022-12-20,False,14219.0,台南七股II光電
2178,,17.8,6.38,9.1,15.51,2022-12-21,False,13294.0,台南七股II光電
2179,,16.8,6.69,10.2,16.87,2022-12-22,False,15146.0,台南七股II光電
2180,,15.4,6.29,9.9,15.96,2022-12-23,False,14260.0,台南七股II光電
2181,,14.3,6.16,9.9,15.81,2022-12-24,False,14204.0,台南七股II光電
2182,,14.5,6.5,10.1,16.5,2022-12-25,False,14581.0,台南七股II光電
2183,,15.9,6.86,9.9,16.34,2022-12-26,False,14410.0,台南七股II光電
2184,,17.1,6.88,10.0,16.16,2022-12-27,False,14281.0,台南七股II光電
2185,,18.0,6.75,9.0,15.59,2022-12-28,False,13949.0,台南七股II光電
2186,,17.5,2.37,0.0,4.33,2022-12-29,False,3953.0,台南七股II光電
2187,,17.8,4.74,0.5,9.67,2022-12-30,False,7687.0,台南七股II光電
2188,,18.4,7.17,5.5,13.95,2022-12-31,False,12398.0,台南七股II光電
2189,,18.7,3.18,0.0,5.28,2023-01-01,False,3891.0,台南七股II光電
2190,,18.4,2.41,0.0,4.12,2023-01-02,False,3429.0,台南七股II光電
2191,,18.0,4.73,1.4,9.38,2023-01-03,False,6297.0,台南七股II光電
2192,,18.3,6.43,7.7,14.52,2023-01-04,False,12550.0,台南七股II光電
2193,,19.2,6.5,6.2,13.83,2023-01-05,False,12089.0,台南七股II光電
2194,,19.1,7.66,5.6,12.6,2023-01-06,False,9566.0,台南七股II光電
2195,,19.8,7.19,5.9,14.1,2023-01-07,False,12275.0,台南七股II光電
2196,,19.9,6.32,7.8,14.33,2023-01-08,False,12072.0,台南七股II光電
2197,,19.7,6.68,8.8,15.71,2023-01-09,False,10829.0,台南七股II光電
2198,,19.9,4.92,1.2,11.27,2023-01-10,False,7775.0,台南七股II光電
2199,,19.7,7.25,1.9,11.66,2023-01-11,False,8274.0,台南七股II光電
2200,,20.7,6.25,3.9,12.29,2023-01-12,False,10210.0,台南七股II光電
2201,,23.3,6.92,9.4,15.87,2023-01-13,False,14159.0,台南七股II光電
2202,,24.6,7.41,7.8,15.81,2023-01-14,False,12962.0,台南七股II光電
2203,,20.6,7.46,7.0,15.56,2023-01-15,False,14392.0,台南七股II光電
2204,,15.9,7.74,7.2,15.63,2023-01-16,False,12513.0,台南七股II光電
2205,,16.3,7.37,9.6,16.55,2023-01-17,False,3284.0,台南七股II光電
2206,,16.1,7.71,7.7,15.72,2023-01-18,False,14464.0,台南七股II光電
2207,,17.0,7.54,8.4,16.49,2023-01-19,False,14916.0,台南七股II光電
2208,,17.9,7.22,3.1,13.04,2023-01-20,False,11159.0,台南七股II光電
2209,,18.2,7.01,9.6,16.71,2023-01-21,False,14963.0,台南七股II光電
2210,,20.0,7.82,7.4,16.48,2023-01-22,False,13980.0,台南七股II光電
2211,,19.8,7.54,5.9,14.88,2023-01-23,False,13161.0,台南七股II光電
2212,,14.5,7.95,7.8,16.82,2023-01-24,False,12146.0,台南七股II光電
2214,,16.5,8.26,10.3,18.41,2023-01-26,False,9885.0,台南七股II光電
2215,,14.9,7.82,10.2,17.91,2023-01-27,False,16041.0,台南七股II光電
2216,,12.1,7.75,9.8,17.28,2023-01-28,False,15254.0,台南七股II光電
2217,,13.7,7.25,7.4,16.66,2023-01-29,False,14351.0,台南七股II光電
2218,,15.8,7.8,10.4,18.58,2023-01-30,False,16553.0,台南七股II光電
2219,,16.8,8.26,10.4,18.96,2023-01-31,False,16557.0,台南七股II光電
2220,,20.5,7.26,3.6,12.98,2023-02-01,False,11129.0,台南七股II光電
2221,,19.7,9.23,9.4,18.23,2023-02-02,False,15255.0,台南七股II光電
2222,,18.7,8.59,5.4,15.22,2023-02-03,False,12149.0,台南七股II光電
2223,,18.9,8.99,5.9,16.42,2023-02-04,False,13051.0,台南七股II光電
2227,,19.8,8.71,7.8,17.31,2023-02-08,False,1869.0,台南七股II光電
2228,,20.2,8.77,4.5,13.46,2023-02-09,False,10538.0,台南七股II光電
2229,,23.1,8.1,8.1,16.33,2023-02-10,False,12658.0,台南七股II光電
2230,,21.4,9.28,9.8,19.03,2023-02-11,False,15744.0,台南七股II光電
2231,,23.7,9.81,10.7,20.04,2023-02-12,False,16232.0,台南七股II光電
2232,,24.9,10.67,10.1,20.07,2023-02-13,False,15207.0,台南七股II光電
2233,,16.1,2.87,0.0,3.91,2023-02-14,False,3708.0,台南七股II光電
2234,,14.8,9.04,4.6,14.95,2023-02-15,False,13808.0,台南七股II光電
2235,,16.6,9.72,9.8,20.11,2023-02-16,False,16525.0,台南七股II光電
2236,,17.9,10.21,10.4,20.6,2023-02-17,False,17014.0,台南七股II光電
2237,,19.5,9.97,9.3,20.33,2023-02-18,False,16568.0,台南七股II光電
2238,,19.5,9.6,6.6,19.25,2023-02-19,False,15748.0,台南七股II光電
2239,,17.8,7.02,1.9,13.49,2023-02-20,False,10234.0,台南七股II光電
2240,,17.1,9.47,6.7,17.99,2023-02-21,False,13621.0,台南七股II光電
2241,,16.3,9.84,10.1,21.19,2023-02-22,False,16917.0,台南七股II光電
2242,,18.0,10.73,7.8,20.49,2023-02-23,False,13362.0,台南七股II光電
2243,,17.4,10.82,6.6,17.83,2023-02-24,False,11902.0,台南七股II光電
2244,,16.4,9.27,2.6,15.1,2023-02-25,False,10586.0,台南七股II光電
2245,,15.8,9.64,9.5,20.99,2023-02-26,False,16211.0,台南七股II光電
2246,,16.6,9.58,10.4,21.21,2023-02-27,False,16843.0,台南七股II光電
2247,,17.1,10.37,10.5,21.69,2023-02-28,False,17012.0,台南七股II光電
2248,,18.8,10.16,10.5,21.74,2023-03-01,False,16938.0,台南七股II光電
2249,,18.0,8.74,10.4,20.35,2023-03-02,False,15757.0,台南七股II光電
2250,,17.4,9.84,10.4,21.38,2023-03-03,False,16559.0,台南七股II光電
2251,,18.4,9.06,10.2,20.57,2023-03-04,False,16217.0,台南七股II光電
2252,,18.8,9.89,10.9,22.39,2023-03-05,False,17560.0,台南七股II光電
2253,,19.5,10.63,10.7,22.49,2023-03-06,False,17288.0,台南七股II光電
2254,,20.7,10.04,9.7,21.39,2023-03-07,False,16561.0,台南七股II光電
2255,,21.2,9.3,10.8,21.6,2023-03-08,False,16545.0,台南七股II光電
2256,,21.3,8.68,10.6,21.25,2023-03-09,False,16448.0,台南七股II光電
2257,,22.1,10.28,10.4,22.79,2023-03-10,False,16906.0,台南七股II光電
2258,,22.8,10.76,10.4,22.75,2023-03-11,False,16843.0,台南七股II光電
2259,,22.2,9.32,10.2,21.24,2023-03-12,False,15814.0,台南七股II光電
2260,,18.9,8.74,3.9,16.1,2023-03-13,False,12345.0,台南七股II光電
2261,,20.3,10.77,8.5,21.79,2023-03-14,False,16070.0,台南七股II光電
2262,,21.9,9.35,9.5,21.22,2023-03-15,False,15340.0,台南七股II光電
2263,,22.3,8.83,9.3,20.0,2023-03-16,False,14507.0,台南七股II光電
2264,,22.7,8.63,10.3,21.03,2023-03-17,False,15713.0,台南七股II光電
2265,,22.6,9.65,8.8,21.49,2023-03-18,False,15855.0,台南七股II光電
2266,,22.0,9.46,10.1,21.03,2023-03-19,False,15088.0,台南七股II光電
2267,,23.7,9.41,9.2,21.29,2023-03-20,False,15418.0,台南七股II光電
2268,,24.7,9.29,8.7,20.4,2023-03-21,False,14272.0,台南七股II光電
2269,,24.9,10.31,10.7,22.35,2023-03-22,False,15845.0,台南七股II光電
2270,,24.8,12.1,9.3,23.96,2023-03-23,False,16941.0,台南七股II光電
2271,,26.0,10.76,10.7,22.96,2023-03-24,False,16160.0,台南七股II光電
2272,,23.8,10.23,9.0,22.43,2023-03-25,False,15651.0,台南七股II光電
2273,,21.5,3.51,0.0,4.95,2023-03-26,False,3259.0,台南七股II光電
2274,,20.3,7.37,4.1,15.82,2023-03-27,False,11087.0,台南七股II光電
2275,,21.0,11.23,8.4,22.05,2023-03-28,False,16113.0,台南七股II光電
2276,,21.4,4.6,3.2,12.89,2023-03-29,False,7829.0,台南七股II光電
