,Date,Temp,UV,SunShineHour,GlobalRad,date,HaveEmpty,degree,station
0,,20.9,4.63,8.9,13.49,2017-01-01,False,0.0,台南七股光電
1,,20.8,4.22,8.3,12.61,2017-01-02,False,0.0,台南七股光電
2,,20.8,4.44,6.3,12.04,2017-01-03,False,0.0,台南七股光電
3,,21.3,3.88,6.9,11.52,2017-01-04,False,0.0,台南七股光電
4,,21.3,3.37,6.8,11.14,2017-01-05,False,0.0,台南七股光電
5,,20.8,4.41,6.9,13.18,2017-01-06,False,0.0,台南七股光電
6,,22.4,4.18,6.7,13.34,2017-01-07,False,0.0,台南七股光電
7,,22.6,4.34,9.9,14.33,2017-01-08,False,0.0,台南七股光電
8,,20.4,3.96,9.1,13.64,2017-01-09,False,0.0,台南七股光電
9,,19.6,3.85,8.4,13.29,2017-01-10,False,0.0,台南七股光電
10,,20.1,3.88,8.5,13.21,2017-01-11,False,0.0,台南七股光電
11,,20.5,4.43,8.1,13.23,2017-01-12,False,0.0,台南七股光電
12,,19.9,4.72,4.4,12.02,2017-01-13,False,0.0,台南七股光電
13,,17.1,3.76,1.2,7.96,2017-01-14,False,0.0,台南七股光電
14,,17.5,3.67,2.8,8.93,2017-01-15,False,0.0,台南七股光電
15,,18.0,4.6,8.5,14.42,2017-01-16,False,0.0,台南七股光電
16,,18.8,4.08,8.2,13.52,2017-01-17,False,0.0,台南七股光電
17,,20.2,4.79,8.3,14.75,2017-01-18,False,0.0,台南七股光電
18,,21.0,4.86,10.0,15.31,2017-01-19,False,0.0,台南七股光電
19,,17.5,4.62,6.1,13.83,2017-01-20,False,0.0,台南七股光電
20,,15.5,2.71,1.1,7.69,2017-01-21,False,0.0,台南七股光電
21,,16.8,4.1,2.9,10.77,2017-01-22,False,0.0,台南七股光電
22,,17.5,3.91,4.0,11.9,2017-01-23,False,0.0,台南七股光電
23,,17.6,3.67,3.1,10.64,2017-01-24,False,0.0,台南七股光電
24,,17.3,3.82,5.1,12.63,2017-01-25,False,0.0,台南七股光電
25,,17.1,4.34,9.9,16.0,2017-01-26,False,0.0,台南七股光電
26,,18.4,4.74,10.4,16.38,2017-01-27,False,0.0,台南七股光電
27,,19.0,4.81,10.2,16.01,2017-01-28,False,0.0,台南七股光電
28,,20.7,4.92,7.1,15.08,2017-01-29,False,0.0,台南七股光電
29,,20.8,5.23,9.0,15.37,2017-01-30,False,0.0,台南七股光電
30,,18.3,3.96,1.2,9.64,2017-01-31,False,0.0,台南七股光電
