,Date,Temp,UV,SunShineHour,GlobalRad,date,HaveEmpty,degree,station
1461,,14.1,,8.9,15.36,2021-01-01,False,684040.0,台南鹽田光電
1462,,15.2,,9.9,15.7,2021-01-02,False,700550.0,台南鹽田光電
1463,,17.1,,10.2,16.24,2021-01-03,False,719625.0,台南鹽田光電
1464,,18.6,,7.9,14.51,2021-01-04,False,671655.0,台南鹽田光電
1465,,18.7,,7.4,15.02,2021-01-05,False,648517.0,台南鹽田光電
1466,,17.7,,0.6,7.48,2021-01-06,False,379673.0,台南鹽田光電
1467,,14.9,,0.4,4.83,2021-01-07,False,206592.0,台南鹽田光電
1468,,10.4,,0.0,3.73,2021-01-08,False,9637.0,台南鹽田光電
1469,,11.3,,1.7,8.8,2021-01-09,False,442772.0,台南鹽田光電
1470,,13.6,,8.8,15.3,2021-01-10,False,661152.0,台南鹽田光電
1471,,14.3,,1.1,8.37,2021-01-11,False,466291.0,台南鹽田光電
1472,,12.5,,2.8,10.62,2021-01-12,False,701953.0,台南鹽田光電
1473,,14.2,,10.1,16.42,2021-01-13,False,754552.0,台南鹽田光電
1474,,15.7,,10.4,16.18,2021-01-14,False,735477.0,台南鹽田光電
1475,,16.5,,10.1,15.5,2021-01-15,False,697450.0,台南鹽田光電
1476,,17.3,,9.7,15.4,2021-01-16,False,687830.0,台南鹽田光電
1477,,15.6,,5.4,12.72,2021-01-17,False,569250.0,台南鹽田光電
1478,,14.9,,9.5,15.04,2021-01-18,False,660902.0,台南鹽田光電
1479,,16.6,,9.6,15.33,2021-01-19,False,678920.0,台南鹽田光電
1480,,17.9,,9.4,16.12,2021-01-20,False,647607.0,台南鹽田光電
1481,,19.9,,3.7,12.94,2021-01-21,False,526732.0,台南鹽田光電
1482,,19.9,,0.0,5.6,2021-01-22,False,249120.0,台南鹽田光電
1483,,18.9,,2.7,6.95,2021-01-23,False,347309.0,台南鹽田光電
1484,,18.4,,3.7,11.26,2021-01-24,False,401934.0,台南鹽田光電
1485,,19.5,,9.9,17.44,2021-01-25,False,715517.0,台南鹽田光電
1486,,17.6,,7.3,15.02,2021-01-26,False,452535.0,台南鹽田光電
1487,,18.3,,6.4,13.44,2021-01-27,False,552932.0,台南鹽田光電
1488,,17.2,,7.3,15.09,2021-01-28,False,655066.0,台南鹽田光電
1489,,16.4,,7.1,15.94,2021-01-29,False,574570.0,台南鹽田光電
1490,,16.9,,10.0,17.45,2021-01-30,False,707394.0,台南鹽田光電
1491,,17.4,,8.2,16.58,2021-01-31,False,669139.0,台南鹽田光電
1492,,19.0,,10.5,18.27,2021-02-01,False,726557.0,台南鹽田光電
1493,,19.0,,10.2,17.55,2021-02-02,False,715324.0,台南鹽田光電
1494,,18.3,,10.1,17.5,2021-02-03,False,700014.0,台南鹽田光電
1495,,18.5,,10.0,17.05,2021-02-04,False,644524.0,台南鹽田光電
1496,,19.0,,9.7,16.07,2021-02-05,False,673488.0,台南鹽田光電
1497,,20.4,,10.5,19.72,2021-02-06,False,741532.0,台南鹽田光電
1498,,19.0,,8.1,18.05,2021-02-07,False,676050.0,台南鹽田光電
1499,,19.3,,6.3,16.0,2021-02-08,False,589641.0,台南鹽田光電
1500,,19.4,,8.5,17.18,2021-02-09,False,672804.0,台南鹽田光電
1501,,19.2,,1.4,10.99,2021-02-10,False,424177.0,台南鹽田光電
1502,,18.5,,2.6,11.25,2021-02-11,False,404112.0,台南鹽田光電
1503,,18.5,,1.8,10.49,2021-02-12,False,564846.0,台南鹽田光電
1504,,20.2,,7.0,18.03,2021-02-13,False,726786.0,台南鹽田光電
1505,,19.1,,5.8,15.99,2021-02-14,False,550002.0,台南鹽田光電
1506,,19.5,,8.8,20.17,2021-02-15,False,829418.0,台南鹽田光電
1507,,20.6,,8.7,19.56,2021-02-16,False,733593.0,台南鹽田光電
1508,,18.7,,7.8,17.76,2021-02-17,False,726366.0,台南鹽田光電
1509,,16.8,,7.7,17.73,2021-02-18,False,768076.0,台南鹽田光電
1510,,16.9,,10.4,20.46,2021-02-19,False,797846.0,台南鹽田光電
1511,,17.9,,10.6,21.18,2021-02-20,False,806968.0,台南鹽田光電
1512,,19.3,,10.8,21.34,2021-02-21,False,807302.0,台南鹽田光電
1513,,21.0,,10.9,21.54,2021-02-22,False,810105.0,台南鹽田光電
1514,,21.1,,3.7,14.98,2021-02-23,False,606230.0,台南鹽田光電
1515,,21.2,,5.7,16.66,2021-02-24,False,662958.0,台南鹽田光電
1516,,21.7,,10.0,21.11,2021-02-25,False,775410.0,台南鹽田光電
1517,,22.3,,10.3,19.85,2021-02-26,False,724849.0,台南鹽田光電
1518,,20.7,,7.9,17.75,2021-02-27,False,691076.0,台南鹽田光電
1519,,20.9,,10.1,19.68,2021-02-28,False,743376.0,台南鹽田光電
1520,,23.3,,7.6,18.15,2021-03-01,False,726796.0,台南鹽田光電
1536,,25.1,,10.7,21.52,2021-03-17,False,321101.0,台南鹽田光電
1537,,23.7,,9.2,21.57,2021-03-18,False,742330.0,台南鹽田光電
1538,,24.0,,9.6,20.93,2021-03-19,False,764650.0,台南鹽田光電
1539,,24.8,,10.3,20.61,2021-03-20,False,736810.0,台南鹽田光電
1540,,21.2,,7.1,18.09,2021-03-21,False,631256.0,台南鹽田光電
1541,,16.1,,0.0,4.69,2021-03-22,False,217353.0,台南鹽田光電
1542,,18.8,,1.1,9.96,2021-03-23,False,343278.0,台南鹽田光電
1543,,19.0,,3.0,8.03,2021-03-24,False,298158.0,台南鹽田光電
1544,,20.1,,10.8,23.12,2021-03-25,False,891641.0,台南鹽田光電
1545,,22.3,,9.4,22.07,2021-03-26,False,853353.0,台南鹽田光電
1546,,25.0,,8.8,20.87,2021-03-27,False,788449.0,台南鹽田光電
1547,,26.1,,9.4,20.7,2021-03-28,False,775058.0,台南鹽田光電
1548,,25.9,,9.9,19.58,2021-03-29,False,739095.0,台南鹽田光電
1549,,26.9,,6.4,16.92,2021-03-30,False,653068.0,台南鹽田光電
1550,,26.7,,9.7,21.05,2021-03-31,False,764881.0,台南鹽田光電
1551,,27.1,,7.3,19.81,2021-04-01,False,645034.0,台南鹽田光電
1552,,27.3,,10.8,23.45,2021-04-02,False,844463.0,台南鹽田光電
1553,,26.7,,10.4,20.89,2021-04-03,False,771186.0,台南鹽田光電
1554,,25.3,,8.9,18.92,2021-04-04,False,712262.0,台南鹽田光電
1555,,23.2,,7.4,19.02,2021-04-05,False,744182.0,台南鹽田光電
1556,,23.0,,6.5,16.07,2021-04-06,False,810836.0,台南鹽田光電
1557,,22.5,,0.3,11.52,2021-04-07,False,703823.0,台南鹽田光電
1558,,23.1,,5.9,17.97,2021-04-08,False,808444.0,台南鹽田光電
1559,,21.1,,2.5,14.78,2021-04-09,False,602995.0,台南鹽田光電
1560,,22.1,,11.0,23.73,2021-04-10,False,859757.0,台南鹽田光電
1561,,23.3,,11.2,24.82,2021-04-11,False,861071.0,台南鹽田光電
1562,,24.3,,10.7,24.79,2021-04-12,False,824103.0,台南鹽田光電
1563,,26.1,,10.7,24.38,2021-04-13,False,835306.0,台南鹽田光電
1564,,25.2,,8.0,22.07,2021-04-14,False,831486.0,台南鹽田光電
1565,,23.8,,10.7,23.78,2021-04-15,False,749703.0,台南鹽田光電
1566,,24.8,,10.6,24.08,2021-04-16,False,854110.0,台南鹽田光電
1567,,25.7,,9.6,24.11,2021-04-17,False,849109.0,台南鹽田光電
1568,,26.0,,8.6,21.99,2021-04-18,False,774700.0,台南鹽田光電
1569,,24.6,,6.4,21.0,2021-04-19,False,771927.0,台南鹽田光電
1570,,25.6,,10.0,24.49,2021-04-20,False,847123.0,台南鹽田光電
1571,,26.3,,10.2,23.33,2021-04-21,False,859564.0,台南鹽田光電
1572,,25.6,,8.8,22.03,2021-04-22,False,753071.0,台南鹽田光電
1573,,26.1,,6.6,19.02,2021-04-23,False,766445.0,台南鹽田光電
1574,,25.9,,7.2,20.8,2021-04-24,False,828604.0,台南鹽田光電
1575,,24.5,,0.4,6.73,2021-04-25,False,253046.0,台南鹽田光電
1576,,23.7,,0.6,10.06,2021-04-26,False,612203.0,台南鹽田光電
1577,,23.6,,0.5,7.46,2021-04-27,False,367622.0,台南鹽田光電
1578,,25.3,,4.0,16.06,2021-04-28,False,772089.0,台南鹽田光電
1579,,23.4,,0.0,5.56,2021-04-29,False,273521.0,台南鹽田光電
1580,,25.0,,9.8,22.74,2021-04-30,False,920141.0,台南鹽田光電
1581,,26.0,,6.3,20.75,2021-05-01,False,740331.0,台南鹽田光電
1582,,26.3,,7.9,23.33,2021-05-02,False,878938.0,台南鹽田光電
1583,,25.8,,0.0,7.51,2021-05-03,False,321658.0,台南鹽田光電
1584,,27.8,,7.2,19.88,2021-05-04,False,633368.0,台南鹽田光電
1585,,27.8,,10.2,25.7,2021-05-05,False,782094.0,台南鹽田光電
1586,,26.7,,11.4,26.64,2021-05-06,False,925027.0,台南鹽田光電
1587,,28.6,,9.6,24.76,2021-05-07,False,880962.0,台南鹽田光電
1588,,29.0,,11.1,25.76,2021-05-08,False,900461.0,台南鹽田光電
1589,,28.7,,10.5,25.14,2021-05-09,False,886176.0,台南鹽田光電
