,Date,Temp,UV,SunShineHour,GlobalRad,date,HaveEmpty,degree,station
0,,16.9,5.59,9.6,17.84,2017-01-01,False,386.0,后里E/S光電
1,,17.0,5.83,9.7,17.57,2017-01-02,False,339.0,后里E/S光電
2,,16.4,5.28,5.3,12.33,2017-01-03,False,355.0,后里E/S光電
3,,16.5,5.65,4.3,13.63,2017-01-04,False,220.0,后里E/S光電
4,,16.3,2.84,2.9,9.33,2017-01-05,False,191.0,后里E/S光電
5,,16.9,5.17,7.2,13.31,2017-01-06,False,344.0,后里E/S光電
6,,16.7,3.05,2.6,9.58,2017-01-07,False,248.0,后里E/S光電
7,,18.0,5.46,7.4,15.43,2017-01-08,False,372.0,后里E/S光電
8,,17.4,4.84,9.8,17.63,2017-01-09,False,370.0,后里E/S光電
9,,16.0,4.13,7.4,13.71,2017-01-10,False,372.0,后里E/S光電
10,,16.7,5.21,9.2,17.45,2017-01-11,False,384.0,后里E/S光電
11,,16.5,4.56,2.0,10.14,2017-01-12,False,262.0,后里E/S光電
12,,16.6,3.77,0.2,6.36,2017-01-13,False,85.0,后里E/S光電
13,,14.6,1.51,0.0,2.92,2017-01-14,False,152.0,后里E/S光電
14,,13.6,1.95,0.0,3.83,2017-01-15,False,108.0,后里E/S光電
15,,13.7,5.34,1.8,9.87,2017-01-16,False,218.0,后里E/S光電
16,,14.4,5.87,7.7,16.64,2017-01-17,False,346.0,后里E/S光電
17,,16.1,6.05,8.0,18.45,2017-01-18,False,364.0,后里E/S光電
18,,16.7,5.92,7.4,15.0,2017-01-19,False,392.0,后里E/S光電
19,,15.5,4.73,5.9,13.69,2017-01-20,False,358.0,后里E/S光電
20,,14.1,4.55,2.7,10.72,2017-01-21,False,307.0,后里E/S光電
21,,15.3,4.96,7.7,16.12,2017-01-22,False,432.0,后里E/S光電
22,,14.1,4.52,4.4,14.2,2017-01-23,False,316.0,后里E/S光電
23,,14.0,3.54,0.4,8.16,2017-01-24,False,276.0,后里E/S光電
24,,14.4,3.46,2.7,9.62,2017-01-25,False,316.0,后里E/S光電
25,,13.7,5.97,10.1,20.41,2017-01-26,False,451.0,后里E/S光電
26,,14.5,6.18,10.3,20.32,2017-01-27,False,447.0,后里E/S光電
27,,17.2,6.45,10.4,20.35,2017-01-28,False,442.0,后里E/S光電
28,,18.3,6.71,10.4,19.86,2017-01-29,False,410.0,后里E/S光電
29,,18.5,6.77,6.2,18.29,2017-01-30,False,418.0,后里E/S光電
30,,17.0,4.49,3.0,11.62,2017-01-31,False,365.0,后里E/S光電
31,,17.4,4.33,0.2,9.66,2017-02-01,False,236.0,后里E/S光電
32,,15.1,6.98,6.2,16.45,2017-02-02,False,428.0,后里E/S光電
33,,14.6,5.92,5.1,14.69,2017-02-03,False,385.0,后里E/S光電
34,,15.3,4.88,1.2,10.51,2017-02-04,False,197.0,后里E/S光電
35,,15.6,3.49,1.9,9.47,2017-02-05,False,224.0,后里E/S光電
36,,17.0,6.41,10.4,20.83,2017-02-06,False,439.0,后里E/S光電
37,,14.4,3.3,2.5,10.49,2017-02-07,False,276.0,后里E/S光電
38,,13.1,3.06,0.1,0.93,2017-02-08,False,293.0,后里E/S光電
39,,10.4,3.21,0.8,0.13,2017-02-09,False,214.0,后里E/S光電
40,,9.2,1.59,0.0,0.0,2017-02-10,False,230.0,后里E/S光電
41,,8.6,1.27,0.0,0.0,2017-02-11,False,317.0,后里E/S光電
42,,10.4,4.11,0.5,0.14,2017-02-12,False,297.0,后里E/S光電
43,,13.2,5.46,9.5,3.48,2017-02-13,False,459.0,后里E/S光電
44,,13.7,5.76,7.0,3.32,2017-02-14,False,454.0,后里E/S光電
45,,13.7,7.14,8.3,4.01,2017-02-15,False,450.0,后里E/S光電
46,,15.0,6.82,9.2,4.07,2017-02-16,False,455.0,后里E/S光電
47,,16.1,6.47,9.2,19.46,2017-02-17,False,450.0,后里E/S光電
48,,17.2,6.83,10.5,22.7,2017-02-18,False,459.0,后里E/S光電
49,,17.1,6.73,9.8,22.42,2017-02-19,False,456.0,后里E/S光電
50,,18.3,5.35,3.3,11.55,2017-02-20,False,338.0,后里E/S光電
51,,19.7,6.33,8.6,20.71,2017-02-21,False,442.0,后里E/S光電
52,,17.4,3.87,0.9,8.15,2017-02-22,False,137.0,后里E/S光電
53,,18.9,6.03,6.3,18.4,2017-02-23,False,215.0,后里E/S光電
54,,14.4,1.78,0.0,3.85,2017-02-24,False,20.0,后里E/S光電
55,,13.9,2.05,0.0,4.74,2017-02-25,False,20.0,后里E/S光電
56,,13.3,2.08,0.0,5.52,2017-02-26,False,154.0,后里E/S光電
57,,12.5,1.28,0.0,3.52,2017-02-27,False,128.0,后里E/S光電
58,,14.0,4.78,3.1,10.55,2017-02-28,False,332.0,后里E/S光電
