,Date,Temp,UV,SunShineHour,GlobalRad,date,HaveEmpty,degree,station
0,,8.4,,9.4,14.94,2017-01-01,False,128.0,嘉義民雄光電
1,,10.9,,9.4,15.34,2017-01-02,False,128.0,嘉義民雄光電
2,,11.8,,9.4,15.42,2017-01-03,False,113.0,嘉義民雄光電
3,,12.6,,9.4,15.62,2017-01-04,False,95.0,嘉義民雄光電
4,,12.1,,9.4,15.58,2017-01-05,False,105.0,嘉義民雄光電
5,,10.8,,8.8,15.21,2017-01-06,False,99.0,嘉義民雄光電
6,,10.4,,3.6,10.3,2017-01-07,False,105.0,嘉義民雄光電
7,,9.4,,6.4,12.49,2017-01-08,False,148.0,嘉義民雄光電
8,,7.3,,6.0,11.97,2017-01-09,False,145.0,嘉義民雄光電
9,,6.2,,6.7,14.67,2017-01-10,False,136.0,嘉義民雄光電
10,,8.5,,6.3,13.45,2017-01-11,False,140.0,嘉義民雄光電
11,,9.7,,2.8,10.55,2017-01-12,False,85.0,嘉義民雄光電
12,,10.1,,3.7,8.14,2017-01-13,False,64.0,嘉義民雄光電
13,,9.1,,1.1,6.89,2017-01-14,False,34.0,嘉義民雄光電
14,,7.5,,1.9,8.66,2017-01-15,False,73.0,嘉義民雄光電
15,,6.0,,5.1,13.29,2017-01-16,False,96.0,嘉義民雄光電
16,,7.2,,7.2,13.56,2017-01-17,False,132.0,嘉義民雄光電
17,,8.2,,8.3,15.07,2017-01-18,False,137.0,嘉義民雄光電
18,,7.6,,6.6,12.89,2017-01-19,False,153.0,嘉義民雄光電
19,,7.2,,5.0,13.14,2017-01-20,False,121.0,嘉義民雄光電
20,,5.8,,1.8,5.28,2017-01-21,False,82.0,嘉義民雄光電
21,,6.9,,1.1,8.07,2017-01-22,False,147.0,嘉義民雄光電
22,,6.9,,0.6,7.72,2017-01-23,False,123.0,嘉義民雄光電
23,,6.1,,0.1,6.76,2017-01-24,False,94.0,嘉義民雄光電
24,,5.1,,1.8,7.52,2017-01-25,False,83.0,嘉義民雄光電
25,,4.2,,5.9,14.33,2017-01-26,False,153.0,嘉義民雄光電
26,,5.1,,8.5,17.47,2017-01-27,False,162.0,嘉義民雄光電
27,,8.3,,9.9,17.57,2017-01-28,False,157.0,嘉義民雄光電
28,,9.9,,6.0,14.91,2017-01-29,False,125.0,嘉義民雄光電
29,,9.5,,3.8,11.84,2017-01-30,False,146.0,嘉義民雄光電
30,,8.1,,2.5,7.26,2017-01-31,False,106.0,嘉義民雄光電
31,,7.7,,0.5,7.81,2017-02-01,False,82.0,嘉義民雄光電
32,,7.9,,3.9,10.74,2017-02-02,False,72.0,嘉義民雄光電
33,,7.0,,3.8,8.65,2017-02-03,False,144.0,嘉義民雄光電
34,,6.7,,0.2,4.85,2017-02-04,False,57.0,嘉義民雄光電
35,,7.5,,0.3,8.14,2017-02-05,False,67.0,嘉義民雄光電
36,,8.4,,5.8,11.22,2017-02-06,False,137.0,嘉義民雄光電
37,,8.1,,9.5,18.85,2017-02-07,False,88.0,嘉義民雄光電
38,,7.3,,6.7,13.94,2017-02-08,False,127.0,嘉義民雄光電
39,,5.8,,5.5,13.3,2017-02-09,False,70.0,嘉義民雄光電
40,,2.9,,3.5,9.66,2017-02-10,False,86.0,嘉義民雄光電
41,,2.8,,0.0,0.97,2017-02-11,False,16.0,嘉義民雄光電
42,,2.8,,0.0,2.59,2017-02-12,False,102.0,嘉義民雄光電
43,,4.2,,4.3,14.54,2017-02-13,False,162.0,嘉義民雄光電
44,,2.9,,5.3,12.92,2017-02-14,False,160.0,嘉義民雄光電
45,,3.6,,5.9,15.54,2017-02-15,False,155.0,嘉義民雄光電
46,,6.0,,6.0,15.59,2017-02-16,False,149.0,嘉義民雄光電
47,,9.2,,8.5,18.62,2017-02-17,False,150.0,嘉義民雄光電
48,,7.2,,8.5,19.33,2017-02-18,False,149.0,嘉義民雄光電
49,,8.2,,10.3,20.12,2017-02-19,False,127.0,嘉義民雄光電
50,,10.3,,0.0,4.36,2017-02-20,False,125.0,嘉義民雄光電
51,,11.3,,7.1,16.74,2017-02-21,False,125.0,嘉義民雄光電
52,,11.3,,1.4,4.44,2017-02-22,False,54.0,嘉義民雄光電
53,,10.2,,5.9,13.65,2017-02-23,False,105.0,嘉義民雄光電
54,,8.6,,0.0,0.89,2017-02-24,False,16.0,嘉義民雄光電
55,,8.1,,0.0,2.34,2017-02-25,False,54.0,嘉義民雄光電
56,,7.3,,0.3,4.39,2017-02-26,False,134.0,嘉義民雄光電
57,,6.6,,3.0,10.49,2017-02-27,False,107.0,嘉義民雄光電
58,,6.6,,3.9,11.09,2017-02-28,False,159.0,嘉義民雄光電
59,,6.4,,3.4,9.66,2017-03-01,False,173.0,嘉義民雄光電
60,,5.5,,5.2,14.0,2017-03-02,False,151.0,嘉義民雄光電
61,,4.6,,2.1,7.59,2017-03-03,False,118.0,嘉義民雄光電
62,,6.6,,2.8,7.93,2017-03-04,False,155.0,嘉義民雄光電
63,,8.8,,3.7,11.08,2017-03-05,False,155.0,嘉義民雄光電
64,,9.2,,1.9,6.94,2017-03-06,False,139.0,嘉義民雄光電
65,,7.5,,0.1,1.67,2017-03-07,False,30.0,嘉義民雄光電
66,,7.0,,0.0,0.03,2017-03-08,False,6.0,嘉義民雄光電
67,,7.7,,2.1,7.99,2017-03-09,False,90.0,嘉義民雄光電
68,,8.8,,0.1,2.1,2017-03-10,False,131.0,嘉義民雄光電
69,,10.2,,4.8,14.45,2017-03-11,False,93.0,嘉義民雄光電
70,,10.5,,4.1,11.51,2017-03-12,False,120.0,嘉義民雄光電
71,,12.5,,5.5,14.77,2017-03-13,False,177.0,嘉義民雄光電
72,,11.2,,3.2,11.76,2017-03-14,False,103.0,嘉義民雄光電
73,,9.7,,4.1,13.65,2017-03-15,False,115.0,嘉義民雄光電
74,,9.2,,1.8,9.98,2017-03-16,False,86.0,嘉義民雄光電
75,,11.0,,7.6,17.12,2017-03-17,False,125.0,嘉義民雄光電
76,,11.5,,1.9,12.86,2017-03-18,False,116.0,嘉義民雄光電
77,,11.5,,1.9,10.58,2017-03-19,False,101.0,嘉義民雄光電
78,,12.8,,10.8,22.5,2017-03-20,False,110.0,嘉義民雄光電
79,,11.5,,5.1,11.18,2017-03-21,False,163.0,嘉義民雄光電
80,,12.6,,9.8,20.8,2017-03-22,False,151.0,嘉義民雄光電
81,,10.9,,1.7,10.53,2017-03-23,False,144.0,嘉義民雄光電
82,,9.7,,7.3,16.43,2017-03-24,False,175.0,嘉義民雄光電
83,,9.6,,4.5,13.61,2017-03-25,False,162.0,嘉義民雄光電
84,,7.5,,0.0,0.0,2017-03-26,False,12.0,嘉義民雄光電
85,,6.9,,10.8,23.51,2017-03-27,False,184.0,嘉義民雄光電
86,,8.8,,7.3,17.8,2017-03-28,False,175.0,嘉義民雄光電
87,,10.2,,7.1,19.52,2017-03-29,False,163.0,嘉義民雄光電
88,,12.0,,5.7,17.36,2017-03-30,False,129.0,嘉義民雄光電
89,,11.3,,5.7,13.8,2017-03-31,False,162.0,嘉義民雄光電
90,,7.0,,3.3,13.65,2017-04-01,False,142.0,嘉義民雄光電
91,,5.4,,10.6,20.84,2017-04-02,False,212.0,嘉義民雄光電
92,,7.5,,6.8,16.61,2017-04-03,False,204.0,嘉義民雄光電
93,,11.3,,12.0,24.08,2017-04-04,False,173.0,嘉義民雄光電
94,,13.3,,11.4,23.2,2017-04-05,False,185.0,嘉義民雄光電
95,,13.8,,4.0,17.31,2017-04-06,False,144.0,嘉義民雄光電
96,,12.4,,1.5,11.63,2017-04-07,False,85.0,嘉義民雄光電
97,,12.8,,7.9,19.48,2017-04-08,False,188.0,嘉義民雄光電
98,,13.1,,1.1,7.06,2017-04-09,False,157.0,嘉義民雄光電
99,,13.5,,9.2,20.18,2017-04-10,False,192.0,嘉義民雄光電
100,,12.7,,0.2,5.14,2017-04-11,False,69.0,嘉義民雄光電
101,,12.6,,0.0,3.96,2017-04-12,False,29.0,嘉義民雄光電
102,,11.3,,0.0,0.28,2017-04-13,False,32.0,嘉義民雄光電
103,,12.7,,3.6,14.85,2017-04-14,False,150.0,嘉義民雄光電
104,,12.8,,4.9,12.61,2017-04-15,False,151.0,嘉義民雄光電
105,,13.7,,6.0,15.12,2017-04-16,False,169.0,嘉義民雄光電
106,,14.2,,7.5,18.9,2017-04-17,False,176.0,嘉義民雄光電
107,,13.3,,4.3,11.53,2017-04-18,False,167.0,嘉義民雄光電
108,,13.9,,6.7,18.56,2017-04-19,False,186.0,嘉義民雄光電
109,,12.9,,3.5,11.63,2017-04-20,False,116.0,嘉義民雄光電
110,,12.7,,1.0,9.43,2017-04-21,False,131.0,嘉義民雄光電
