,Date,Temp,UV,SunShineHour,GlobalRad,date,HaveEmpty,degree,station
1551,,24.4,6.2,3.0,13.78,2021-04-01,False,2238.0,大潭電廠GIS廠房光電
1552,,24.2,6.66,4.8,16.73,2021-04-02,False,2731.0,大潭電廠GIS廠房光電
1553,,22.9,7.46,6.4,18.58,2021-04-03,False,2326.0,大潭電廠GIS廠房光電
1554,,18.9,4.56,0.4,7.65,2021-04-04,False,1210.0,大潭電廠GIS廠房光電
1555,,16.9,8.84,10.7,22.29,2021-04-05,False,3720.0,大潭電廠GIS廠房光電
1556,,18.3,10.23,8.4,21.75,2021-04-06,False,3673.0,大潭電廠GIS廠房光電
1557,,19.8,10.71,7.8,22.33,2021-04-07,False,3616.0,大潭電廠GIS廠房光電
1558,,18.3,2.3,0.0,3.78,2021-04-08,False,668.0,大潭電廠GIS廠房光電
1559,,16.5,0.97,0.0,2.42,2021-04-09,False,365.0,大潭電廠GIS廠房光電
1560,,18.3,1.59,0.0,2.76,2021-04-10,False,428.0,大潭電廠GIS廠房光電
1561,,21.7,9.69,6.4,20.38,2021-04-11,False,3333.0,大潭電廠GIS廠房光電
1562,,22.3,9.51,6.1,19.03,2021-04-12,False,3239.0,大潭電廠GIS廠房光電
1563,,22.0,10.21,6.4,18.84,2021-04-13,False,3122.0,大潭電廠GIS廠房光電
1564,,18.6,1.53,0.0,2.9,2021-04-14,False,506.0,大潭電廠GIS廠房光電
1565,,19.1,2.51,0.0,4.09,2021-04-15,False,656.0,大潭電廠GIS廠房光電
1566,,20.2,4.91,0.5,9.69,2021-04-16,False,1550.0,大潭電廠GIS廠房光電
1567,,21.4,10.93,8.6,22.16,2021-04-17,False,3789.0,大潭電廠GIS廠房光電
1568,,20.7,7.23,2.4,16.0,2021-04-18,False,2672.0,大潭電廠GIS廠房光電
1569,,21.4,9.45,2.8,15.64,2021-04-19,False,2633.0,大潭電廠GIS廠房光電
1570,,24.0,11.16,10.6,24.66,2021-04-20,False,3961.0,大潭電廠GIS廠房光電
1571,,24.4,11.68,11.9,25.65,2021-04-21,False,4121.0,大潭電廠GIS廠房光電
1572,,24.6,11.42,10.3,24.61,2021-04-22,False,3899.0,大潭電廠GIS廠房光電
1573,,22.9,7.44,3.0,12.41,2021-04-23,False,2224.0,大潭電廠GIS廠房光電
1574,,22.9,8.86,3.7,16.41,2021-04-24,False,2924.0,大潭電廠GIS廠房光電
1575,,22.9,4.01,0.0,6.24,2021-04-25,False,1071.0,大潭電廠GIS廠房光電
1576,,24.4,11.63,8.3,25.14,2021-04-26,False,4084.0,大潭電廠GIS廠房光電
1577,,22.8,7.03,0.7,10.27,2021-04-27,False,1698.0,大潭電廠GIS廠房光電
1578,,21.1,3.03,0.0,4.22,2021-04-28,False,573.0,大潭電廠GIS廠房光電
1579,,19.9,5.31,0.1,7.88,2021-04-29,False,1432.0,大潭電廠GIS廠房光電
1580,,21.5,11.58,9.4,26.61,2021-04-30,False,3998.0,大潭電廠GIS廠房光電
1581,,23.6,8.74,6.6,19.41,2021-05-01,False,3203.0,大潭電廠GIS廠房光電
1582,,24.4,10.09,8.8,22.64,2021-05-02,False,3710.0,大潭電廠GIS廠房光電
1583,,24.5,6.5,1.1,12.27,2021-05-03,False,2012.0,大潭電廠GIS廠房光電
1584,,25.6,11.13,4.0,19.56,2021-05-04,False,3047.0,大潭電廠GIS廠房光電
1585,,22.3,3.21,0.7,6.32,2021-05-05,False,1035.0,大潭電廠GIS廠房光電
1586,,22.9,9.86,5.2,18.9,2021-05-06,False,2586.0,大潭電廠GIS廠房光電
1587,,25.1,12.48,10.4,24.83,2021-05-07,False,3827.0,大潭電廠GIS廠房光電
1588,,25.1,9.39,2.2,14.16,2021-05-08,False,2250.0,大潭電廠GIS廠房光電
1589,,25.6,11.56,3.5,19.16,2021-05-09,False,3173.0,大潭電廠GIS廠房光電
1590,,26.3,10.14,10.5,23.99,2021-05-10,False,3780.0,大潭電廠GIS廠房光電
1591,,27.1,12.03,9.1,24.49,2021-05-11,False,3879.0,大潭電廠GIS廠房光電
1592,,27.7,12.63,10.4,26.16,2021-05-12,False,3964.0,大潭電廠GIS廠房光電
1593,,27.9,12.11,11.0,26.07,2021-05-13,False,3359.0,大潭電廠GIS廠房光電
1594,,27.7,11.81,10.9,24.61,2021-05-14,False,2089.0,大潭電廠GIS廠房光電
1595,,27.8,12.29,6.8,23.28,2021-05-15,False,3504.0,大潭電廠GIS廠房光電
1596,,28.3,13.02,11.1,27.5,2021-05-16,False,4001.0,大潭電廠GIS廠房光電
1597,,28.3,11.69,9.7,24.98,2021-05-17,False,3693.0,大潭電廠GIS廠房光電
1598,,27.8,10.8,3.7,20.35,2021-05-18,False,3144.0,大潭電廠GIS廠房光電
1599,,27.9,10.62,4.1,19.36,2021-05-19,False,2979.0,大潭電廠GIS廠房光電
1600,,28.6,10.34,4.3,19.2,2021-05-20,False,2883.0,大潭電廠GIS廠房光電
1601,,28.7,10.04,8.1,22.66,2021-05-21,False,3259.0,大潭電廠GIS廠房光電
1602,,27.8,10.5,4.7,19.0,2021-05-22,False,2783.0,大潭電廠GIS廠房光電
1603,,28.0,11.51,8.3,23.91,2021-05-23,False,3342.0,大潭電廠GIS廠房光電
1604,,28.0,12.59,8.8,26.36,2021-05-24,False,3870.0,大潭電廠GIS廠房光電
1605,,26.4,12.06,7.1,21.86,2021-05-25,False,3510.0,大潭電廠GIS廠房光電
1606,,27.7,12.59,10.1,26.23,2021-05-26,False,3838.0,大潭電廠GIS廠房光電
1607,,29.3,12.35,9.5,25.49,2021-05-27,False,3635.0,大潭電廠GIS廠房光電
1608,,28.3,11.74,6.2,21.26,2021-05-28,False,3073.0,大潭電廠GIS廠房光電
1609,,26.4,6.43,0.2,6.94,2021-05-29,False,1112.0,大潭電廠GIS廠房光電
1610,,25.5,5.9,0.4,5.8,2021-05-30,False,836.0,大潭電廠GIS廠房光電
1611,,24.3,4.06,0.0,4.63,2021-05-31,False,663.0,大潭電廠GIS廠房光電
1612,,26.4,10.0,2.5,16.28,2021-06-01,False,2186.0,大潭電廠GIS廠房光電
1613,,28.0,13.62,8.1,24.33,2021-06-02,False,3612.0,大潭電廠GIS廠房光電
1614,,28.4,13.29,10.3,26.39,2021-06-03,False,3907.0,大潭電廠GIS廠房光電
1615,,27.8,12.14,2.6,16.85,2021-06-04,False,2702.0,大潭電廠GIS廠房光電
1616,,24.9,3.46,0.0,4.19,2021-06-05,False,533.0,大潭電廠GIS廠房光電
1617,,23.4,2.09,0.0,3.47,2021-06-06,False,510.0,大潭電廠GIS廠房光電
1618,,25.7,11.07,7.4,20.8,2021-06-07,False,3024.0,大潭電廠GIS廠房光電
1619,,27.5,12.33,10.9,27.72,2021-06-08,False,4091.0,大潭電廠GIS廠房光電
1620,,27.9,12.9,8.0,25.46,2021-06-09,False,3745.0,大潭電廠GIS廠房光電
1621,,27.9,13.66,10.4,26.35,2021-06-10,False,3727.0,大潭電廠GIS廠房光電
1622,,28.6,13.5,11.9,28.53,2021-06-11,False,4183.0,大潭電廠GIS廠房光電
1623,,28.0,12.81,11.3,27.51,2021-06-12,False,3960.0,大潭電廠GIS廠房光電
1624,,28.5,13.68,11.1,26.65,2021-06-13,False,3826.0,大潭電廠GIS廠房光電
1625,,29.0,12.8,9.2,25.76,2021-06-14,False,3739.0,大潭電廠GIS廠房光電
1626,,29.2,13.47,11.8,27.67,2021-06-15,False,4045.0,大潭電廠GIS廠房光電
1627,,29.8,13.67,12.5,28.92,2021-06-16,False,4141.0,大潭電廠GIS廠房光電
1628,,29.6,13.34,12.1,27.52,2021-06-17,False,3908.0,大潭電廠GIS廠房光電
1629,,29.8,12.88,12.2,27.89,2021-06-18,False,4083.0,大潭電廠GIS廠房光電
1630,,30.0,12.58,11.9,27.44,2021-06-19,False,4041.0,大潭電廠GIS廠房光電
1631,,30.1,11.93,8.6,23.84,2021-06-20,False,3547.0,大潭電廠GIS廠房光電
1632,,28.6,9.97,3.9,16.71,2021-06-21,False,2482.0,大潭電廠GIS廠房光電
1633,,26.2,3.8,0.1,5.72,2021-06-22,False,865.0,大潭電廠GIS廠房光電
1634,,25.2,4.33,0.0,7.45,2021-06-23,False,1252.0,大潭電廠GIS廠房光電
1635,,25.9,5.76,0.5,8.92,2021-06-24,False,1450.0,大潭電廠GIS廠房光電
1636,,26.0,10.1,1.8,13.56,2021-06-25,False,2190.0,大潭電廠GIS廠房光電
1637,,27.9,13.21,11.0,26.58,2021-06-26,False,4016.0,大潭電廠GIS廠房光電
1638,,29.1,13.08,11.1,26.97,2021-06-27,False,4078.0,大潭電廠GIS廠房光電
1639,,28.6,13.39,4.8,20.82,2021-06-28,False,3276.0,大潭電廠GIS廠房光電
1640,,28.7,9.47,4.9,19.88,2021-06-29,False,2767.0,大潭電廠GIS廠房光電
1641,,28.8,13.15,9.7,26.21,2021-06-30,False,2599.0,大潭電廠GIS廠房光電
1642,,28.8,13.6,10.0,28.28,2021-07-01,False,4332.0,大潭電廠GIS廠房光電
1643,,28.6,13.15,12.4,28.09,2021-07-02,False,4168.0,大潭電廠GIS廠房光電
1644,,28.4,13.32,12.8,28.09,2021-07-03,False,4132.0,大潭電廠GIS廠房光電
1645,,28.6,11.38,5.6,21.36,2021-07-04,False,3261.0,大潭電廠GIS廠房光電
1646,,28.7,13.93,12.9,28.56,2021-07-05,False,4152.0,大潭電廠GIS廠房光電
1647,,28.3,13.25,4.6,18.58,2021-07-06,False,2891.0,大潭電廠GIS廠房光電
1648,,28.9,13.14,8.8,26.21,2021-07-07,False,3901.0,大潭電廠GIS廠房光電
1649,,28.9,13.16,11.3,27.34,2021-07-08,False,4055.0,大潭電廠GIS廠房光電
1650,,29.0,13.32,12.4,28.71,2021-07-09,False,4102.0,大潭電廠GIS廠房光電
1651,,29.3,12.4,9.1,25.28,2021-07-10,False,3793.0,大潭電廠GIS廠房光電
1652,,29.1,12.3,8.7,24.04,2021-07-11,False,3618.0,大潭電廠GIS廠房光電
1653,,28.9,12.52,7.2,23.35,2021-07-12,False,3599.0,大潭電廠GIS廠房光電
