,Date,Temp,UV,SunShineHour,GlobalRad,date,HaveEmpty,degree,station
850,,23.1,2.16,0.1,5.87,2019-05-01,False,152111.0,彰化彰濱光電
851,,21.0,1.02,0.0,0.82,2019-05-02,False,24559.0,彰化彰濱光電
852,,22.7,6.11,0.8,12.38,2019-05-03,False,2958.0,彰化彰濱光電
853,,25.1,7.2,3.3,18.66,2019-05-04,False,320215.0,彰化彰濱光電
854,,24.4,5.39,1.3,12.39,2019-05-05,False,169487.0,彰化彰濱光電
855,,21.3,2.89,0.0,3.94,2019-05-06,False,69873.0,彰化彰濱光電
856,,20.4,3.62,0.0,7.4,2019-05-07,False,194214.0,彰化彰濱光電
857,,22.4,6.62,0.2,9.02,2019-05-08,False,179721.0,彰化彰濱光電
858,,23.6,4.61,0.0,9.2,2019-05-09,False,137963.0,彰化彰濱光電
859,,25.2,6.74,4.1,19.13,2019-05-10,False,309680.0,彰化彰濱光電
860,,26.6,9.63,9.3,26.24,2019-05-11,False,447958.0,彰化彰濱光電
861,,27.7,7.62,10.0,24.95,2019-05-12,False,427789.0,彰化彰濱光電
862,,28.2,5.55,9.2,25.18,2019-05-13,False,352867.0,彰化彰濱光電
863,,28.4,-99.95,7.0,22.23,2019-05-14,False,234231.0,彰化彰濱光電
864,,28.8,-99.95,5.7,21.48,2019-05-15,False,161766.0,彰化彰濱光電
865,,27.0,6.39,1.3,8.95,2019-05-16,False,137738.0,彰化彰濱光電
866,,26.8,5.89,0.8,7.08,2019-05-17,False,94390.0,彰化彰濱光電
867,,26.7,4.29,0.1,6.84,2019-05-18,False,123398.0,彰化彰濱光電
868,,26.8,8.78,1.4,10.92,2019-05-19,False,233129.0,彰化彰濱光電
869,,24.8,2.73,0.0,3.39,2019-05-20,False,86765.0,彰化彰濱光電
870,,23.7,2.81,0.0,6.06,2019-05-21,False,108624.0,彰化彰濱光電
871,,24.7,5.87,1.5,11.69,2019-05-22,False,157226.0,彰化彰濱光電
872,,23.4,4.9,0.3,7.04,2019-05-23,False,71430.0,彰化彰濱光電
873,,26.9,5.46,2.4,16.22,2019-05-24,False,273419.0,彰化彰濱光電
874,,27.5,-99.95,3.2,16.58,2019-05-25,False,248620.0,彰化彰濱光電
875,,27.9,6.9,4.8,18.67,2019-05-26,False,272942.0,彰化彰濱光電
876,,27.3,5.0,2.3,14.1,2019-05-27,False,150976.0,彰化彰濱光電
877,,25.8,5.02,1.6,8.13,2019-05-28,False,86721.0,彰化彰濱光電
878,,24.7,7.22,0.2,14.33,2019-05-29,False,216390.0,彰化彰濱光電
879,,26.8,9.54,6.6,22.95,2019-05-30,False,399655.0,彰化彰濱光電
880,,28.6,9.07,9.7,25.59,2019-05-31,False,556628.0,彰化彰濱光電
881,,28.0,8.2,4.4,17.34,2019-06-01,False,522573.0,彰化彰濱光電
882,,28.8,10.88,3.0,19.35,2019-06-02,False,510036.0,彰化彰濱光電
883,,28.6,4.81,1.5,12.61,2019-06-03,False,263500.0,彰化彰濱光電
884,,25.9,3.66,0.5,6.57,2019-06-04,False,255500.0,彰化彰濱光電
885,,28.0,9.74,9.0,25.01,2019-06-05,False,603378.0,彰化彰濱光電
886,,29.1,8.85,7.4,22.33,2019-06-06,False,552608.0,彰化彰濱光電
887,,29.1,9.49,7.3,23.6,2019-06-07,False,559102.0,彰化彰濱光電
888,,29.1,8.07,2.5,17.74,2019-06-08,False,471899.0,彰化彰濱光電
889,,29.9,10.52,3.1,18.45,2019-06-09,False,403403.0,彰化彰濱光電
890,,27.4,3.19,0.2,4.98,2019-06-10,False,174301.0,彰化彰濱光電
891,,25.4,1.81,0.0,2.27,2019-06-11,False,148269.0,彰化彰濱光電
892,,24.3,1.49,0.0,2.53,2019-06-12,False,84500.0,彰化彰濱光電
893,,26.6,7.42,0.2,10.65,2019-06-13,False,244671.0,彰化彰濱光電
894,,25.9,7.1,0.8,10.12,2019-06-14,False,330438.0,彰化彰濱光電
895,,27.9,10.59,9.7,27.78,2019-06-15,False,666329.0,彰化彰濱光電
896,,27.6,10.28,7.5,23.54,2019-06-16,False,574490.0,彰化彰濱光電
897,,27.6,9.61,5.0,20.63,2019-06-17,False,563920.0,彰化彰濱光電
898,,29.2,11.69,6.6,22.85,2019-06-18,False,469179.0,彰化彰濱光電
899,,30.3,9.99,9.5,25.49,2019-06-19,False,611021.0,彰化彰濱光電
900,,30.0,8.83,7.1,22.1,2019-06-20,False,608889.0,彰化彰濱光電
901,,30.2,9.97,9.4,25.35,2019-06-21,False,599301.0,彰化彰濱光電
902,,30.5,5.82,0.3,14.0,2019-06-22,False,473097.0,彰化彰濱光電
903,,27.4,3.95,0.0,4.17,2019-06-23,False,117199.0,彰化彰濱光電
904,,24.9,3.72,0.0,5.84,2019-06-24,False,135000.0,彰化彰濱光電
905,,27.6,8.43,3.3,18.15,2019-06-25,False,387101.0,彰化彰濱光電
906,,27.8,8.23,2.0,15.92,2019-06-26,False,310897.0,彰化彰濱光電
907,,28.7,6.34,4.4,16.51,2019-06-27,False,341501.0,彰化彰濱光電
908,,30.1,9.69,8.3,26.03,2019-06-28,False,634905.0,彰化彰濱光電
909,,30.2,7.9,5.2,20.35,2019-06-29,False,543470.0,彰化彰濱光電
910,,28.7,9.34,5.0,19.52,2019-06-30,False,533222.0,彰化彰濱光電
911,,29.6,11.1,6.2,22.99,2019-07-01,False,556602.0,彰化彰濱光電
912,,30.0,8.88,2.9,17.04,2019-07-02,False,479002.0,彰化彰濱光電
913,,27.7,4.96,0.2,11.55,2019-07-03,False,183899.0,彰化彰濱光電
914,,29.3,8.69,3.7,16.64,2019-07-04,False,316303.0,彰化彰濱光電
915,,29.0,6.04,3.0,14.91,2019-07-05,False,370500.0,彰化彰濱光電
916,,27.6,2.37,0.2,5.96,2019-07-06,False,127699.0,彰化彰濱光電
917,,30.0,10.68,6.7,23.07,2019-07-07,False,537101.0,彰化彰濱光電
918,,30.3,9.82,7.1,23.54,2019-07-08,False,560000.0,彰化彰濱光電
919,,29.1,8.79,1.8,13.72,2019-07-09,False,438995.0,彰化彰濱光電
920,,28.8,6.34,2.2,12.16,2019-07-10,False,405700.0,彰化彰濱光電
921,,27.9,7.23,0.9,12.56,2019-07-11,False,329498.0,彰化彰濱光電
922,,29.9,10.37,7.4,25.03,2019-07-12,False,570598.0,彰化彰濱光電
923,,30.2,9.15,7.9,22.78,2019-07-13,False,531203.0,彰化彰濱光電
924,,30.2,8.11,7.8,22.48,2019-07-14,False,513698.0,彰化彰濱光電
925,,30.7,11.05,7.0,25.72,2019-07-15,False,543001.0,彰化彰濱光電
926,,30.7,9.67,8.7,24.38,2019-07-16,False,545000.0,彰化彰濱光電
927,,31.8,10.12,10.9,27.33,2019-07-17,False,541099.0,彰化彰濱光電
928,,28.8,4.49,0.0,8.35,2019-07-18,False,242802.0,彰化彰濱光電
929,,28.9,5.89,2.5,12.74,2019-07-19,False,305999.0,彰化彰濱光電
930,,28.9,6.37,1.8,13.59,2019-07-20,False,300801.0,彰化彰濱光電
931,,29.2,9.61,4.9,20.06,2019-07-21,False,392301.0,彰化彰濱光電
932,,29.0,7.5,3.3,17.81,2019-07-22,False,455598.0,彰化彰濱光電
933,,27.9,9.6,7.2,22.29,2019-07-23,False,483902.0,彰化彰濱光電
934,,28.9,8.95,8.6,23.69,2019-07-24,False,551000.0,彰化彰濱光電
935,,29.7,7.63,7.9,22.58,2019-07-25,False,529699.0,彰化彰濱光電
936,,30.0,10.68,7.5,23.9,2019-07-26,False,539802.0,彰化彰濱光電
937,,27.6,9.31,5.5,17.14,2019-07-27,False,440097.0,彰化彰濱光電
938,,28.3,9.69,6.3,20.71,2019-07-28,False,471499.0,彰化彰濱光電
939,,29.9,10.35,10.1,26.95,2019-07-29,False,580903.0,彰化彰濱光電
940,,30.5,8.72,9.2,25.45,2019-07-30,False,543997.0,彰化彰濱光電
941,,29.8,7.41,5.8,19.0,2019-07-31,False,569905.0,彰化彰濱光電
942,,28.3,4.16,2.6,10.98,2019-08-01,False,387501.0,彰化彰濱光電
943,,27.3,3.08,2.9,9.72,2019-08-02,False,480695.0,彰化彰濱光電
944,,28.6,5.51,6.1,16.45,2019-08-03,False,538304.0,彰化彰濱光電
945,,29.7,8.17,6.6,24.01,2019-08-04,False,557898.0,彰化彰濱光電
946,,29.8,6.7,2.0,12.98,2019-08-05,False,481501.0,彰化彰濱光電
947,,30.0,5.7,2.5,13.3,2019-08-06,False,531296.0,彰化彰濱光電
948,,30.4,7.46,4.9,15.79,2019-08-07,False,500703.0,彰化彰濱光電
949,,29.1,7.43,2.8,15.06,2019-08-08,False,455797.0,彰化彰濱光電
950,,27.4,7.36,0.1,9.61,2019-08-09,False,307203.0,彰化彰濱光電
951,,29.8,4.35,0.9,8.93,2019-08-10,False,302696.0,彰化彰濱光電
952,,28.7,3.39,0.0,6.07,2019-08-11,False,348703.0,彰化彰濱光電
953,,26.5,3.21,0.0,3.7,2019-08-12,False,110602.0,彰化彰濱光電
954,,26.9,4.09,1.0,6.81,2019-08-13,False,117512.0,彰化彰濱光電
955,,29.3,6.87,4.1,17.82,2019-08-14,False,484602.0,彰化彰濱光電
956,,26.7,4.24,0.3,5.52,2019-08-15,False,182898.0,彰化彰濱光電
957,,27.1,4.95,2.2,11.91,2019-08-16,False,309696.0,彰化彰濱光電
958,,26.2,5.1,0.8,8.85,2019-08-17,False,483601.0,彰化彰濱光電
959,,26.4,6.84,1.9,10.63,2019-08-18,False,249704.0,彰化彰濱光電
960,,25.9,7.2,0.8,10.42,2019-08-19,False,175399.0,彰化彰濱光電
961,,26.5,6.06,1.0,11.43,2019-08-20,False,392796.0,彰化彰濱光電
962,,27.2,7.12,1.0,14.16,2019-08-21,False,298399.0,彰化彰濱光電
963,,28.6,7.56,6.4,17.7,2019-08-22,False,558897.0,彰化彰濱光電
964,,29.9,7.3,5.5,19.78,2019-08-23,False,513806.0,彰化彰濱光電
965,,28.9,2.78,0.0,3.9,2019-08-24,False,124297.0,彰化彰濱光電
966,,28.5,6.62,1.2,11.43,2019-08-25,False,212398.0,彰化彰濱光電
967,,28.6,6.1,5.5,16.91,2019-08-26,False,432703.0,彰化彰濱光電
968,,28.8,8.91,8.0,21.66,2019-08-27,False,549102.0,彰化彰濱光電
969,,30.4,9.59,9.0,26.11,2019-08-28,False,261093.0,彰化彰濱光電
970,,29.9,4.22,2.1,12.38,2019-08-29,False,215602.0,彰化彰濱光電
971,,28.3,5.3,2.4,11.28,2019-08-30,False,193999.0,彰化彰濱光電
972,,29.4,8.66,8.4,22.53,2019-08-31,False,364298.0,彰化彰濱光電
973,,28.0,8.35,5.1,16.73,2019-09-01,False,497406.0,彰化彰濱光電
974,,28.9,9.53,9.0,23.63,2019-09-02,False,562493.0,彰化彰濱光電
975,,29.2,6.83,5.5,18.16,2019-09-03,False,540000.0,彰化彰濱光電
976,,26.6,4.97,0.8,6.43,2019-09-04,False,343304.0,彰化彰濱光電
977,,26.5,8.45,2.9,14.21,2019-09-05,False,500196.0,彰化彰濱光電
978,,27.9,9.12,2.0,19.16,2019-09-06,False,574500.0,彰化彰濱光電
979,,28.3,7.57,1.4,16.51,2019-09-07,False,490398.0,彰化彰濱光電
980,,28.4,6.88,5.3,19.44,2019-09-08,False,542102.0,彰化彰濱光電
981,,28.8,5.45,5.7,18.05,2019-09-09,False,504898.0,彰化彰濱光電
982,,29.2,9.35,3.0,17.36,2019-09-10,False,483398.0,彰化彰濱光電
983,,29.3,9.1,7.2,20.37,2019-09-11,False,518000.0,彰化彰濱光電
984,,29.6,5.7,4.2,14.7,2019-09-12,False,516500.0,彰化彰濱光電
985,,29.2,4.51,2.4,13.48,2019-09-13,False,458398.0,彰化彰濱光電
986,,29.5,9.29,6.1,21.13,2019-09-14,False,533500.0,彰化彰濱光電
987,,28.4,7.11,3.4,15.28,2019-09-15,False,462501.0,彰化彰濱光電
988,,28.1,5.56,2.3,12.11,2019-09-16,False,479898.0,彰化彰濱光電
989,,28.1,7.9,5.6,17.82,2019-09-17,False,509102.0,彰化彰濱光電
990,,28.2,9.61,7.4,23.05,2019-09-18,False,555693.0,彰化彰濱光電
