,Date,Temp,UV,SunShineHour,GlobalRad,date,HaveEmpty,degree,station
0,,20.0,4.42,9.6,15.36,2017-01-01,False,366.0,東勢新伯公光電
1,,20.9,4.93,8.2,14.51,2017-01-02,False,344.0,東勢新伯公光電
2,,21.1,4.21,8.4,14.11,2017-01-03,False,272.0,東勢新伯公光電
3,,21.0,4.16,4.2,10.93,2017-01-04,False,229.0,東勢新伯公光電
4,,20.8,3.62,3.3,10.78,2017-01-05,False,308.0,東勢新伯公光電
5,,20.8,4.48,7.6,14.21,2017-01-06,False,285.0,東勢新伯公光電
6,,21.7,4.0,2.8,10.99,2017-01-07,False,221.0,東勢新伯公光電
7,,21.9,4.59,9.5,15.78,2017-01-08,False,345.0,東勢新伯公光電
8,,19.9,4.36,9.0,15.53,2017-01-09,False,357.0,東勢新伯公光電
9,,19.1,4.1,8.1,14.93,2017-01-10,False,355.0,東勢新伯公光電
10,,19.8,4.56,9.0,15.36,2017-01-11,False,358.0,東勢新伯公光電
11,,20.2,3.91,4.7,11.42,2017-01-12,False,241.0,東勢新伯公光電
12,,18.2,2.64,0.0,5.11,2017-01-13,False,68.0,東勢新伯公光電
13,,15.7,2.76,1.8,6.47,2017-01-14,False,100.0,東勢新伯公光電
14,,15.9,2.5,0.1,5.06,2017-01-15,False,65.0,東勢新伯公光電
15,,16.4,2.6,2.9,8.97,2017-01-16,False,256.0,東勢新伯公光電
16,,18.4,4.93,7.4,14.94,2017-01-17,False,312.0,東勢新伯公光電
17,,19.7,5.18,8.6,16.43,2017-01-18,False,313.0,東勢新伯公光電
18,,20.6,5.49,9.3,16.93,2017-01-19,False,379.0,東勢新伯公光電
19,,16.7,5.4,8.7,17.32,2017-01-20,False,343.0,東勢新伯公光電
20,,15.4,4.5,4.0,11.74,2017-01-21,False,238.0,東勢新伯公光電
21,,16.6,5.12,9.1,17.4,2017-01-22,False,381.0,東勢新伯公光電
22,,16.7,4.48,4.7,13.91,2017-01-23,False,304.0,東勢新伯公光電
23,,17.2,3.42,1.2,11.04,2017-01-24,False,244.0,東勢新伯公光電
24,,16.8,3.94,3.7,11.7,2017-01-25,False,263.0,東勢新伯公光電
25,,17.3,5.12,9.8,18.72,2017-01-26,False,385.0,東勢新伯公光電
26,,17.3,5.3,9.8,18.43,2017-01-27,False,419.0,東勢新伯公光電
27,,18.8,6.0,9.6,18.76,2017-01-28,False,416.0,東勢新伯公光電
28,,21.2,5.72,9.1,16.84,2017-01-29,False,386.0,東勢新伯公光電
29,,20.7,6.12,7.7,17.76,2017-01-30,False,389.0,東勢新伯公光電
30,,18.5,6.13,5.0,14.66,2017-01-31,False,322.0,東勢新伯公光電
31,,18.9,4.07,0.5,11.02,2017-02-01,False,237.0,東勢新伯公光電
32,,17.8,4.48,3.8,12.06,2017-02-02,False,412.0,東勢新伯公光電
33,,18.9,5.73,6.3,16.56,2017-02-03,False,349.0,東勢新伯公光電
34,,19.6,4.31,0.8,9.16,2017-02-04,False,197.0,東勢新伯公光電
35,,19.7,3.99,1.0,9.6,2017-02-05,False,224.0,東勢新伯公光電
36,,19.6,5.52,9.6,18.67,2017-02-06,False,418.0,東勢新伯公光電
37,,18.9,4.33,5.1,13.94,2017-02-07,False,175.0,東勢新伯公光電
38,,18.6,4.89,4.0,14.22,2017-02-08,False,144.0,東勢新伯公光電
39,,13.5,4.17,0.0,8.15,2017-02-09,False,176.0,東勢新伯公光電
40,,13.1,4.24,1.8,10.0,2017-02-10,False,195.0,東勢新伯公光電
41,,14.0,4.48,2.8,10.68,2017-02-11,False,226.0,東勢新伯公光電
42,,15.7,4.29,2.4,12.28,2017-02-12,False,163.0,東勢新伯公光電
43,,17.6,5.61,9.9,19.06,2017-02-13,False,401.0,東勢新伯公光電
44,,18.2,5.37,9.4,19.33,2017-02-14,False,403.0,東勢新伯公光電
45,,17.4,5.26,9.7,19.46,2017-02-15,False,421.0,東勢新伯公光電
46,,18.8,5.48,9.6,19.62,2017-02-16,False,446.0,東勢新伯公光電
47,,20.3,5.77,9.6,19.58,2017-02-17,False,406.0,東勢新伯公光電
48,,19.8,5.74,9.8,19.78,2017-02-18,False,452.0,東勢新伯公光電
49,,19.9,5.7,9.7,19.56,2017-02-19,False,449.0,東勢新伯公光電
50,,22.7,5.12,7.0,17.26,2017-02-20,False,339.0,東勢新伯公光電
51,,22.1,6.03,8.5,19.79,2017-02-21,False,440.0,東勢新伯公光電
52,,20.8,3.21,1.0,7.55,2017-02-22,False,140.0,東勢新伯公光電
