,Date,Temp,UV,SunShineHour,GlobalRad,date,HaveEmpty,degree,station
0,,23.9,6.11,8.9,14.91,2017-01-01,False,6901.0,核三廠光電
1,,24.6,6.16,10.0,14.63,2017-01-02,False,6976.0,核三廠光電
2,,24.8,6.05,7.6,13.29,2017-01-03,False,6941.0,核三廠光電
3,,24.5,5.65,6.6,10.85,2017-01-04,False,5505.0,核三廠光電
4,,24.5,4.98,9.2,11.84,2017-01-05,False,6434.0,核三廠光電
5,,23.7,5.19,8.0,12.57,2017-01-06,False,6212.0,核三廠光電
6,,23.9,6.05,8.7,15.4,2017-01-07,False,6654.0,核三廠光電
7,,24.1,5.12,5.1,11.24,2017-01-08,False,5885.0,核三廠光電
8,,23.1,5.42,8.5,14.28,2017-01-09,False,7016.0,核三廠光電
9,,22.6,5.17,8.3,13.34,2017-01-10,False,883.0,核三廠光電
10,,23.4,5.94,6.6,13.38,2017-01-11,False,6697.0,核三廠光電
11,,23.8,4.8,3.5,9.26,2017-01-12,False,4929.0,核三廠光電
12,,22.6,6.52,6.8,13.6,2017-01-13,False,7188.0,核三廠光電
13,,21.4,5.8,4.4,10.84,2017-01-14,False,5268.0,核三廠光電
14,,21.4,6.5,8.1,14.57,2017-01-15,False,6983.0,核三廠光電
15,,21.4,6.5,8.7,13.99,2017-01-16,False,6537.0,核三廠光電
16,,22.3,6.33,7.6,14.38,2017-01-17,False,6551.0,核三廠光電
17,,22.9,5.01,4.0,10.05,2017-01-18,False,4849.0,核三廠光電
18,,23.0,4.26,6.4,10.43,2017-01-19,False,8058.0,核三廠光電
19,,21.2,5.26,3.8,11.78,2017-01-20,False,5359.0,核三廠光電
20,,20.0,4.82,2.8,9.65,2017-01-21,False,4122.0,核三廠光電
21,,20.3,4.71,0.4,9.38,2017-01-22,False,4133.0,核三廠光電
22,,19.8,6.32,1.5,9.21,2017-01-23,False,3771.0,核三廠光電
23,,20.7,3.88,1.2,7.45,2017-01-24,False,2711.0,核三廠光電
24,,21.6,6.14,4.8,12.16,2017-01-25,False,5440.0,核三廠光電
25,,21.2,6.45,10.2,16.47,2017-01-26,False,7941.0,核三廠光電
26,,22.2,6.69,9.2,16.01,2017-01-27,False,7360.0,核三廠光電
27,,23.5,6.73,9.3,15.53,2017-01-28,False,6393.0,核三廠光電
28,,24.2,7.04,7.1,14.06,2017-01-29,False,6480.0,核三廠光電
29,,24.4,7.51,5.5,10.85,2017-01-30,False,5845.0,核三廠光電
30,,21.2,3.94,0.0,3.21,2017-01-31,False,1847.0,核三廠光電
31,,21.9,3.76,0.0,5.43,2017-02-01,False,1788.0,核三廠光電
32,,21.1,7.52,6.0,14.22,2017-02-02,False,5862.0,核三廠光電
33,,22.5,7.73,8.8,15.37,2017-02-03,False,6497.0,核三廠光電
34,,22.1,5.46,0.5,8.68,2017-02-04,False,3544.0,核三廠光電
35,,23.5,5.59,3.6,11.01,2017-02-05,False,4787.0,核三廠光電
36,,22.4,7.2,8.5,16.43,2017-02-06,False,7584.0,核三廠光電
37,,22.0,6.67,9.9,17.01,2017-02-07,False,7727.0,核三廠光電
38,,22.0,6.18,7.4,14.54,2017-02-08,False,5756.0,核三廠光電
39,,19.0,5.06,1.7,9.51,2017-02-09,False,2784.0,核三廠光電
40,,17.1,3.29,0.4,7.06,2017-02-10,False,2964.0,核三廠光電
41,,16.4,6.02,1.2,8.45,2017-02-11,False,3527.0,核三廠光電
42,,18.4,6.73,6.0,16.2,2017-02-12,False,6852.0,核三廠光電
