,Date,Temp,UV,SunShineHour,GlobalRad,date,HaveEmpty,degree,station
0,,20.0,4.5,0.3,7.24,2017-01-01,False,152.0,澎湖七美光電
1,,20.4,6.03,4.2,12.57,2017-01-02,False,400.0,澎湖七美光電
2,,20.3,2.8,0.0,4.96,2017-01-03,False,154.0,澎湖七美光電
3,,20.4,0.0,0.2,3.89,2017-01-04,False,278.0,澎湖七美光電
4,,20.7,5.36,2.9,11.46,2017-01-05,False,405.0,澎湖七美光電
5,,20.8,4.84,3.5,11.59,2017-01-06,False,450.0,澎湖七美光電
6,,21.5,4.57,3.3,12.27,2017-01-07,False,387.0,澎湖七美光電
7,,21.2,3.33,3.0,10.29,2017-01-08,False,415.0,澎湖七美光電
8,,19.5,4.55,6.3,14.26,2017-01-09,False,464.0,澎湖七美光電
9,,19.2,4.26,5.2,13.17,2017-01-10,False,297.0,澎湖七美光電
10,,19.4,5.5,4.2,13.15,2017-01-11,False,434.0,澎湖七美光電
11,,18.3,1.79,0.1,3.74,2017-01-12,False,277.0,澎湖七美光電
12,,18.1,3.47,0.0,4.76,2017-01-13,False,169.0,澎湖七美光電
13,,16.9,3.32,0.3,4.28,2017-01-14,False,126.0,澎湖七美光電
14,,17.6,4.35,0.8,8.28,2017-01-15,False,169.0,澎湖七美光電
15,,17.7,4.21,1.5,9.68,2017-01-16,False,194.0,澎湖七美光電
16,,17.9,4.14,0.5,9.26,2017-01-17,False,207.0,澎湖七美光電
17,,18.8,5.15,5.7,11.96,2017-01-18,False,287.0,澎湖七美光電
18,,19.1,0.0,1.1,10.91,2017-01-19,False,414.0,澎湖七美光電
19,,16.8,3.59,0.6,7.17,2017-01-20,False,179.0,澎湖七美光電
20,,15.8,6.07,2.5,12.97,2017-01-21,False,337.0,澎湖七美光電
21,,16.7,6.19,9.1,18.36,2017-01-22,False,528.0,澎湖七美光電
22,,16.8,5.47,5.7,15.64,2017-01-23,False,397.0,澎湖七美光電
23,,17.0,4.95,2.4,13.06,2017-01-24,False,331.0,澎湖七美光電
24,,17.2,5.94,2.7,12.18,2017-01-25,False,379.0,澎湖七美光電
25,,17.3,6.06,8.3,18.65,2017-01-26,False,532.0,澎湖七美光電
26,,17.4,5.97,7.3,14.84,2017-01-27,False,482.0,澎湖七美光電
27,,18.3,5.45,1.9,12.3,2017-01-28,False,349.0,澎湖七美光電
28,,19.1,5.88,3.4,13.71,2017-01-29,False,416.0,澎湖七美光電
29,,18.8,3.89,1.7,8.42,2017-01-30,False,323.0,澎湖七美光電
30,,16.7,4.1,0.0,7.2,2017-01-31,False,139.0,澎湖七美光電
31,,17.1,2.63,0.1,6.45,2017-02-01,False,22.0,澎湖七美光電
32,,16.5,4.15,0.8,9.1,2017-02-02,False,190.0,澎湖七美光電
33,,16.6,3.67,0.0,9.11,2017-02-03,False,201.0,澎湖七美光電
34,,17.3,4.89,0.1,7.36,2017-02-04,False,135.0,澎湖七美光電
35,,17.9,3.92,0.2,7.53,2017-02-05,False,163.0,澎湖七美光電
36,,17.3,6.1,6.2,16.99,2017-02-06,False,439.0,澎湖七美光電
37,,16.8,5.59,6.2,16.36,2017-02-07,False,268.0,澎湖七美光電
38,,17.0,4.71,2.2,12.4,2017-02-08,False,484.0,澎湖七美光電
39,,14.0,2.1,0.0,4.66,2017-02-09,False,86.0,澎湖七美光電
40,,13.1,5.85,5.8,16.16,2017-02-10,False,181.0,澎湖七美光電
41,,13.8,5.32,3.5,13.66,2017-02-11,False,97.0,澎湖七美光電
42,,15.3,6.77,9.4,20.01,2017-02-12,False,469.0,澎湖七美光電
43,,16.5,7.13,9.9,20.98,2017-02-13,False,555.0,澎湖七美光電
44,,17.2,6.92,10.4,21.25,2017-02-14,False,619.0,澎湖七美光電
