,Date,Temp,UV,SunShineHour,GlobalRad,date,HaveEmpty,degree,station
0,,20.3,,6.9,14.98,2017-01-01,False,0.0,義竹工作站光電
1,,20.5,,5.5,13.58,2017-01-02,False,0.0,義竹工作站光電
2,,20.5,,5.2,13.04,2017-01-03,False,0.0,義竹工作站光電
3,,21.0,,6.2,14.12,2017-01-04,False,0.0,義竹工作站光電
4,,20.8,,6.4,12.46,2017-01-05,False,0.0,義竹工作站光電
5,,20.2,,5.9,14.21,2017-01-06,False,0.0,義竹工作站光電
6,,21.9,,4.9,13.64,2017-01-07,False,0.0,義竹工作站光電
7,,21.9,,9.6,17.39,2017-01-08,False,0.0,義竹工作站光電
8,,19.9,,8.5,16.69,2017-01-09,False,0.0,義竹工作站光電
9,,19.1,,7.9,14.93,2017-01-10,False,0.0,義竹工作站光電
10,,19.7,,8.0,15.79,2017-01-11,False,0.0,義竹工作站光電
11,,20.2,,5.5,13.76,2017-01-12,False,0.0,義竹工作站光電
12,,19.7,,3.5,12.69,2017-01-13,False,0.0,義竹工作站光電
13,,16.7,,0.6,8.13,2017-01-14,False,0.0,義竹工作站光電
14,,17.2,,2.4,10.77,2017-01-15,False,0.0,義竹工作站光電
15,,17.6,,6.9,16.38,2017-01-16,False,0.0,義竹工作站光電
16,,18.4,,6.2,15.25,2017-01-17,False,0.0,義竹工作站光電
17,,20.0,,7.4,17.68,2017-01-18,False,0.0,義竹工作站光電
18,,20.8,,9.7,18.53,2017-01-19,False,0.0,義竹工作站光電
19,,17.3,,5.6,15.18,2017-01-20,False,0.0,義竹工作站光電
20,,15.4,,1.2,8.3,2017-01-21,False,0.0,義竹工作站光電
21,,16.6,,3.0,13.05,2017-01-22,False,0.0,義竹工作站光電
22,,17.2,,2.8,12.9,2017-01-23,False,0.0,義竹工作站光電
23,,17.2,,2.0,11.74,2017-01-24,False,0.0,義竹工作站光電
24,,17.0,,4.6,13.67,2017-01-25,False,0.0,義竹工作站光電
25,,16.8,,9.3,18.88,2017-01-26,False,0.0,義竹工作站光電
26,,18.0,,10.1,19.85,2017-01-27,False,0.0,義竹工作站光電
