,Date,Temp,UV,SunShineHour,GlobalRad,date,HaveEmpty,degree,station
0,,22.6,,1.7,9.0,2017-01-01,False,0.0,蘭嶼電廠光電
1,,23.6,,9.3,16.02,2017-01-02,False,0.0,蘭嶼電廠光電
2,,24.2,,4.0,12.09,2017-01-03,False,0.0,蘭嶼電廠光電
3,,23.7,,1.6,8.92,2017-01-04,False,0.0,蘭嶼電廠光電
4,,23.9,,8.6,15.5,2017-01-05,False,0.0,蘭嶼電廠光電
5,,23.3,,8.2,16.01,2017-01-06,False,0.0,蘭嶼電廠光電
6,,23.0,,4.0,10.26,2017-01-07,False,0.0,蘭嶼電廠光電
7,,23.2,,7.0,14.17,2017-01-08,False,0.0,蘭嶼電廠光電
8,,22.3,,5.0,12.73,2017-01-09,False,0.0,蘭嶼電廠光電
9,,21.9,,5.5,12.05,2017-01-10,False,0.0,蘭嶼電廠光電
10,,22.7,,5.6,14.09,2017-01-11,False,0.0,蘭嶼電廠光電
11,,21.8,,0.2,5.58,2017-01-12,False,0.0,蘭嶼電廠光電
12,,21.5,,0.0,6.42,2017-01-13,False,0.0,蘭嶼電廠光電
13,,20.2,,0.0,4.36,2017-01-14,False,0.0,蘭嶼電廠光電
14,,20.6,,4.7,12.78,2017-01-15,False,0.0,蘭嶼電廠光電
15,,20.9,,6.5,16.59,2017-01-16,False,0.0,蘭嶼電廠光電
16,,21.6,,0.6,8.06,2017-01-17,False,0.0,蘭嶼電廠光電
17,,21.8,,1.2,7.18,2017-01-18,False,0.0,蘭嶼電廠光電
18,,23.2,,8.6,17.24,2017-01-19,False,0.0,蘭嶼電廠光電
19,,19.8,,0.3,5.61,2017-01-20,False,0.0,蘭嶼電廠光電
20,,19.4,,2.3,11.58,2017-01-21,False,0.0,蘭嶼電廠光電
21,,19.4,,0.0,5.48,2017-01-22,False,0.0,蘭嶼電廠光電
22,,19.2,,0.0,6.95,2017-01-23,False,0.0,蘭嶼電廠光電
23,,20.2,,0.1,7.66,2017-01-24,False,0.0,蘭嶼電廠光電
24,,20.7,,3.0,11.76,2017-01-25,False,0.0,蘭嶼電廠光電
25,,20.5,,7.0,16.48,2017-01-26,False,0.0,蘭嶼電廠光電
26,,21.9,,5.8,16.19,2017-01-27,False,0.0,蘭嶼電廠光電
27,,22.0,,5.7,16.59,2017-01-28,False,0.0,蘭嶼電廠光電
28,,23.0,,1.8,11.27,2017-01-29,False,0.0,蘭嶼電廠光電
29,,22.8,,6.3,15.2,2017-01-30,False,0.0,蘭嶼電廠光電
30,,20.6,,0.0,4.26,2017-01-31,False,0.0,蘭嶼電廠光電
31,,21.2,,0.0,8.48,2017-02-01,False,0.0,蘭嶼電廠光電
32,,20.5,,2.8,11.8,2017-02-02,False,0.0,蘭嶼電廠光電
33,,21.7,,6.8,16.37,2017-02-03,False,0.0,蘭嶼電廠光電
34,,20.3,,0.0,5.02,2017-02-04,False,0.0,蘭嶼電廠光電
35,,22.5,,2.8,11.43,2017-02-05,False,0.0,蘭嶼電廠光電
36,,21.3,,1.4,8.25,2017-02-06,False,0.0,蘭嶼電廠光電
37,,21.5,,6.9,16.85,2017-02-07,False,0.0,蘭嶼電廠光電
38,,21.0,,9.1,18.65,2017-02-08,False,0.0,蘭嶼電廠光電
39,,18.2,,0.1,4.69,2017-02-09,False,0.0,蘭嶼電廠光電
40,,16.2,,0.0,2.71,2017-02-10,False,0.0,蘭嶼電廠光電
