,Date,Temp,UV,SunShineHour,GlobalRad,date,HaveEmpty,degree,station
0,,19.1,5.64,7.9,12.62,2017-01-01,False,1979.0,金門金沙光電
1,,17.6,5.46,8.4,12.29,2017-01-02,False,1921.0,金門金沙光電
2,,18.4,5.67,9.4,12.92,2017-01-03,False,2067.0,金門金沙光電
3,,17.6,3.01,0.2,4.73,2017-01-04,False,855.0,金門金沙光電
4,,19.3,5.95,5.5,9.94,2017-01-05,False,1370.0,金門金沙光電
5,,18.2,2.63,0.0,3.49,2017-01-06,False,585.0,金門金沙光電
6,,18.4,4.01,0.3,6.83,2017-01-07,False,761.0,金門金沙光電
7,,19.0,4.75,7.3,11.4,2017-01-08,False,1954.0,金門金沙光電
8,,17.1,4.96,4.3,9.75,2017-01-09,False,1886.0,金門金沙光電
9,,15.9,4.99,6.0,11.4,2017-01-10,False,1925.0,金門金沙光電
10,,16.6,3.88,1.9,9.1,2017-01-11,False,1044.0,金門金沙光電
11,,16.2,3.62,0.0,5.1,2017-01-12,False,649.0,金門金沙光電
12,,13.9,3.21,0.0,4.54,2017-01-13,False,629.0,金門金沙光電
13,,12.9,4.26,0.2,7.15,2017-01-14,False,1437.0,金門金沙光電
14,,12.7,4.92,0.4,5.24,2017-01-15,False,801.0,金門金沙光電
15,,14.4,5.18,6.8,12.98,2017-01-16,False,2024.0,金門金沙光電
16,,15.3,5.39,4.3,11.53,2017-01-17,False,1547.0,金門金沙光電
17,,15.6,2.05,0.0,2.98,2017-01-18,False,396.0,金門金沙光電
18,,15.8,2.65,0.0,5.28,2017-01-19,False,992.0,金門金沙光電
19,,13.5,2.63,0.0,4.38,2017-01-20,False,710.0,金門金沙光電
20,,12.3,5.76,7.1,13.17,2017-01-21,False,2243.0,金門金沙光電
21,,12.9,5.43,9.5,14.71,2017-01-22,False,2523.0,金門金沙光電
22,,12.7,5.13,6.8,13.18,2017-01-23,False,2309.0,金門金沙光電
23,,13.4,4.48,4.2,11.34,2017-01-24,False,1976.0,金門金沙光電
24,,14.2,5.42,5.4,12.04,2017-01-25,False,1851.0,金門金沙光電
25,,13.9,5.75,9.9,15.58,2017-01-26,False,2606.0,金門金沙光電
26,,14.5,6.28,10.0,15.72,2017-01-27,False,2625.0,金門金沙光電
27,,15.9,5.6,2.1,10.83,2017-01-28,False,1832.0,金門金沙光電
28,,16.6,3.46,0.0,6.09,2017-01-29,False,887.0,金門金沙光電
29,,15.3,2.2,0.0,4.02,2017-01-30,False,319.0,金門金沙光電
30,,13.4,5.14,1.8,10.88,2017-01-31,False,1867.0,金門金沙光電
31,,15.3,7.18,4.6,12.62,2017-02-01,False,1988.0,金門金沙光電
32,,13.6,7.01,7.8,14.82,2017-02-02,False,2642.0,金門金沙光電
33,,14.5,4.28,0.0,6.23,2017-02-03,False,761.0,金門金沙光電
34,,16.0,5.55,5.2,12.37,2017-02-04,False,1920.0,金門金沙光電
35,,16.3,5.38,3.0,9.93,2017-02-05,False,1343.0,金門金沙光電
36,,15.3,6.11,9.4,15.75,2017-02-06,False,2598.0,金門金沙光電
37,,14.7,6.7,9.1,16.01,2017-02-07,False,2695.0,金門金沙光電
38,,14.7,4.35,1.7,8.93,2017-02-08,False,1280.0,金門金沙光電
39,,12.8,6.5,8.3,15.36,2017-02-09,False,2570.0,金門金沙光電
40,,10.6,5.79,2.2,10.74,2017-02-10,False,1678.0,金門金沙光電
41,,11.1,6.18,9.6,16.01,2017-02-11,False,2657.0,金門金沙光電
42,,11.7,6.25,10.0,16.34,2017-02-12,False,2720.0,金門金沙光電
