,Date,Temp,UV,SunShineHour,GlobalRad,date,HaveEmpty,degree,station
0,,15.4,5.13,6.5,10.08,2017-01-01,False,0.0,馬祖珠山光電
1,,16.2,5.79,9.4,12.01,2017-01-02,False,0.0,馬祖珠山光電
2,,14.9,5.36,9.4,11.46,2017-01-03,False,0.0,馬祖珠山光電
3,,15.7,5.91,9.7,11.78,2017-01-04,False,0.0,馬祖珠山光電
4,,16.4,4.07,0.5,5.08,2017-01-05,False,0.0,馬祖珠山光電
5,,15.7,1.26,0.0,0.58,2017-01-06,False,0.0,馬祖珠山光電
6,,16.6,2.41,0.9,3.93,2017-01-07,False,0.0,馬祖珠山光電
7,,15.9,4.53,4.8,8.5,2017-01-08,False,0.0,馬祖珠山光電
8,,13.0,1.78,0.0,3.61,2017-01-09,False,0.0,馬祖珠山光電
9,,12.1,4.08,0.6,5.24,2017-01-10,False,0.0,馬祖珠山光電
10,,11.5,0.81,0.0,0.01,2017-01-11,False,0.0,馬祖珠山光電
11,,11.2,0.86,0.0,0.06,2017-01-12,False,0.0,馬祖珠山光電
12,,10.7,1.85,0.0,2.28,2017-01-13,False,0.0,馬祖珠山光電
13,,11.0,5.26,2.3,8.38,2017-01-14,False,0.0,馬祖珠山光電
14,,9.5,2.34,0.0,2.64,2017-01-15,False,0.0,馬祖珠山光電
15,,10.3,3.69,0.5,6.2,2017-01-16,False,0.0,馬祖珠山光電
16,,11.2,1.47,0.0,1.13,2017-01-17,False,0.0,馬祖珠山光電
17,,12.2,1.23,0.0,1.15,2017-01-18,False,0.0,馬祖珠山光電
18,,11.7,1.77,0.1,3.16,2017-01-19,False,0.0,馬祖珠山光電
19,,10.0,1.55,0.0,2.52,2017-01-20,False,0.0,馬祖珠山光電
20,,8.8,4.25,4.2,9.63,2017-01-21,False,0.0,馬祖珠山光電
21,,10.3,5.18,9.8,13.78,2017-01-22,False,0.0,馬祖珠山光電
22,,9.4,4.38,7.6,11.4,2017-01-23,False,0.0,馬祖珠山光電
23,,9.4,0.99,0.0,0.57,2017-01-24,False,0.0,馬祖珠山光電
24,,10.8,2.81,0.0,3.67,2017-01-25,False,0.0,馬祖珠山光電
25,,11.5,5.46,10.2,14.59,2017-01-26,False,0.0,馬祖珠山光電
26,,11.9,5.68,8.8,13.98,2017-01-27,False,0.0,馬祖珠山光電
27,,13.0,5.16,2.5,9.17,2017-01-28,False,0.0,馬祖珠山光電
28,,16.9,5.02,0.1,7.44,2017-01-29,False,0.0,馬祖珠山光電
29,,11.9,0.95,0.0,0.02,2017-01-30,False,0.0,馬祖珠山光電
30,,9.1,2.66,0.0,3.86,2017-01-31,False,0.0,馬祖珠山光電
31,,10.7,4.76,1.2,7.45,2017-02-01,False,0.0,馬祖珠山光電
32,,9.3,3.01,0.0,4.25,2017-02-02,False,0.0,馬祖珠山光電
33,,11.7,3.16,0.0,3.46,2017-02-03,False,0.0,馬祖珠山光電
34,,14.5,3.14,2.3,7.02,2017-02-04,False,0.0,馬祖珠山光電
35,,12.8,1.84,0.0,1.35,2017-02-05,False,0.0,馬祖珠山光電
36,,10.7,5.28,9.1,14.27,2017-02-06,False,0.0,馬祖珠山光電
37,,10.6,6.56,6.7,12.88,2017-02-07,False,0.0,馬祖珠山光電
38,,10.9,2.4,0.6,4.36,2017-02-08,False,0.0,馬祖珠山光電
39,,8.7,6.13,3.9,9.68,2017-02-09,False,0.0,馬祖珠山光電
40,,7.9,4.62,2.5,9.71,2017-02-10,False,0.0,馬祖珠山光電
41,,8.9,6.3,8.1,15.16,2017-02-11,False,0.0,馬祖珠山光電
42,,9.0,6.61,9.2,15.55,2017-02-12,False,0.0,馬祖珠山光電
43,,10.6,7.1,10.3,16.51,2017-02-13,False,0.0,馬祖珠山光電
44,,11.5,6.98,10.1,16.34,2017-02-14,False,0.0,馬祖珠山光電
45,,11.8,4.83,3.1,9.68,2017-02-15,False,0.0,馬祖珠山光電
46,,15.0,6.68,10.1,15.51,2017-02-16,False,0.0,馬祖珠山光電
47,,14.9,6.38,9.9,15.14,2017-02-17,False,0.0,馬祖珠山光電
48,,11.1,2.73,0.0,3.36,2017-02-18,False,0.0,馬祖珠山光電
49,,13.7,5.15,4.6,11.26,2017-02-19,False,0.0,馬祖珠山光電
50,,14.0,5.15,1.7,7.5,2017-02-20,False,0.0,馬祖珠山光電
51,,10.2,3.53,0.0,4.19,2017-02-21,False,0.0,馬祖珠山光電
52,,13.4,2.87,0.0,5.18,2017-02-22,False,0.0,馬祖珠山光電
53,,8.7,0.6,0.0,0.02,2017-02-23,False,0.0,馬祖珠山光電
54,,5.9,0.99,0.0,0.35,2017-02-24,False,0.0,馬祖珠山光電
55,,6.1,2.24,0.0,2.09,2017-02-25,False,0.0,馬祖珠山光電
56,,9.2,6.74,4.5,11.24,2017-02-26,False,0.0,馬祖珠山光電
57,,11.2,6.32,5.9,14.12,2017-02-27,False,0.0,馬祖珠山光電
58,,10.8,3.51,0.4,5.32,2017-02-28,False,0.0,馬祖珠山光電
59,,13.5,7.54,10.0,16.44,2017-03-01,False,0.0,馬祖珠山光電
60,,12.2,7.5,9.7,16.94,2017-03-02,False,0.0,馬祖珠山光電
61,,10.7,7.63,8.4,14.8,2017-03-03,False,0.0,馬祖珠山光電
62,,13.3,7.59,6.5,13.51,2017-03-04,False,0.0,馬祖珠山光電
63,,14.1,5.5,0.8,7.17,2017-03-05,False,0.0,馬祖珠山光電
64,,11.8,6.33,0.5,7.47,2017-03-06,False,0.0,馬祖珠山光電
