,Date,Temp,UV,SunShineHour,GlobalRad,date,HaveEmpty,degree,station
1612,,26.4,10.0,2.5,16.28,2021-06-01,False,976.0,龍潭淨水場光電
1613,,28.0,13.62,8.1,24.33,2021-06-02,False,1227.0,龍潭淨水場光電
1614,,28.4,13.29,10.3,26.39,2021-06-03,False,1666.0,龍潭淨水場光電
1615,,27.8,12.14,2.6,16.85,2021-06-04,False,517.0,龍潭淨水場光電
1616,,24.9,3.46,0.0,4.19,2021-06-05,False,329.0,龍潭淨水場光電
1617,,23.4,2.09,0.0,3.47,2021-06-06,False,291.0,龍潭淨水場光電
1618,,25.7,11.07,7.4,20.8,2021-06-07,False,938.0,龍潭淨水場光電
1619,,27.5,12.33,10.9,27.72,2021-06-08,False,1644.0,龍潭淨水場光電
1620,,27.9,12.9,8.0,25.46,2021-06-09,False,1416.0,龍潭淨水場光電
1621,,27.9,13.66,10.4,26.35,2021-06-10,False,1798.0,龍潭淨水場光電
1622,,28.6,13.5,11.9,28.53,2021-06-11,False,1520.0,龍潭淨水場光電
1623,,28.0,12.81,11.3,27.51,2021-06-12,False,1884.0,龍潭淨水場光電
1624,,28.5,13.68,11.1,26.65,2021-06-13,False,1606.0,龍潭淨水場光電
1625,,29.0,12.8,9.2,25.76,2021-06-14,False,1943.0,龍潭淨水場光電
1626,,29.2,13.47,11.8,27.67,2021-06-15,False,1942.0,龍潭淨水場光電
1627,,29.8,13.67,12.5,28.92,2021-06-16,False,2116.0,龍潭淨水場光電
1628,,29.6,13.34,12.1,27.52,2021-06-17,False,2187.0,龍潭淨水場光電
1629,,29.8,12.88,12.2,27.89,2021-06-18,False,2076.0,龍潭淨水場光電
1630,,30.0,12.58,11.9,27.44,2021-06-19,False,2200.0,龍潭淨水場光電
1631,,30.1,11.93,8.6,23.84,2021-06-20,False,1847.0,龍潭淨水場光電
1632,,28.6,9.97,3.9,16.71,2021-06-21,False,1561.0,龍潭淨水場光電
1633,,26.2,3.8,0.1,5.72,2021-06-22,False,727.0,龍潭淨水場光電
1634,,25.2,4.33,0.0,7.45,2021-06-23,False,648.0,龍潭淨水場光電
1635,,25.9,5.76,0.5,8.92,2021-06-24,False,561.0,龍潭淨水場光電
1636,,26.0,10.1,1.8,13.56,2021-06-25,False,672.0,龍潭淨水場光電
1637,,27.9,13.21,11.0,26.58,2021-06-26,False,2022.0,龍潭淨水場光電
1638,,29.1,13.08,11.1,26.97,2021-06-27,False,2125.0,龍潭淨水場光電
1639,,28.6,13.39,4.8,20.82,2021-06-28,False,1427.0,龍潭淨水場光電
1640,,28.7,9.47,4.9,19.88,2021-06-29,False,1524.0,龍潭淨水場光電
1641,,28.8,13.15,9.7,26.21,2021-06-30,False,2090.0,龍潭淨水場光電
1642,,28.8,13.6,10.0,28.28,2021-07-01,False,2242.0,龍潭淨水場光電
1643,,28.6,13.15,12.4,28.09,2021-07-02,False,2008.0,龍潭淨水場光電
1644,,28.4,13.32,12.8,28.09,2021-07-03,False,2146.0,龍潭淨水場光電
1645,,28.6,11.38,5.6,21.36,2021-07-04,False,1011.0,龍潭淨水場光電
1646,,28.7,13.93,12.9,28.56,2021-07-05,False,1421.0,龍潭淨水場光電
1647,,28.3,13.25,4.6,18.58,2021-07-06,False,1209.0,龍潭淨水場光電
1648,,28.9,13.14,8.8,26.21,2021-07-07,False,960.0,龍潭淨水場光電
1649,,28.9,13.16,11.3,27.34,2021-07-08,False,1601.0,龍潭淨水場光電
1650,,29.0,13.32,12.4,28.71,2021-07-09,False,2152.0,龍潭淨水場光電
