time,station,total_data,drop_data,drop_rate(%),evaluate_value[0],evaluate_value[1]
2023_12_12_09_38_28,北部儲運中心光電.csv,1609,235,14.605344934742076,3.184677362442016,3.184677362442016
2023_12_12_09_39_26,卓蘭會館光電.csv,2364,125,5.287648054145516,1.34913063049316,1.34913063049316
2023_12_12_09_40_26,東勢新伯公光電.csv,2365,126,5.3276955602537,0.749900043010711,0.749900043010711
2023_12_12_09_41_28,台南鹽田電氣室光電.csv,2365,126,5.3276955602537,0.75111848115921,0.75111848115921
2023_12_12_09_42_38,永安鹽灘地光電.csv,2358,254,10.77184054283291,1.6777954101562,1.6777954101562
2023_12_12_09_43_35,南投大彎光電.csv,907,57,6.284454244762955,1.620214939117431,1.620214939117431
2023_12_12_09_44_32,核三廠光電.csv,2368,91,3.8429054054054057,1.276926517486572,1.276926517486572
2023_12_12_09_45_39,台中龍井光電.csv,2307,124,5.374945817078457,1.666030645370483,1.666030645370483
2023_12_12_09_46_37,高雄保寧光電.csv,2358,118,5.004240882103478,0.64857542514801,0.64857542514801
2023_12_12_09_47_55,淡水配水場光電.csv,2311,146,6.317611423626136,1.435606241226196,1.435606241226196
2023_12_12_09_48_53,鳳山水庫光電.csv,2364,125,5.287648054145516,1.73537385463714,1.73537385463714
2023_12_12_09_50_56,燕巢倉庫光電.csv,1661,180,10.836845273931369,1.031527876853942,1.031527876853942
2023_12_12_09_52_47,中部儲運中心光電.csv,2370,126,5.316455696202532,1.190316796302795,1.190316796302795
2023_12_12_09_54_42,大潭電廠GIS廠房光電.csv,787,135,17.15374841168996,3.548683643341064,3.548683643341064
2023_12_12_09_55_36,馬祖珠山光電.csv,2370,126,5.316455696202532,1.267709374427795,1.267709374427795
2023_12_12_09_56_49,義竹工作站光電.csv,2370,126,5.316455696202532,1.269896864891052,1.269896864891052
2023_12_12_09_57_43,大潭電廠光電.csv,2365,353,14.926004228329807,6.14813566207885,6.14813566207885
2023_12_12_09_58_39,彰化彰濱光電.csv,1519,83,5.464121132323897,2.31485366821289,2.31485366821289
2023_12_12_09_59_39,台南鹽田光電.csv,885,102,11.52542372881356,1.353663325309753,1.353663325309753
2023_12_12_10_00_39,平鎮淨水場光電.csv,2358,118,5.004240882103478,0.626211047172546,0.626211047172546
2023_12_12_10_01_57,金門金沙光電.csv,2311,146,6.317611423626136,1.492822766304016,1.492822766304016
2023_12_12_10_03_09,金門塔山光電.csv,2370,255,10.759493670886076,1.378754019737243,1.378754019737243
2023_12_12_10_04_24,台南七股II光電.csv,2358,118,5.004240882103478,0.621573388576507,0.621573388576507
2023_12_12_10_05_34,澎湖尖山光電.csv,2369,160,6.75390460109751,1.756883263587951,1.756883263587951
2023_12_12_10_06_25,嘉義民雄光電.csv,2358,118,5.004240882103478,0.4370774924755096,0.4370774924755096
2023_12_12_10_07_14,台中電廠光電.csv,2364,125,5.287648054145516,1.8766479492187,1.8766479492187
2023_12_12_10_07_54,大湳淨水場光電.csv,2370,255,10.759493670886076,1.700024843215942,1.700024843215942
2023_12_12_10_08_39,龍潭淨水場光電.csv,2365,126,5.3276955602537,0.865318119525909,0.865318119525909
2023_12_12_10_09_43,台中電廠GIS廠房光電.csv,2311,146,6.317611423626136,1.622111916542053,1.622111916542053
2023_12_12_10_10_47,澎湖七美光電.csv,2371,149,6.2842682412484185,0.466970533132553,0.466970533132553
2023_12_12_10_11_41,蘭嶼電廠光電.csv,2358,254,10.77184054283291,1.420043349266052,1.420043349266052
2023_12_12_10_12_38,興達電廠光電.csv,2370,255,10.759493670886076,0.97108924388885,0.97108924388885
2023_12_12_10_13_33,台南七股光電.csv,1668,180,10.79136690647482,1.411004185676574,1.411004185676574
2023_12_12_10_14_15,蘭嶼貯存場光電.csv,2365,126,5.3276955602537,0.818358778953552,0.818358778953552
2023_12_12_10_15_20,高雄E\S停車棚光電.csv,2364,125,5.287648054145516,1.814936518669128,1.814936518669128
