,date,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max_x,UVI Max Time,Cloud Amount,degree,UVI Max_y,station,Lng,Lat
0,2017-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6,北部儲運中心光電,121.257462,24.8983014
1,2017-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6,北部儲運中心光電,121.257462,24.8983014
2,2017-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4,北部儲運中心光電,121.257462,24.8983014
3,2017-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7,北部儲運中心光電,121.257462,24.8983014
4,2017-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4,北部儲運中心光電,121.257462,24.8983014
5,2017-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5,北部儲運中心光電,121.257462,24.8983014
6,2017-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4,北部儲運中心光電,121.257462,24.8983014
7,2017-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3,北部儲運中心光電,121.257462,24.8983014
8,2017-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4,北部儲運中心光電,121.257462,24.8983014
9,2017-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5,北部儲運中心光電,121.257462,24.8983014
10,2017-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6,北部儲運中心光電,121.257462,24.8983014
11,2017-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4,北部儲運中心光電,121.257462,24.8983014
12,2017-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2,北部儲運中心光電,121.257462,24.8983014
13,2017-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2,北部儲運中心光電,121.257462,24.8983014
14,2017-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2,北部儲運中心光電,121.257462,24.8983014
15,2017-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4,北部儲運中心光電,121.257462,24.8983014
16,2017-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6,北部儲運中心光電,121.257462,24.8983014
17,2017-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5,北部儲運中心光電,121.257462,24.8983014
18,2017-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3,北部儲運中心光電,121.257462,24.8983014
19,2017-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1,北部儲運中心光電,121.257462,24.8983014
20,2017-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3,北部儲運中心光電,121.257462,24.8983014
