,date,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max_x,UVI Max Time,Cloud Amount,degree,UVI Max_y,station,Lng,Lat
0,2017-01-01,,1021.2,1022.3,,,,,21.5,,,,,16.7,74,,,1.8,330,,,,0.9,,,,,,3.3,30.8,9.03,22.3,3.0,7,,8.6,0.0,6,南投大彎光電,120.856769,23.806008
1,2017-01-02,,1018.9,1020.0,,,,,23.4,,,,,16.7,67,,,1.4,340,,,,0.0,,,,,,7.5,69.9,14.19,21.9,3.2,7,,6.3,0.0,6,南投大彎光電,120.856769,23.806008
2,2017-01-03,,1018.7,1019.8,,,,,23.4,,,,,17.5,70,,,1.3,50,,,,0.0,,,,,,1.7,15.8,8.1,23.8,-3.4,5,,8.5,0.0,5,南投大彎光電,120.856769,23.806008
3,2017-01-04,,1017.7,1018.8,,,,,23.1,,,,,17.7,72,,,1.1,30,,,,0.1,,,,,,1.6,14.9,8.18,24.1,2.8,6,,9.0,0.0,6,南投大彎光電,120.856769,23.806008
4,2017-01-05,,1015.7,1016.8,,,,,23.9,,,,,18.3,71,,,0.6,140,,,,0.0,,,,,,5.9,54.9,12.38,20.6,2.3,6,,6.1,0.0,3,南投大彎光電,120.856769,23.806008
5,2017-01-06,,1014.4,1015.5,,,,,24.3,,,,,18.5,70,,,0.8,320,,,,0.1,,,,,,7.8,72.5,14.81,20.0,-3.8,6,,5.4,0.0,5,南投大彎光電,120.856769,23.806008
6,2017-01-07,,1012.4,1013.5,,,,,23.6,,,,,17.8,70,,,0.9,310,,,,0.0,,,,,,6.4,59.5,11.89,22.5,3.0,6,,5.5,0.0,3,南投大彎光電,120.856769,23.806008
7,2017-01-08,,1011.8,1012.9,,,,,23.1,,,,,17.7,72,,,1.7,50,,,,0.1,,,,,,6.6,61.3,12.24,18.1,-3.9,6,,5.6,0.0,5,南投大彎光電,120.856769,23.806008
8,2017-01-09,,1015.8,1016.9,,,,,21.0,,,,,15.4,71,,,1.7,340,,,,0.0,,,,,,3.4,31.5,10.69,14.3,3.1,6,,9.4,0.0,5,南投大彎光電,120.856769,23.806008
9,2017-01-10,,1018.3,1019.5,,,,,20.5,,,,,14.1,67,,,1.6,340,,,,0.0,,,,,,3.0,27.8,9.48,14.6,3.3,6,,7.5,0.0,4,南投大彎光電,120.856769,23.806008
10,2017-01-11,,1018.2,1019.3,,,,,21.0,,,,,15.4,71,,,1.8,50,,,,0.9,,,,,,5.0,46.3,12.38,16.1,-2.7,6,,6.6,0.0,5,南投大彎光電,120.856769,23.806008
11,2017-01-12,,1014.3,1015.4,,,,,21.0,,,,,17.3,80,,,0.7,330,,,,1.0,,,,,,0.0,0.0,3.26,10.6,-0.8,2,,9.8,0.0,5,南投大彎光電,120.856769,23.806008
12,2017-01-13,,1013.6,1014.7,,,,,20.2,,,,,16.5,79,,,1.3,340,,,,0.1,,,,,,0.0,0.0,2.68,17.1,-0.9,2,,9.4,0.0,4,南投大彎光電,120.856769,23.806008
13,2017-01-14,,1017.3,1018.5,,,,,18.2,,,,,13.1,72,,,1.2,340,,,,0.1,,,,,,0.0,0.0,3.88,14.0,-1.7,2,,9.8,0.0,2,南投大彎光電,120.856769,23.806008
14,2017-01-15,,1019.0,1020.2,,,,,18.3,,,,,12.2,68,,,1.3,330,,,,0.0,,,,,,0.2,1.8,4.57,25.0,2.2,2,,9.9,0.0,2,南投大彎光電,120.856769,23.806008
15,2017-01-16,,1019.7,1020.8,,,,,19.4,,,,,12.8,66,,,2.1,40,,,,0.0,,,,,,6.3,58.1,14.05,24.5,3.1,7,,7.1,0.0,5,南投大彎光電,120.856769,23.806008
16,2017-01-17,,1021.1,1022.3,,,,,19.9,,,,,14.2,70,,,1.7,340,,,,0.0,,,,,,1.7,15.7,8.12,28.8,3.1,5,,8.5,0.0,6,南投大彎光電,120.856769,23.806008
17,2017-01-18,,1020.2,1021.4,,,,,21.8,,,,,16.7,73,,,0.8,310,,,,0.5,,,,,,1.6,14.7,8.35,19.4,-2.2,6,,8.0,0.0,6,南投大彎光電,120.856769,23.806008
18,2017-01-19,,1018.2,1019.4,,,,,22.9,,,,,17.8,74,,,1.4,320,,,,0.1,,,,,,8.2,75.3,15.24,21.5,-3.4,7,,4.6,0.0,6,南投大彎光電,120.856769,23.806008
19,2017-01-20,,1020.9,1022.1,,,,,19.1,,,,,14.6,75,,,2.9,40,,,,1.0,,,,,,0.0,0.0,3.63,17.5,-2.4,2,,8.3,0.0,5,南投大彎光電,120.856769,23.806008
20,2017-01-21,,1023.8,1025.0,,,,,17.7,,,,,10.6,64,,,1.7,350,,,,0.0,,,,,,1.8,16.5,8.5,23.8,2.8,5,,9.8,0.0,5,南投大彎光電,120.856769,23.806008
21,2017-01-22,,1025.2,1026.4,,,,,17.7,,,,,11.4,67,,,2.1,340,,,,0.0,,,,,,0.0,0.0,3.28,19.4,1.9,2,,10.0,0.0,5,南投大彎光電,120.856769,23.806008
22,2017-01-23,,1026.3,1027.5,,,,,17.2,,,,,10.0,62,,,1.6,330,,,,0.0,,,,,,0.0,0.0,4.51,23.1,2.6,4,,10.0,0.0,5,南投大彎光電,120.856769,23.806008
23,2017-01-24,,1025.7,1026.9,,,,,18.7,,,,,12.2,66,,,2.1,350,,,,0.0,,,,,,2.2,20.1,9.45,23.8,-2.6,5,,9.8,0.0,4,南投大彎光電,120.856769,23.806008
24,2017-01-25,,1023.6,1024.8,,,,,19.4,,,,,13.8,70,,,1.5,340,,,,1.1,,,,,,1.3,11.9,8.28,25.6,-1.5,4,,8.6,0.0,3,南投大彎光電,120.856769,23.806008
25,2017-01-26,,1022.6,1023.8,,,,,19.3,,,,,12.1,64,,,2.4,40,,,,0.0,,,,,,7.7,70.1,15.73,20.0,4.4,7,,7.0,0.0,6,南投大彎光電,120.856769,23.806008
26,2017-01-27,,1021.5,1022.7,,,,,20.3,,,,,11.8,59,,,1.8,340,,,,0.7,,,,,,7.1,64.6,14.95,21.9,-3.6,7,,7.3,0.0,6,南投大彎光電,120.856769,23.806008
27,2017-01-28,,1019.0,1020.1,,,,,21.3,,,,,14.1,64,,,1.3,340,,,,0.0,,,,,,3.4,30.9,11.54,21.9,3.3,8,,8.4,0.0,6,南投大彎光電,120.856769,23.806008
28,2017-01-29,,1017.7,1018.8,,,,,21.9,,,,,16.1,70,,,1.1,350,,,,0.0,,,,,,0.3,2.7,6.58,25.0,2.0,5,,8.8,0.0,7,南投大彎光電,120.856769,23.806008
29,2017-01-30,,1018.0,1019.1,,,,,22.5,,,,,16.2,68,,,2.1,40,,,,0.0,,,,,,8.2,74.3,15.67,21.9,-5.3,8,,5.1,0.0,7,南投大彎光電,120.856769,23.806008
30,2017-01-31,,1019.7,1020.8,,,,,20.0,,,,,13.9,68,,,1.8,360,,,,0.3,,,,,,0.0,0.0,4.01,23.8,-1.2,3,,9.9,0.0,4,南投大彎光電,120.856769,23.806008
31,2017-02-01,,1020.6,1021.8,,,,,20.2,,,,,15.5,75,,,2.4,30,,,,0.3,,,,,,0.0,0.0,6.91,19.4,-2.3,4,,10.0,0.0,4,南投大彎光電,120.856769,23.806008
32,2017-02-02,,1022.4,1023.6,,,,,19.5,,,,,13.2,67,,,2.9,40,,,,0.0,,,,,,3.1,28.0,10.6,23.5,3.4,6,,9.4,0.0,7,南投大彎光電,120.856769,23.806008
33,2017-02-03,,1019.4,1020.5,,,,,20.7,,,,,13.2,63,,,1.8,40,,,,0.1,,,,,,7.0,63.0,16.24,20.0,-4.1,8,,6.9,0.0,6,南投大彎光電,120.856769,23.806008
34,2017-02-04,,1015.3,1016.4,,,,,19.5,,,,,15.9,80,,,1.2,340,,,,6.8,,,,,,0.0,0.0,2.42,12.8,-0.3,3,,10.0,0.0,5,南投大彎光電,120.856769,23.806008
