,date,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount,degree,station,Lng,Lat
0,2017-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,台南七股光電,120.1387218,23.1035949
1,2017-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,台南七股光電,120.1387218,23.1035949
2,2017-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,台南七股光電,120.1387218,23.1035949
3,2017-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,台南七股光電,120.1387218,23.1035949
4,2017-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,台南七股光電,120.1387218,23.1035949
5,2017-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,台南七股光電,120.1387218,23.1035949
6,2017-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,台南七股光電,120.1387218,23.1035949
7,2017-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,台南七股光電,120.1387218,23.1035949
8,2017-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,台南七股光電,120.1387218,23.1035949
9,2017-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,台南七股光電,120.1387218,23.1035949
10,2017-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,台南七股光電,120.1387218,23.1035949
11,2017-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,台南七股光電,120.1387218,23.1035949
12,2017-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,台南七股光電,120.1387218,23.1035949
13,2017-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,台南七股光電,120.1387218,23.1035949
14,2017-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,台南七股光電,120.1387218,23.1035949
15,2017-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,台南七股光電,120.1387218,23.1035949
16,2017-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,台南七股光電,120.1387218,23.1035949
17,2017-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,台南七股光電,120.1387218,23.1035949
18,2017-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,台南七股光電,120.1387218,23.1035949
19,2017-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,台南七股光電,120.1387218,23.1035949
