,date,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max_x,UVI Max Time,Cloud Amount,degree,UVI Max_y,station,Lng,Lat
0,2017-01-01,,1010.3,1020.4,,,,,20.0,,,,,17.0,84,,,0.7,350,,,,0.0,,,,,,9.6,90.3,15.36,12.0,2.8,4,,1.1,128.0,4,嘉義民雄光電,120.4562745,23.5248558
1,2017-01-02,,1009.4,1019.4,,,,,20.9,,,,,17.4,81,,,1.0,350,,,,0.0,,,,,,8.2,77.1,14.51,9.0,0.7,5,,4.3,128.0,5,嘉義民雄光電,120.4562745,23.5248558
2,2017-01-03,,1008.6,1018.7,,,,,21.1,,,,,17.4,80,,,0.7,320,,,,0.0,,,,,,8.4,78.9,14.11,11.1,2.3,4,,3.6,113.0,5,嘉義民雄光電,120.4562745,23.5248558
3,2017-01-04,,1007.5,1017.5,,,,,21.0,,,,,17.7,82,,,0.6,210,,,,0.0,,,,,,4.2,39.4,10.93,10.8,2.7,4,,5.6,95.0,5,嘉義民雄光電,120.4562745,23.5248558
4,2017-01-05,,1006.6,1016.6,,,,,20.8,,,,,17.8,84,,,0.8,100,,,,0.0,,,,,,3.3,31.0,10.78,8.1,0.3,4,,7.3,105.0,4,嘉義民雄光電,120.4562745,23.5248558
5,2017-01-06,,1005.4,1015.4,,,,,20.8,,,,,17.7,84,,,0.9,340,,,,0.0,,,,,,7.6,71.3,14.21,7.8,1.1,4,,5.0,99.0,5,嘉義民雄光電,120.4562745,23.5248558
6,2017-01-07,,1003.5,1013.5,,,,,21.7,,,,,18.2,81,,,0.7,250,,,,0.0,,,,,,2.8,26.2,10.99,8.0,2.9,4,,6.8,105.0,4,嘉義民雄光電,120.4562745,23.5248558
7,2017-01-08,,1002.8,1012.8,,,,,21.9,,,,,17.2,75,,,1.1,330,,,,0.0,,,,,,9.5,89.0,15.78,11.5,1.5,5,,3.3,148.0,5,嘉義民雄光電,120.4562745,23.5248558
8,2017-01-09,,1005.0,1015.1,,,,,19.9,,,,,14.2,71,,,1.6,350,,,,0.0,,,,,,9.0,84.2,15.53,16.8,3.5,4,,1.0,145.0,4,嘉義民雄光電,120.4562745,23.5248558
9,2017-01-10,,1007.8,1017.9,,,,,19.1,,,,,13.1,69,,,1.1,340,,,,0.0,,,,,,8.1,75.7,14.93,13.0,1.5,4,,3.0,136.0,4,嘉義民雄光電,120.4562745,23.5248558
10,2017-01-11,,1007.4,1017.5,,,,,19.8,,,,,14.5,73,,,1.0,360,,,,0.0,,,,,,9.0,84.1,15.36,12.3,3.1,5,,3.5,140.0,5,嘉義民雄光電,120.4562745,23.5248558
11,2017-01-12,,1005.0,1015.0,,,,,20.2,,,,,16.7,81,,,1.3,340,,,,0.0,,,,,,4.7,43.9,11.42,10.8,2.6,4,,7.5,85.0,4,嘉義民雄光電,120.4562745,23.5248558
12,2017-01-13,,1004.3,1014.4,,,,,18.2,,,,,14.7,80,,,2.0,340,,,,0.1,,,,,,0.0,0.0,5.11,13.4,-0.3,3,,9.8,64.0,5,嘉義民雄光電,120.4562745,23.5248558
13,2017-01-14,,1006.7,1016.9,,,,,15.7,,,,,12.7,83,,,1.9,10,,,,3.0,,,,,,1.8,16.8,6.47,14.8,-0.5,3,,9.0,34.0,3,嘉義民雄光電,120.4562745,23.5248558
14,2017-01-15,,1009.0,1019.2,,,,,15.9,,,,,12.2,79,,,1.7,360,,,,0.1,,,,,,0.1,0.9,5.06,13.9,-0.3,3,,9.5,73.0,4,嘉義民雄光電,120.4562745,23.5248558
15,2017-01-16,,1009.2,1019.5,,,,,16.4,,,,,12.6,79,,,1.2,350,,,,1.0,,,,,,2.9,26.9,8.97,12.9,1.9,3,,7.0,96.0,4,嘉義民雄光電,120.4562745,23.5248558
16,2017-01-17,,1010.8,1020.9,,,,,18.4,,,,,14.6,80,,,1.1,340,,,,0.0,,,,,,7.4,68.7,14.94,15.5,2.4,5,,7.0,132.0,5,嘉義民雄光電,120.4562745,23.5248558
17,2017-01-18,,1011.3,1021.4,,,,,19.7,,,,,16.5,83,,,1.3,360,,,,0.0,,,,,,8.6,79.7,16.43,12.3,2.7,5,,2.8,137.0,5,嘉義民雄光電,120.4562745,23.5248558
18,2017-01-19,,1009.8,1019.9,,,,,20.6,,,,,16.4,78,,,1.3,350,,,,0.0,,,,,,9.3,86.1,16.93,11.8,1.9,5,,5.0,153.0,6,嘉義民雄光電,120.4562745,23.5248558
19,2017-01-20,,1010.8,1021.0,,,,,16.7,,,,,11.5,72,,,2.7,360,,,,0.0,,,,,,8.7,80.5,17.32,14.3,4.8,5,,5.5,121.0,5,嘉義民雄光電,120.4562745,23.5248558
20,2017-01-21,,1013.6,1023.9,,,,,15.4,,,,,9.2,67,,,2.0,360,,,,0.0,,,,,,4.0,36.9,11.74,16.8,2.7,5,,6.8,82.0,4,嘉義民雄光電,120.4562745,23.5248558
21,2017-01-22,,1013.9,1024.1,,,,,16.6,,,,,8.6,61,,,2.2,360,,,,0.0,,,,,,9.1,83.9,17.4,14.9,2.3,5,,3.3,147.0,5,嘉義民雄光電,120.4562745,23.5248558
22,2017-01-23,,1014.0,1024.2,,,,,16.7,,,,,9.5,63,,,1.2,340,,,,0.0,,,,,,4.7,43.3,13.91,12.4,3.7,4,,7.3,123.0,5,嘉義民雄光電,120.4562745,23.5248558
23,2017-01-24,,1014.7,1025.0,,,,,17.2,,,,,11.2,68,,,1.3,350,,,,0.0,,,,,,1.2,11.0,11.04,12.0,1.8,3,,8.9,94.0,4,嘉義民雄光電,120.4562745,23.5248558
24,2017-01-25,,1014.2,1024.4,,,,,16.8,,,,,11.8,73,,,2.1,350,,,,0.0,,,,,,3.7,34.0,11.7,16.8,2.2,4,,7.1,83.0,3,嘉義民雄光電,120.4562745,23.5248558
25,2017-01-26,,1012.3,1022.5,,,,,17.3,,,,,10.6,67,,,1.6,20,,,,0.0,,,,,,9.8,89.9,18.72,16.1,1.8,5,,1.0,153.0,5,嘉義民雄光電,120.4562745,23.5248558
26,2017-01-27,,1011.8,1022.0,,,,,17.3,,,,,12.3,74,,,1.2,360,,,,0.0,,,,,,9.8,89.8,18.43,14.5,3.1,5,,1.6,162.0,5,嘉義民雄光電,120.4562745,23.5248558
27,2017-01-28,,1008.1,1018.2,,,,,18.8,,,,,13.2,73,,,0.7,320,,,,0.0,,,,,,9.6,87.8,18.76,15.1,1.2,6,,1.5,157.0,6,嘉義民雄光電,120.4562745,23.5248558
28,2017-01-29,,1007.3,1017.4,,,,,21.2,,,,,14.5,69,,,1.1,360,,,,0.0,,,,,,9.1,83.1,16.84,14.4,5.0,6,,6.5,125.0,6,嘉義民雄光電,120.4562745,23.5248558
29,2017-01-30,,1007.3,1017.3,,,,,20.7,,,,,14.7,69,,,1.9,360,,,,0.0,,,,,,7.7,70.2,17.76,14.5,2.3,6,,6.3,146.0,6,嘉義民雄光電,120.4562745,23.5248558
30,2017-01-31,,1008.5,1018.6,,,,,18.5,,,,,13.0,71,,,1.6,360,,,,0.0,,,,,,5.0,45.5,14.66,14.9,-2.9,6,,5.8,106.0,5,嘉義民雄光電,120.4562745,23.5248558
