,date,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount,degree,station,Lng,Lat
0,2017-01-01,,1021.2,1022.2,,,,,20.5,,,,,17.5,84,,,1.7,290,,,,4.5,,,,,,3.0,28.3,10.2,18.0,1.3,6,,9.0,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
1,2017-01-02,,1019.1,1020.0,,,,,21.0,,,,,16.9,78,,,1.7,290,,,,0.0,,,,,,8.1,76.5,12.47,27.8,-1.9,6,,3.7,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
2,2017-01-03,,1019.3,1020.3,,,,,20.5,,,,,18.6,89,,,2.3,50,,,,7.5,,,,,,0.0,0.0,1.84,7.5,-1.0,2,,9.2,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
3,2017-01-04,,1017.4,1018.4,,,,,21.7,,,,,19.0,85,,,2.0,40,,,,1.0,,,,,,3.7,34.9,8.68,13.5,-0.9,5,,8.0,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
4,2017-01-05,,1015.0,1016.0,,,,,21.9,,,,,19.1,84,,,1.8,60,,,,0.0,,,,,,4.8,45.2,9.29,25.0,0.2,5,,5.3,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
5,2017-01-06,,1014.5,1015.4,,,,,21.7,,,,,19.7,89,,,1.4,100,,,,15.2,,,,,,0.7,6.6,4.35,7.8,-0.8,4,,10.0,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
6,2017-01-07,,1011.8,1012.7,,,,,22.7,,,,,20.2,86,,,1.5,280,,,,0.4,,,,,,5.6,52.7,10.93,10.8,-2.0,5,,7.5,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
7,2017-01-08,,1012.9,1013.9,,,,,20.4,,,,,17.8,85,,,2.8,80,,,,0.2,,,,,,1.0,9.4,3.92,9.5,-2.6,3,,9.7,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
8,2017-01-09,,1018.0,1019.0,,,,,17.0,,,,,14.1,83,,,1.7,270,,,,0.2,,,,,,0.0,0.0,1.02,8.8,-0.6,2,,10.0,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
9,2017-01-10,,1019.8,1020.8,,,,,17.6,,,,,13.4,77,,,1.3,260,,,,0.0,,,,,,0.0,0.0,1.83,9.7,0.4,2,,10.0,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
10,2017-01-11,,1019.0,1019.9,,,,,19.1,,,,,16.3,84,,,1.0,280,,,,,,,,,,0.4,3.8,4.43,8.0,1.1,3,,10.0,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
11,2017-01-12,,1014.6,1015.5,,,,,20.3,,,,,17.7,85,,,1.9,80,,,,0.0,,,,,,0.4,3.7,6.57,8.8,1.3,4,,9.8,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
12,2017-01-13,,1016.2,1017.2,,,,,16.9,,,,,14.5,86,,,2.9,70,,,,2.1,,,,,,0.0,0.0,1.95,15.5,-0.3,2,,10.0,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
13,2017-01-14,,1020.6,1021.6,,,,,13.8,,,,,12.4,92,,,1.9,240,,,,10.2,,,,,,0.0,0.0,1.46,6.5,-0.5,2,,10.0,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
14,2017-01-15,,1022.1,1023.1,,,,,13.8,,,,,12.3,91,,,1.8,240,,,,8.9,,,,,,0.0,0.0,0.91,10.3,-0.4,1,,10.0,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
15,2017-01-16,,1022.4,1023.4,,,,,14.2,,,,,12.9,92,,,2.1,230,,,,6.7,,,,,,0.0,0.0,1.65,11.0,-0.2,2,,10.0,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
16,2017-01-17,,1021.9,1022.9,,,,,17.2,,,,,15.4,90,,,1.0,250,,,,2.9,,,,,,0.0,0.0,4.76,9.3,-0.5,3,,9.5,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
17,2017-01-18,,1020.4,1021.3,,,,,20.1,,,,,16.6,81,,,1.4,120,,,,0.0,,,,,,6.3,58.6,11.66,18.3,1.8,6,,5.8,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
18,2017-01-19,,1019.0,1020.0,,,,,20.2,,,,,16.7,81,,,1.6,80,,,,0.0,,,,,,3.7,34.4,11.25,14.2,2.7,7,,8.2,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
19,2017-01-20,,1024.7,1025.7,,,,,14.8,,,,,10.8,77,,,3.1,60,,,,,,,,,,0.0,0.0,0.47,10.5,-1.4,1,,10.0,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
20,2017-01-21,,1026.1,1027.1,,,,,14.2,,,,,9.5,74,,,1.5,240,,,,0.0,,,,,,0.1,0.9,4.46,14.2,1.0,4,,9.5,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
21,2017-01-22,,1028.1,1029.1,,,,,15.0,,,,,8.0,64,,,2.6,20,,,,0.0,,,,,,0.4,3.7,6.17,14.8,0.8,3,,9.7,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
22,2017-01-23,,1029.0,1030.0,,,,,13.8,,,,,9.3,74,,,1.5,230,,,,0.3,,,,,,0.0,0.0,0.0,8.8,-0.8,0,,10.0,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
23,2017-01-24,,1028.2,1029.2,,,,,13.7,,,,,12.6,93,,,1.9,240,,,,7.5,,,,,,0.0,0.0,0.1,6.8,-0.3,1,,10.0,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
24,2017-01-25,,1026.5,1027.5,,,,,14.9,,,,,13.6,92,,,1.8,260,,,,7.7,,,,,,0.0,0.0,1.19,7.2,-0.3,1,,10.0,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
25,2017-01-26,,1025.1,1026.1,,,,,15.1,,,,,11.8,81,,,1.7,240,,,,,,,,,,1.2,11.0,5.72,12.5,2.8,3,,9.3,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
26,2017-01-27,,1022.5,1023.5,,,,,17.9,,,,,13.2,75,,,1.9,240,,,,0.0,,,,,,6.6,60.6,13.08,20.0,2.1,6,,3.0,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
27,2017-01-28,,1018.6,1019.6,,,,,19.5,,,,,15.4,78,,,1.8,280,,,,0.0,,,,,,6.3,57.8,13.48,18.5,3.0,6,,3.0,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
28,2017-01-29,,1017.2,1018.1,,,,,20.7,,,,,16.7,78,,,1.8,280,,,,0.0,,,,,,5.3,48.5,12.38,26.3,1.4,7,,7.3,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
29,2017-01-30,,1020.7,1021.7,,,,,17.9,,,,,15.5,86,,,2.6,70,,,,3.1,,,,,,0.5,4.6,2.16,11.5,-0.4,2,,9.8,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
30,2017-01-31,,1022.3,1023.3,,,,,15.3,,,,,14.2,93,,,1.2,270,,,,18.2,,,,,,0.0,0.0,2.81,6.0,-0.6,3,,10.0,0.0,大潭電廠GIS廠房光電,121.0593087,25.0298937
