,date,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount,degree,station,Lng,Lat
0,2017-01-01,,1017.7,1022.1,,,,,20.5,,,,,17.2,82,,,3.3,330,,,,18.8,,,,,,0.7,6.5,6.71,,,5,,,6901.0,核三廠光電,120.7539512,21.9656605
1,2017-01-02,,1015.4,1019.8,,,,,22.5,,,,,17.6,74,,,2.3,330,,,,0.0,,,,,,6.8,63.5,14.42,,,6,,,6976.0,核三廠光電,120.7539512,21.9656605
2,2017-01-03,,1015.2,1019.6,,,,,22.1,,,,,17.4,75,,,2.5,330,,,,0.0,,,,,,1.0,9.3,8.27,,,5,,,6941.0,核三廠光電,120.7539512,21.9656605
3,2017-01-04,,1014.2,1018.6,,,,,22.1,,,,,18.1,78,,,2.2,330,,,,0.0,,,,,,0.7,6.5,7.56,,,5,,,5505.0,核三廠光電,120.7539512,21.9656605
4,2017-01-05,,1012.1,1016.4,,,,,22.9,,,,,18.8,78,,,1.9,320,,,,0.0,,,,,,6.7,62.5,14.07,,,6,,,6434.0,核三廠光電,120.7539512,21.9656605
5,2017-01-06,,1010.9,1015.2,,,,,22.5,,,,,18.9,80,,,1.7,320,,,,0.0,,,,,,3.4,31.7,10.31,,,5,,,6212.0,核三廠光電,120.7539512,21.9656605
6,2017-01-07,,1008.7,1013.1,,,,,22.3,,,,,18.2,77,,,1.8,330,,,,0.0,,,,,,3.2,29.8,10.34,,,4,,,6654.0,核三廠光電,120.7539512,21.9656605
7,2017-01-08,,1008.4,1012.7,,,,,21.9,,,,,18.2,80,,,3.5,30,,,,5.9,,,,,,1.4,13.0,6.59,,,4,,,5885.0,核三廠光電,120.7539512,21.9656605
8,2017-01-09,,1012.3,1016.7,,,,,20.3,,,,,15.9,76,,,4.4,10,,,,0.0,,,,,,1.1,10.2,6.42,,,4,,,7016.0,核三廠光電,120.7539512,21.9656605
9,2017-01-10,,1014.8,1019.2,,,,,20.1,,,,,15.0,72,,,3.4,20,,,,0.0,,,,,,0.6,5.6,7.29,,,3,,,883.0,核三廠光電,120.7539512,21.9656605
10,2017-01-11,,1014.7,1019.1,,,,,20.8,,,,,16.4,76,,,3.4,20,,,,2.2,,,,,,4.2,39.0,10.75,,,6,,,6697.0,核三廠光電,120.7539512,21.9656605
11,2017-01-12,,1010.8,1015.2,,,,,20.2,,,,,18.0,87,,,1.9,330,,,,2.1,,,,,,0.0,0.0,1.82,,,2,,,4929.0,核三廠光電,120.7539512,21.9656605
