,date,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max_x,UVI Max Time,Cloud Amount,degree,UVI Max_y,station,Lng,Lat
0,2017-01-01,,1016.7,1020.1,,,,,19.6,,,,,16.3,83,,,0.7,320,,,,0.0,,,,,,6.7,62.8,10.75,4.3,1.5,4,,2.7,20716.0,6,永安鹽灘地光電,120.2108809,22.8441274
1,2017-01-02,,1015.8,1019.1,,,,,20.5,,,,,16.9,81,,,1.4,330,,,,0.0,,,,,,6.8,63.7,11.89,4.4,1.9,5,,1.8,18200.0,6,永安鹽灘地光電,120.2108809,22.8441274
2,2017-01-03,,1015.0,1018.4,,,,,20.6,,,,,17.3,83,,,1.2,10,,,,0.0,,,,,,3.9,36.5,10.5,4.6,2.0,5,,5.0,16296.0,7,永安鹽灘地光電,120.2108809,22.8441274
3,2017-01-04,,1013.9,1017.2,,,,,21.3,,,,,17.4,80,,,0.9,320,,,,0.0,,,,,,4.1,38.4,10.16,6.0,1.8,5,,7.0,19216.0,6,永安鹽灘地光電,120.2108809,22.8441274
4,2017-01-05,,1012.9,1016.3,,,,,21.3,,,,,17.1,78,,,1.2,360,,,,0.0,,,,,,5.6,52.3,10.34,7.0,2.2,4,,5.8,15924.0,4,永安鹽灘地光電,120.2108809,22.8441274
5,2017-01-06,,1011.8,1015.2,,,,,20.2,,,,,17.1,83,,,1.7,350,,,,0.0,,,,,,4.1,38.3,10.13,2.5,1.7,5,,5.0,19604.0,6,永安鹽灘地光電,120.2108809,22.8441274
6,2017-01-07,,1009.8,1013.1,,,,,21.7,,,,,17.7,79,,,1.2,350,,,,0.0,,,,,,2.9,27.1,9.87,4.3,1.9,4,,6.8,15980.0,5,永安鹽灘地光電,120.2108809,22.8441274
7,2017-01-08,,1009.0,1012.4,,,,,21.7,,,,,16.8,75,,,1.6,10,,,,0.0,,,,,,9.2,85.8,13.43,15.3,2.8,5,,1.2,20408.0,6,永安鹽灘地光電,120.2108809,22.8441274
8,2017-01-09,,1011.4,1014.8,,,,,19.7,,,,,14.6,73,,,1.6,340,,,,0.0,,,,,,9.2,85.7,13.27,8.7,2.7,4,,0.7,17744.0,5,永安鹽灘地光電,120.2108809,22.8441274
9,2017-01-10,,1014.2,1017.6,,,,,19.0,,,,,13.3,71,,,1.6,360,,,,0.0,,,,,,8.7,81.0,12.41,6.5,2.3,4,,1.8,17984.0,5,永安鹽灘地光電,120.2108809,22.8441274
10,2017-01-11,,1013.9,1017.3,,,,,19.7,,,,,14.5,73,,,1.4,340,,,,0.0,,,,,,8.3,77.2,13.23,8.2,2.1,5,,4.3,17332.0,5,永安鹽灘地光電,120.2108809,22.8441274
11,2017-01-12,,1011.4,1014.8,,,,,20.5,,,,,16.5,78,,,1.8,360,,,,0.0,,,,,,2.6,24.2,9.24,5.5,2.0,4,,7.5,18184.0,6,永安鹽灘地光電,120.2108809,22.8441274
12,2017-01-13,,1010.5,1013.9,,,,,19.3,,,,,15.1,77,,,2.7,360,,,,0.1,,,,,,1.0,9.3,7.59,7.5,-1.2,5,,10.0,16196.0,6,永安鹽灘地光電,120.2108809,22.8441274
13,2017-01-14,,1013.2,1016.6,,,,,15.9,,,,,12.7,82,,,2.4,360,,,,1.3,,,,,,0.2,1.9,4.03,4.7,-0.6,3,,9.7,11616.0,4,永安鹽灘地光電,120.2108809,22.8441274
