,date,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max_x,UVI Max Time,Cloud Amount,degree,UVI Max_y,station,Lng,Lat
0,2017-01-01,,1017.6,1020.7,,,,,20.9,,,,,17.4,81,,,1.8,320,,,,0.0,,,,,,8.9,83.1,13.49,2.3,,5,,1.8,129.0,5,澎湖尖山光電,119.6644027,23.5686805
1,2017-01-02,,1016.6,1019.8,,,,,20.8,,,,,17.5,82,,,2.7,30,,,,0.0,,,,,,8.3,77.5,12.61,2.4,,4,,2.9,199.0,6,澎湖尖山光電,119.6644027,23.5686805
2,2017-01-03,,1015.9,1019.1,,,,,20.8,,,,,17.8,83,,,1.9,20,,,,0.0,,,,,,6.3,58.8,12.04,1.8,,4,,3.9,79.0,3,澎湖尖山光電,119.6644027,23.5686805
3,2017-01-04,,1014.8,1018.0,,,,,21.3,,,,,17.9,82,,,2.2,20,,,,0.0,,,,,,6.9,64.3,11.52,2.8,,4,,3.1,80.0,1,澎湖尖山光電,119.6644027,23.5686805
4,2017-01-05,,1013.7,1016.9,,,,,21.3,,,,,17.6,80,,,2.5,360,,,,0.0,,,,,,6.8,63.4,11.14,4.6,,3,,2.0,196.0,5,澎湖尖山光電,119.6644027,23.5686805
5,2017-01-06,,1012.6,1015.8,,,,,20.8,,,,,17.5,82,,,2.8,30,,,,0.0,,,,,,6.9,64.3,13.18,2.1,,4,,2.5,187.0,5,澎湖尖山光電,119.6644027,23.5686805
6,2017-01-07,,1010.7,1013.8,,,,,22.4,,,,,18.0,77,,,2.4,30,,,,0.0,,,,,,6.7,62.4,13.34,3.3,,4,,4.1,208.0,5,澎湖尖山光電,119.6644027,23.5686805
7,2017-01-08,,1009.8,1013.0,,,,,22.6,,,,,17.7,75,,,3.4,30,,,,0.0,,,,,,9.9,92.1,14.33,5.4,,4,,0.8,198.0,3,澎湖尖山光電,119.6644027,23.5686805
8,2017-01-09,,1012.3,1015.5,,,,,20.4,,,,,15.6,74,,,3.4,10,,,,0.0,,,,,,9.1,84.6,13.64,5.0,,4,,0.5,271.0,5,澎湖尖山光電,119.6644027,23.5686805
9,2017-01-10,,1014.9,1018.1,,,,,19.6,,,,,14.2,72,,,3.2,20,,,,0.0,,,,,,8.4,78.0,13.29,4.6,,4,,2.3,237.0,4,澎湖尖山光電,119.6644027,23.5686805
10,2017-01-11,,1014.7,1017.9,,,,,20.1,,,,,15.2,73,,,3.2,30,,,,0.0,,,,,,8.5,78.8,13.21,3.0,,4,,3.1,222.0,6,澎湖尖山光電,119.6644027,23.5686805
11,2017-01-12,,1012.2,1015.4,,,,,20.5,,,,,16.8,80,,,3.5,20,,,,0.0,,,,,,8.1,75.1,13.23,3.9,,4,,6.1,72.0,2,澎湖尖山光電,119.6644027,23.5686805
12,2017-01-13,,1011.0,1014.2,,,,,19.9,,,,,15.9,78,,,4.0,20,,,,0.0,,,,,,4.4,40.7,12.02,3.6,,5,,6.9,77.0,3,澎湖尖山光電,119.6644027,23.5686805
13,2017-01-14,,1013.7,1016.9,,,,,17.1,,,,,13.2,78,,,4.0,20,,,,0.0,,,,,,1.2,11.1,7.96,4.4,,4,,8.0,65.0,3,澎湖尖山光電,119.6644027,23.5686805
14,2017-01-15,,1015.9,1019.1,,,,,17.5,,,,,12.5,73,,,3.2,20,,,,0.0,,,,,,2.8,25.9,8.93,6.0,,4,,8.0,147.0,4,澎湖尖山光電,119.6644027,23.5686805
15,2017-01-16,,1016.4,1019.6,,,,,18.0,,,,,12.7,72,,,3.6,20,,,,0.0,,,,,,8.5,78.5,14.42,9.9,,5,,3.8,132.0,4,澎湖尖山光電,119.6644027,23.5686805
16,2017-01-17,,1017.9,1021.1,,,,,18.8,,,,,13.9,73,,,3.7,20,,,,0.0,,,,,,8.2,75.6,13.52,7.1,,4,,4.8,164.0,4,澎湖尖山光電,119.6644027,23.5686805
17,2017-01-18,,1018.2,1021.4,,,,,20.2,,,,,16.2,79,,,3.8,20,,,,0.0,,,,,,8.3,76.5,14.75,5.2,,5,,3.9,173.0,5,澎湖尖山光電,119.6644027,23.5686805
18,2017-01-19,,1016.6,1019.8,,,,,21.0,,,,,16.8,78,,,3.6,20,,,,0.0,,,,,,10.0,92.0,15.31,4.8,,5,,2.3,183.0,5,澎湖尖山光電,119.6644027,23.5686805
19,2017-01-20,,1017.7,1020.9,,,,,17.5,,,,,12.7,74,,,5.5,20,,,,0.0,,,,,,6.1,56.1,13.83,4.3,,5,,6.1,121.0,4,澎湖尖山光電,119.6644027,23.5686805
20,2017-01-21,,1020.4,1023.7,,,,,15.5,,,,,9.4,67,,,4.6,20,,,,0.0,,,,,,1.1,10.1,7.69,6.0,,3,,7.5,213.0,6,澎湖尖山光電,119.6644027,23.5686805
21,2017-01-22,,1021.1,1024.3,,,,,16.8,,,,,9.9,64,,,3.9,20,,,,0.0,,,,,,2.9,26.6,10.77,8.1,,4,,7.1,346.0,6,澎湖尖山光電,119.6644027,23.5686805
22,2017-01-23,,1021.1,1024.3,,,,,17.5,,,,,10.2,62,,,2.4,10,,,,0.0,,,,,,4.0,36.6,11.9,5.5,,4,,7.9,286.0,5,澎湖尖山光電,119.6644027,23.5686805
23,2017-01-24,,1021.7,1024.9,,,,,17.6,,,,,11.2,67,,,3.5,10,,,,0.0,,,,,,3.1,28.3,10.64,5.4,,4,,7.9,196.0,5,澎湖尖山光電,119.6644027,23.5686805
24,2017-01-25,,1021.0,1024.2,,,,,17.3,,,,,11.9,71,,,4.7,20,,,,0.0,,,,,,5.1,46.6,12.63,9.0,,4,,4.8,227.0,6,澎湖尖山光電,119.6644027,23.5686805
25,2017-01-26,,1019.5,1022.7,,,,,17.1,,,,,11.4,70,,,4.3,20,,,,0.0,,,,,,9.9,90.3,16.0,7.9,,4,,0.0,341.0,6,澎湖尖山光電,119.6644027,23.5686805
26,2017-01-27,,1018.5,1021.7,,,,,18.4,,,,,12.1,68,,,4.2,20,,,,0.0,,,,,,10.4,94.7,16.38,7.3,,5,,0.0,250.0,6,澎湖尖山光電,119.6644027,23.5686805
27,2017-01-28,,1015.4,1018.5,,,,,19.0,,,,,14.0,74,,,2.6,30,,,,0.0,,,,,,10.2,92.8,16.01,5.0,,5,,1.6,223.0,5,澎湖尖山光電,119.6644027,23.5686805
28,2017-01-29,,1014.5,1017.7,,,,,20.7,,,,,15.8,75,,,2.7,30,,,,0.0,,,,,,7.1,64.5,15.08,3.9,,5,,3.9,209.0,6,澎湖尖山光電,119.6644027,23.5686805
29,2017-01-30,,1014.6,1017.7,,,,,20.8,,,,,15.5,72,,,3.7,20,,,,0.0,,,,,,9.0,81.6,15.37,5.8,,5,,4.1,154.0,4,澎湖尖山光電,119.6644027,23.5686805
30,2017-01-31,,1015.7,1018.9,,,,,18.3,,,,,13.2,73,,,3.9,10,,,,0.0,,,,,,1.2,10.9,9.64,7.5,,4,,7.6,123.0,4,澎湖尖山光電,119.6644027,23.5686805
31,2017-02-01,,1017.0,1020.2,,,,,19.3,,,,,14.6,74,,,3.9,20,,,,0.1,,,,,,0.7,6.3,10.13,6.9,,4,,7.6,99.0,3,澎湖尖山光電,119.6644027,23.5686805
32,2017-02-02,,1018.0,1021.2,,,,,18.1,,,,,12.6,71,,,4.0,20,,,,0.0,,,,,,6.9,62.3,14.73,7.6,,6,,4.8,162.0,4,澎湖尖山光電,119.6644027,23.5686805
