,date,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max_x,UVI Max Time,Cloud Amount,degree,UVI Max_y,station,Lng,Lat
0,2017-01-01,,1016.7,1020.1,,,,,19.6,,,,,16.3,83,,,0.7,320,,,,0.0,,,,,,6.7,62.8,10.75,4.3,1.5,4,,2.7,0.0,6,燕巢倉庫光電,120.3860691,22.7748283
1,2017-01-02,,1015.8,1019.1,,,,,20.5,,,,,16.9,81,,,1.4,330,,,,0.0,,,,,,6.8,63.7,11.89,4.4,1.9,5,,1.8,0.0,6,燕巢倉庫光電,120.3860691,22.7748283
2,2017-01-03,,1015.0,1018.4,,,,,20.6,,,,,17.3,83,,,1.2,10,,,,0.0,,,,,,3.9,36.5,10.5,4.6,2.0,5,,5.0,0.0,7,燕巢倉庫光電,120.3860691,22.7748283
3,2017-01-04,,1013.9,1017.2,,,,,21.3,,,,,17.4,80,,,0.9,320,,,,0.0,,,,,,4.1,38.4,10.16,6.0,1.8,5,,7.0,0.0,6,燕巢倉庫光電,120.3860691,22.7748283
4,2017-01-05,,1012.9,1016.3,,,,,21.3,,,,,17.1,78,,,1.2,360,,,,0.0,,,,,,5.6,52.3,10.34,7.0,2.2,4,,5.8,0.0,4,燕巢倉庫光電,120.3860691,22.7748283
5,2017-01-06,,1011.8,1015.2,,,,,20.2,,,,,17.1,83,,,1.7,350,,,,0.0,,,,,,4.1,38.3,10.13,2.5,1.7,5,,5.0,0.0,6,燕巢倉庫光電,120.3860691,22.7748283
6,2017-01-07,,1009.8,1013.1,,,,,21.7,,,,,17.7,79,,,1.2,350,,,,0.0,,,,,,2.9,27.1,9.87,4.3,1.9,4,,6.8,0.0,5,燕巢倉庫光電,120.3860691,22.7748283
7,2017-01-08,,1009.0,1012.4,,,,,21.7,,,,,16.8,75,,,1.6,10,,,,0.0,,,,,,9.2,85.8,13.43,15.3,2.8,5,,1.2,0.0,6,燕巢倉庫光電,120.3860691,22.7748283
8,2017-01-09,,1011.4,1014.8,,,,,19.7,,,,,14.6,73,,,1.6,340,,,,0.0,,,,,,9.2,85.7,13.27,8.7,2.7,4,,0.7,0.0,5,燕巢倉庫光電,120.3860691,22.7748283
9,2017-01-10,,1014.2,1017.6,,,,,19.0,,,,,13.3,71,,,1.6,360,,,,0.0,,,,,,8.7,81.0,12.41,6.5,2.3,4,,1.8,0.0,5,燕巢倉庫光電,120.3860691,22.7748283
10,2017-01-11,,1013.9,1017.3,,,,,19.7,,,,,14.5,73,,,1.4,340,,,,0.0,,,,,,8.3,77.2,13.23,8.2,2.1,5,,4.3,0.0,5,燕巢倉庫光電,120.3860691,22.7748283
11,2017-01-12,,1011.4,1014.8,,,,,20.5,,,,,16.5,78,,,1.8,360,,,,0.0,,,,,,2.6,24.2,9.24,5.5,2.0,4,,7.5,0.0,6,燕巢倉庫光電,120.3860691,22.7748283
12,2017-01-13,,1010.5,1013.9,,,,,19.3,,,,,15.1,77,,,2.7,360,,,,0.1,,,,,,1.0,9.3,7.59,7.5,-1.2,5,,10.0,0.0,6,燕巢倉庫光電,120.3860691,22.7748283
13,2017-01-14,,1013.2,1016.6,,,,,15.9,,,,,12.7,82,,,2.4,360,,,,1.3,,,,,,0.2,1.9,4.03,4.7,-0.6,3,,9.7,0.0,4,燕巢倉庫光電,120.3860691,22.7748283
14,2017-01-15,,1015.3,1018.7,,,,,16.9,,,,,12.2,74,,,2.1,20,,,,0.0,,,,,,1.4,13.0,7.82,11.5,1.9,4,,9.2,0.0,5,燕巢倉庫光電,120.3860691,22.7748283
15,2017-01-16,,1015.7,1019.1,,,,,17.5,,,,,12.4,73,,,1.6,360,,,,0.0,,,,,,4.0,37.0,10.71,11.3,1.9,4,,7.2,0.0,6,燕巢倉庫光電,120.3860691,22.7748283
16,2017-01-17,,1017.2,1020.6,,,,,18.6,,,,,13.9,75,,,1.8,340,,,,0.0,,,,,,6.3,58.3,12.63,9.7,2.6,5,,6.5,0.0,6,燕巢倉庫光電,120.3860691,22.7748283
17,2017-01-18,,1017.6,1021.0,,,,,20.2,,,,,16.0,78,,,2.4,10,,,,0.0,,,,,,6.4,59.1,12.94,6.7,2.3,5,,6.5,0.0,6,燕巢倉庫光電,120.3860691,22.7748283
18,2017-01-19,,1016.0,1019.4,,,,,20.8,,,,,16.4,77,,,2.3,20,,,,0.0,,,,,,8.5,78.4,14.58,8.2,3.0,6,,3.2,0.0,6,燕巢倉庫光電,120.3860691,22.7748283
19,2017-01-20,,1017.2,1020.7,,,,,17.4,,,,,11.9,71,,,3.3,10,,,,0.0,,,,,,5.5,50.7,11.82,13.0,3.4,5,,5.5,0.0,6,燕巢倉庫光電,120.3860691,22.7748283
20,2017-01-21,,1020.0,1023.5,,,,,15.6,,,,,9.1,65,,,3.0,10,,,,0.0,,,,,,2.9,26.7,8.97,13.3,1.8,4,,7.2,0.0,5,燕巢倉庫光電,120.3860691,22.7748283
21,2017-01-22,,1020.5,1023.9,,,,,16.8,,,,,9.4,63,,,2.4,360,,,,0.0,,,,,,7.9,72.6,13.78,11.3,2.1,5,,6.5,0.0,5,燕巢倉庫光電,120.3860691,22.7748283
22,2017-01-23,,1020.4,1023.9,,,,,17.2,,,,,9.8,62,,,1.5,360,,,,0.0,,,,,,5.3,48.7,12.47,10.8,3.9,5,,7.3,0.0,5,燕巢倉庫光電,120.3860691,22.7748283
23,2017-01-24,,1021.3,1024.7,,,,,17.3,,,,,11.0,67,,,1.9,360,,,,0.0,,,,,,2.5,22.9,10.18,10.8,2.3,4,,7.3,0.0,4,燕巢倉庫光電,120.3860691,22.7748283
24,2017-01-25,,1020.6,1024.1,,,,,17.0,,,,,11.5,71,,,3.1,360,,,,0.0,,,,,,2.7,24.7,9.62,15.0,1.9,3,,6.5,0.0,5,燕巢倉庫光電,120.3860691,22.7748283
25,2017-01-26,,1018.9,1022.3,,,,,17.2,,,,,11.2,69,,,2.2,10,,,,0.0,,,,,,9.0,82.3,15.32,11.0,2.5,5,,2.2,0.0,6,燕巢倉庫光電,120.3860691,22.7748283
26,2017-01-27,,1018.0,1021.4,,,,,17.7,,,,,12.0,72,,,2.0,360,,,,0.0,,,,,,9.8,89.5,15.85,12.3,2.7,5,,0.8,0.0,7,燕巢倉庫光電,120.3860691,22.7748283
27,2017-01-28,,1014.5,1017.9,,,,,18.2,,,,,13.3,75,,,1.3,320,,,,0.0,,,,,,9.9,90.3,15.58,16.5,2.2,6,,0.7,0.0,7,燕巢倉庫光電,120.3860691,22.7748283
28,2017-01-29,,1013.8,1017.2,,,,,20.3,,,,,15.3,76,,,1.5,360,,,,0.0,,,,,,6.1,55.5,13.06,6.6,2.8,6,,6.8,0.0,7,燕巢倉庫光電,120.3860691,22.7748283
