,date,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount,degree,station,Lng,Lat
0,2017-01-01,,1018.7,1019.8,,,,,20.3,,,,,17.4,84,,,1.3,350,,,,0.0,,,,,,6.9,64.5,14.98,,,,,,7108.0,興達電廠光電,120.2005524,22.8589406
1,2017-01-02,,1017.7,1018.8,,,,,20.5,,,,,17.6,84,,,2.2,360,,,,0.0,,,,,,5.5,51.4,13.58,,,,,,5895.0,興達電廠光電,120.2005524,22.8589406
2,2017-01-03,,1017.0,1018.1,,,,,20.5,,,,,17.7,84,,,1.6,340,,,,0.0,,,,,,5.2,48.5,13.04,,,,,,5660.0,興達電廠光電,120.2005524,22.8589406
3,2017-01-04,,1015.8,1016.9,,,,,21.0,,,,,18.0,84,,,1.8,350,,,,0.0,,,,,,6.2,57.8,14.12,,,,,,6845.0,興達電廠光電,120.2005524,22.8589406
4,2017-01-05,,1014.8,1015.9,,,,,20.8,,,,,17.6,83,,,2.3,360,,,,0.0,,,,,,6.4,59.7,12.46,,,,,,5628.0,興達電廠光電,120.2005524,22.8589406
5,2017-01-06,,1013.7,1014.8,,,,,20.2,,,,,17.5,85,,,2.5,10,,,,0.0,,,,,,5.9,55.0,14.21,,,,,,6359.0,興達電廠光電,120.2005524,22.8589406
6,2017-01-07,,1011.7,1012.8,,,,,21.9,,,,,18.2,80,,,1.8,10,,,,0.0,,,,,,4.9,45.6,13.64,,,,,,5491.0,興達電廠光電,120.2005524,22.8589406
7,2017-01-08,,1010.8,1011.9,,,,,21.9,,,,,17.9,79,,,2.9,10,,,,0.0,,,,,,9.6,89.3,17.39,,,,,,6867.0,興達電廠光電,120.2005524,22.8589406
8,2017-01-09,,1013.4,1014.5,,,,,19.9,,,,,15.7,77,,,3.1,360,,,,0.0,,,,,,8.5,79.0,16.69,,,,,,6184.0,興達電廠光電,120.2005524,22.8589406
9,2017-01-10,,1016.1,1017.2,,,,,19.1,,,,,14.4,75,,,2.8,10,,,,0.0,,,,,,7.9,73.4,14.93,,,,,,6169.0,興達電廠光電,120.2005524,22.8589406
10,2017-01-11,,1015.8,1017.0,,,,,19.7,,,,,15.3,76,,,2.6,360,,,,0.0,,,,,,8.0,74.2,15.79,,,,,,5891.0,興達電廠光電,120.2005524,22.8589406
11,2017-01-12,,1013.4,1014.5,,,,,20.2,,,,,16.9,82,,,2.8,340,,,,0.0,,,,,,5.5,51.0,13.76,,,,,,6221.0,興達電廠光電,120.2005524,22.8589406
12,2017-01-13,,1012.1,1013.2,,,,,19.7,,,,,16.0,79,,,3.9,10,,,,0.0,,,,,,3.5,32.4,12.69,,,,,,5735.0,興達電廠光電,120.2005524,22.8589406
13,2017-01-14,,1014.9,1016.1,,,,,16.7,,,,,13.2,80,,,3.9,10,,,,0.0,,,,,,0.6,5.6,8.13,,,,,,4148.0,興達電廠光電,120.2005524,22.8589406
14,2017-01-15,,1017.1,1018.3,,,,,17.2,,,,,12.7,75,,,3.0,360,,,,0.0,,,,,,2.4,22.2,10.77,,,,,,4176.0,興達電廠光電,120.2005524,22.8589406
15,2017-01-16,,1017.6,1018.8,,,,,17.6,,,,,12.9,74,,,3.0,10,,,,0.0,,,,,,6.9,63.7,16.38,,,,,,7336.0,興達電廠光電,120.2005524,22.8589406
16,2017-01-17,,1019.2,1020.3,,,,,18.4,,,,,14.1,77,,,3.0,10,,,,0.0,,,,,,6.2,57.2,15.25,,,,,,6673.0,興達電廠光電,120.2005524,22.8589406
17,2017-01-18,,1019.4,1020.6,,,,,20.0,,,,,16.4,80,,,3.4,10,,,,0.0,,,,,,7.4,68.2,17.68,,,,,,7179.0,興達電廠光電,120.2005524,22.8589406
18,2017-01-19,,1017.8,1018.9,,,,,20.8,,,,,17.0,80,,,3.3,350,,,,0.0,,,,,,9.7,89.3,18.53,,,,,,7365.0,興達電廠光電,120.2005524,22.8589406
19,2017-01-20,,1018.9,1020.1,,,,,17.3,,,,,12.8,75,,,5.0,10,,,,0.0,,,,,,5.6,51.5,15.18,,,,,,6763.0,興達電廠光電,120.2005524,22.8589406
20,2017-01-21,,1021.8,1023.0,,,,,15.4,,,,,9.6,69,,,4.4,10,,,,0.0,,,,,,1.2,11.0,8.3,,,,,,4233.0,興達電廠光電,120.2005524,22.8589406
21,2017-01-22,,1022.4,1023.6,,,,,16.6,,,,,10.2,66,,,3.7,10,,,,0.0,,,,,,3.0,27.5,13.05,,,,,,4579.0,興達電廠光電,120.2005524,22.8589406
22,2017-01-23,,1022.5,1023.6,,,,,17.2,,,,,10.5,65,,,2.3,350,,,,0.0,,,,,,2.8,25.6,12.9,,,,,,5088.0,興達電廠光電,120.2005524,22.8589406
23,2017-01-24,,1023.1,1024.3,,,,,17.2,,,,,11.5,69,,,3.3,360,,,,0.0,,,,,,2.0,18.3,11.74,,,,,,4635.0,興達電廠光電,120.2005524,22.8589406
24,2017-01-25,,1022.3,1023.5,,,,,17.0,,,,,12.0,73,,,4.4,10,,,,0.0,,,,,,4.6,42.0,13.67,,,,,,5422.0,興達電廠光電,120.2005524,22.8589406
25,2017-01-26,,1020.8,1022.0,,,,,16.8,,,,,11.6,72,,,3.7,10,,,,0.0,,,,,,9.3,84.8,18.88,,,,,,7531.0,興達電廠光電,120.2005524,22.8589406
26,2017-01-27,,1019.8,1020.9,,,,,18.0,,,,,12.2,71,,,4.1,10,,,,0.0,,,,,,10.1,92.0,19.85,,,,,,7653.0,興達電廠光電,120.2005524,22.8589406
27,2017-01-28,,1016.6,1017.7,,,,,18.5,,,,,13.9,76,,,2.1,10,,,,0.0,,,,,,9.6,87.3,19.65,,,,,,7539.0,興達電廠光電,120.2005524,22.8589406
28,2017-01-29,,1015.7,1016.8,,,,,20.5,,,,,15.8,76,,,2.3,10,,,,0.0,,,,,,5.8,52.7,17.79,,,,,,6466.0,興達電廠光電,120.2005524,22.8589406
29,2017-01-30,,1015.7,1016.8,,,,,20.5,,,,,15.7,74,,,3.2,360,,,,0.0,,,,,,8.7,78.9,18.95,,,,,,7015.0,興達電廠光電,120.2005524,22.8589406
30,2017-01-31,,1016.9,1018.1,,,,,18.1,,,,,13.4,75,,,3.5,10,,,,0.0,,,,,,0.8,7.2,10.01,,,,,,3853.0,興達電廠光電,120.2005524,22.8589406
31,2017-02-01,,1018.1,1019.3,,,,,19.1,,,,,14.7,76,,,3.9,10,,,,,,,,,,0.3,2.7,10.48,,,,,,3962.0,興達電廠光電,120.2005524,22.8589406
32,2017-02-02,,1019.3,1020.4,,,,,17.8,,,,,12.7,73,,,3.5,10,,,,0.0,,,,,,5.9,53.3,17.26,,,,,,5848.0,興達電廠光電,120.2005524,22.8589406
33,2017-02-03,,1017.6,1018.8,,,,,18.5,,,,,13.7,75,,,2.8,350,,,,0.0,,,,,,8.3,74.8,18.59,,,,,,7368.0,興達電廠光電,120.2005524,22.8589406
34,2017-02-04,,1014.1,1015.2,,,,,18.9,,,,,15.6,81,,,2.3,10,,,,0.0,,,,,,0.2,1.8,6.99,,,,,,2685.0,興達電廠光電,120.2005524,22.8589406
35,2017-02-05,,1011.1,1012.2,,,,,19.2,,,,,15.7,81,,,3.2,10,,,,0.0,,,,,,0.1,0.9,7.7,,,,,,2987.0,興達電廠光電,120.2005524,22.8589406
36,2017-02-06,,1012.7,1013.8,,,,,19.1,,,,,14.5,76,,,2.9,360,,,,0.0,,,,,,8.0,71.8,18.12,,,,,,6762.0,興達電廠光電,120.2005524,22.8589406
