,date,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max_x,UVI Max Time,Cloud Amount,degree,UVI Max_y,station,Lng,Lat
0,2017-01-01,,907.8,1570.8,,,,,16.9,,,,,12.6,77,,,1.0,300,,,,0.0,,,,,,9.6,90.2,17.84,23.3,1.8,6,,0.5,0.0,5,蘭嶼電廠光電,121.5400065,22.0260216
1,2017-01-02,,906.9,1562.4,,,,,17.0,,,,,12.3,76,,,0.9,310,,,,0.0,,,,,,9.7,91.1,17.57,20.0,2.0,6,,0.7,0.0,6,蘭嶼電廠光電,121.5400065,22.0260216
2,2017-01-03,,906.3,1556.5,,,,,16.4,,,,,13.1,81,,,1.0,340,,,,0.0,,,,,,5.3,49.7,12.33,9.2,0.9,5,,3.0,0.0,4,蘭嶼電廠光電,121.5400065,22.0260216
3,2017-01-04,,905.3,1547.2,,,,,16.5,,,,,14.0,86,,,0.8,70,,,,0.0,,,,,,4.3,40.3,13.63,4.9,1.3,6,,5.5,0.0,6,蘭嶼電廠光電,121.5400065,22.0260216
4,2017-01-05,,904.6,1540.3,,,,,16.3,,,,,13.5,84,,,0.9,260,,,,0.0,,,,,,2.9,27.2,9.33,12.5,0.9,3,,5.7,0.0,6,蘭嶼電廠光電,121.5400065,22.0260216
5,2017-01-06,,903.4,1529.9,,,,,16.9,,,,,13.3,79,,,1.0,200,,,,0.0,,,,,,7.2,67.4,13.31,14.7,1.9,5,,3.7,0.0,6,蘭嶼電廠光電,121.5400065,22.0260216
6,2017-01-07,,902.2,1517.8,,,,,16.7,,,,,12.6,77,,,1.2,120,,,,0.0,,,,,,2.6,24.3,9.58,12.5,1.0,3,,8.3,0.0,6,蘭嶼電廠光電,121.5400065,22.0260216
7,2017-01-08,,901.6,1514.3,,,,,18.0,,,,,13.4,75,,,1.1,330,,,,0.0,,,,,,7.4,69.2,15.43,13.3,1.5,5,,5.3,0.0,4,蘭嶼電廠光電,121.5400065,22.0260216
8,2017-01-09,,903.0,1527.6,,,,,17.4,,,,,11.8,70,,,1.2,290,,,,0.0,,,,,,9.8,91.5,17.63,17.5,2.1,5,,3.0,0.0,2,蘭嶼電廠光電,121.5400065,22.0260216
9,2017-01-10,,905.1,1544.8,,,,,16.0,,,,,10.7,71,,,1.1,20,,,,0.0,,,,,,7.4,69.1,13.71,18.2,1.7,4,,2.3,0.0,4,蘭嶼電廠光電,121.5400065,22.0260216
10,2017-01-11,,904.9,1543.4,,,,,16.7,,,,,9.7,65,,,1.3,190,,,,0.0,,,,,,9.2,85.8,17.45,20.8,1.8,5,,3.0,0.0,5,蘭嶼電廠光電,121.5400065,22.0260216
11,2017-01-12,,902.8,1524.0,,,,,16.5,,,,,12.5,78,,,1.1,170,,,,0.0,,,,,,2.0,18.6,10.14,8.7,1.6,5,,7.7,0.0,3,蘭嶼電廠光電,121.5400065,22.0260216
12,2017-01-13,,901.9,1515.0,,,,,16.6,,,,,13.1,80,,,1.2,70,,,,0.0,,,,,,0.2,1.9,6.36,13.3,-0.4,4,,8.3,0.0,3,蘭嶼電廠光電,121.5400065,22.0260216
13,2017-01-14,,903.0,1522.8,,,,,14.6,,,,,13.5,93,,,0.9,290,,,,1.0,,,,,,0.0,0.0,2.92,3.4,-0.3,2,,10.0,0.0,2,蘭嶼電廠光電,121.5400065,22.0260216
14,2017-01-15,,905.0,1539.3,,,,,13.6,,,,,12.4,93,,,1.0,290,,,,0.5,,,,,,0.0,0.0,3.83,3.4,-0.2,2,,9.0,0.0,3,蘭嶼電廠光電,121.5400065,22.0260216
15,2017-01-16,,905.5,1543.3,,,,,13.7,,,,,11.7,88,,,1.1,90,,,,1.5,,,,,,1.8,16.7,9.87,9.5,0.5,5,,9.3,0.0,4,蘭嶼電廠光電,121.5400065,22.0260216
16,2017-01-17,,907.2,1560.3,,,,,14.4,,,,,11.3,82,,,1.3,180,,,,0.0,,,,,,7.7,71.4,16.64,10.3,1.6,6,,6.0,0.0,6,蘭嶼電廠光電,121.5400065,22.0260216
17,2017-01-18,,908.1,1571.6,,,,,16.1,,,,,12.5,81,,,0.8,290,,,,0.0,,,,,,8.0,74.1,18.45,11.2,2.1,6,,5.8,0.0,6,蘭嶼電廠光電,121.5400065,22.0260216
18,2017-01-19,,907.3,1566.2,,,,,16.7,,,,,12.2,76,,,1.4,60,,,,0.0,,,,,,7.4,68.4,15.0,19.2,1.9,6,,4.8,0.0,4,蘭嶼電廠光電,121.5400065,22.0260216
19,2017-01-20,,906.9,1560.3,,,,,15.5,,,,,11.9,80,,,1.0,20,,,,0.0,,,,,,5.9,54.5,13.69,12.5,-1.2,5,,4.8,0.0,1,蘭嶼電廠光電,121.5400065,22.0260216
