,date,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount,degree,station,Lng,Lat
0,2017-01-01,,1005.2,,,,,,18.6,,,,,,,,,1.6,246,,,,2.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
1,2017-01-02,,1002.7,,,,,,20.4,,,,,,,,,1.6,104,,,,0.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
2,2017-01-03,,1002.6,,,,,,20.5,,,,,,,,,1.2,230,,,,1.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
3,2017-01-04,,1001.5,,,,,,20.2,,,,,,,,,1.1,235,,,,2.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
4,2017-01-05,,999.1,,,,,,21.5,,,,,,,,,2.0,222,,,,0.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
5,2017-01-06,,998.1,,,,,,21.4,,,,,,,,,1.4,229,,,,0.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
6,2017-01-07,,995.9,,,,,,21.5,,,,,,,,,2.0,225,,,,0.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
7,2017-01-08,,996.2,,,,,,19.9,,,,,,,,,1.9,235,,,,2.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
8,2017-01-09,,1000.4,,,,,,16.6,,,,,,,,,0.6,343,,,,1.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
9,2017-01-10,,1002.5,,,,,,17.8,,,,,,,,,1.2,234,,,,0.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
10,2017-01-11,,1002.1,,,,,,18.6,,,,,,,,,1.2,47,,,,0.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
11,2017-01-12,,998.0,,,,,,19.1,,,,,,,,,1.3,224,,,,1.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
12,2017-01-13,,998.2,,,,,,17.2,,,,,,,,,1.2,51,,,,3.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
13,2017-01-14,,1002.1,,,,,,15.1,,,,,,,,,0.9,326,,,,3.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
14,2017-01-15,,1003.6,,,,,,15.0,,,,,,,,,0.8,240,,,,1.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
15,2017-01-16,,1004.2,,,,,,15.4,,,,,,,,,1.5,235,,,,2.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
16,2017-01-17,,1004.9,,,,,,17.6,,,,,,,,,1.7,228,,,,0.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
17,2017-01-18,,1003.6,,,,,,19.6,,,,,,,,,2.0,225,,,,0.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
18,2017-01-19,,1002.3,,,,,,19.1,,,,,,,,,1.2,236,,,,37.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
19,2017-01-20,,1005.7,,,,,,15.2,,,,,,,,,2.5,33,,,,12.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
20,2017-01-21,,1007.7,,,,,,14.7,,,,,,,,,1.4,49,,,,0.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
21,2017-01-22,,1009.5,,,,,,14.8,,,,,,,,,0.9,239,,,,0.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
22,2017-01-23,,1010.4,,,,,,13.4,,,,,,,,,0.8,232,,,,9.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
23,2017-01-24,,1009.7,,,,,,15.1,,,,,,,,,1.4,241,,,,23.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
24,2017-01-25,,1007.8,,,,,,16.8,,,,,,,,,1.2,34,,,,1.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
25,2017-01-26,,1007.0,,,,,,15.6,,,,,,,,,1.7,45,,,,4.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
26,2017-01-27,,1005.3,,,,,,17.2,,,,,,,,,1.9,230,,,,0.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
27,2017-01-28,,1002.5,,,,,,19.1,,,,,,,,,1.7,226,,,,0.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
28,2017-01-29,,1001.2,,,,,,20.0,,,,,,,,,1.9,232,,,,0.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
29,2017-01-30,,1002.6,,,,,,18.8,,,,,,,,,2.9,45,,,,27.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
30,2017-01-31,,1004.2,,,,,,16.5,,,,,,,,,0.8,241,,,,33.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
31,2017-02-01,,1005.0,,,,,,16.9,,,,,,,,,2.0,34,,,,15.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
32,2017-02-02,,1006.9,,,,,,15.1,,,,,,,,,1.3,35,,,,47.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
33,2017-02-03,,1003.1,,,,,,17.6,,,,,,,,,1.7,232,,,,0.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
34,2017-02-04,,998.9,,,,,,18.0,,,,,,,,,1.4,232,,,,9.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
35,2017-02-05,,996.7,,,,,,19.0,,,,,,,,,1.6,230,,,,24.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
36,2017-02-06,,1000.6,,,,,,16.8,,,,,,,,,1.0,8,,,,6.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
37,2017-02-07,,1001.3,,,,,,17.2,,,,,,,,,1.4,212,,,,0.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
38,2017-02-08,,997.5,,,,,,18.3,,,,,,,,,1.8,198,,,,0.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
39,2017-02-09,,1000.0,,,,,,14.4,,,,,,,,,4.1,35,,,,8.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
40,2017-02-10,,1004.9,,,,,,11.1,,,,,,,,,1.6,211,,,,0.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
41,2017-02-11,,1009.0,,,,,,10.3,,,,,,,,,1.6,289,,,,5.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
42,2017-02-12,,1009.6,,,,,,11.6,,,,,,,,,1.5,199,,,,6.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
43,2017-02-13,,1010.6,,,,,,14.8,,,,,,,,,1.8,209,,,,6.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
44,2017-02-14,,1012.4,,,,,,15.2,,,,,,,,,1.6,202,,,,7.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
45,2017-02-15,,1009.1,,,,,,17.3,,,,,,,,,2.0,205,,,,0.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
46,2017-02-16,,1004.4,,,,,,18.2,,,,,,,,,2.2,205,,,,0.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
47,2017-02-17,,1003.9,,,,,,18.9,,,,,,,,,2.0,211,,,,0.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
48,2017-02-18,,1004.8,,,,,,18.7,,,,,,,,,2.8,29,,,,34.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
49,2017-02-19,,1001.3,,,,,,18.9,,,,,,,,,1.5,213,,,,23.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
50,2017-02-20,,997.9,,,,,,20.3,,,,,,,,,2.1,200,,,,1.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
51,2017-02-21,,1002.9,,,,,,19.7,,,,,,,,,2.7,23,,,,7.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
52,2017-02-22,,997.7,,,,,,21.2,,,,,,,,,1.8,178,,,,8.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
53,2017-02-23,,1000.5,,,,,,17.6,,,,,,,,,3.2,31,,,,4.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
54,2017-02-24,,1003.8,,,,,,15.1,,,,,,,,,1.7,216,,,,0.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
55,2017-02-25,,1001.6,,,,,,16.2,,,,,,,,,1.2,211,,,,0.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
56,2017-02-26,,1002.1,,,,,,16.0,,,,,,,,,2.8,224,,,,1.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
57,2017-02-27,,1005.3,,,,,,14.3,,,,,,,,,1.1,205,,,,3.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
58,2017-02-28,,1002.5,,,,,,16.7,,,,,,,,,2.6,36,,,,0.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
59,2017-03-01,,999.8,,,,,,17.2,,,,,,,,,2.1,45,,,,1.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
60,2017-03-02,,1002.4,,,,,,14.5,,,,,,,,,1.7,20,,,,4.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
61,2017-03-03,,1000.9,,,,,,14.7,,,,,,,,,1.5,212,,,,0.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
62,2017-03-04,,997.7,,,,,,17.9,,,,,,,,,1.7,205,,,,0.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
63,2017-03-05,,994.9,,,,,,20.7,,,,,,,,,2.6,196,,,,0.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
64,2017-03-06,,995.6,,,,,,17.8,,,,,,,,,3.3,42,,,,1.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
65,2017-03-07,,1000.1,,,,,,14.3,,,,,,,,,0.8,234,,,,3.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
66,2017-03-08,,1001.0,,,,,,13.6,,,,,,,,,1.4,211,,,,10.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
67,2017-03-09,,1000.5,,,,,,15.2,,,,,,,,,1.7,224,,,,0.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
68,2017-03-10,,995.0,,,,,,18.4,,,,,,,,,1.5,202,,,,1.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
69,2017-03-11,,997.6,,,,,,19.1,,,,,,,,,2.1,22,,,,7.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
70,2017-03-12,,997.3,,,,,,20.1,,,,,,,,,1.2,194,,,,2.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
71,2017-03-13,,993.9,,,,,,21.0,,,,,,,,,1.4,41,,,,2.5,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
72,2017-03-14,,1000.1,,,,,,15.5,,,,,,,,,2.9,39,,,,15.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
73,2017-03-15,,1002.8,,,,,,14.2,,,,,,,,,1.6,216,,,,0.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
74,2017-03-16,,999.6,,,,,,17.1,,,,,,,,,1.4,195,,,,0.0,,,,,,,,,,,,,,0.0,馬祖珠山光電,119.9379151,26.1477771
